model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,280,0.7286100760996426,0.5020751211146386,0.8464772687542408,0.7976517376622984,0.25,0.25,0.0,1.0215403139591217
zero_delta,val,88,0.5521379899614305,0.4069689111692433,0.6305718017460721,0.7105116878043521,0.26136363636363635,0.26136363636363635,0.0,1.0215403139591217
zero_delta,test,114,0.8111348053622731,0.6381865124099407,0.9092786429830927,0.9822877330476778,0.30701754385964913,0.30701754385964913,0.0,1.0215403139591217
linear_trend_from_last_rate,train,280,4.770054893897543,1.909064856780835,5.950034312942684,3.148119682925088,0.2,0.15714285714285714,0.44285714285714284,1.0215403139591217
linear_trend_from_last_rate,val,88,5.959428948816832,2.404294891728467,7.429632561738259,4.23066468435255,0.2159090909090909,0.125,0.5652173913043478,1.0215403139591217
linear_trend_from_last_rate,test,114,4.391050922193222,1.794022659685991,5.469834051317297,3.422789822087476,0.2543859649122807,0.22807017543859648,0.2571428571428571,1.0215403139591217
train_global_mean,train,280,0.7186172196847423,0.499754144901378,0.8330489905354737,0.6727638317538159,0.07857142857142857,0.25,0.0,1.0215403139591217
train_global_mean,val,88,0.5544405911509631,0.4082925141945332,0.6334130533974607,0.5703707489777695,0.09090909090909091,0.26136363636363635,0.0,1.0215403139591217
train_global_mean,test,114,0.8220708983444842,0.636862264736078,0.9260546123742595,0.8293579705713088,0.16666666666666666,0.30701754385964913,0.0,1.0215403139591217
train_category_mean,train,280,0.6977961042282852,0.48099687285408005,0.8105720975697236,0.602247082548482,0.07857142857142857,0.21428571428571427,0.2857142857142857,1.0215403139591217
train_category_mean,val,88,0.5454222593270898,0.4176212898690171,0.6160858801218886,0.5284960515458476,0.09090909090909091,0.25,0.043478260869565216,1.0215403139591217
train_category_mean,test,114,0.8255453055973249,0.6158266879597704,0.940586445420649,0.7662955229742485,0.17543859649122806,0.2894736842105263,0.2571428571428571,1.0215403139591217
train_context_mean,train,280,0.7119254070785703,0.4953162942253662,0.8252168731581435,0.6238444343209266,0.07857142857142857,0.25,0.0,1.0215403139591217
train_context_mean,val,88,0.5581329152057526,0.41496435951675575,0.635933702162291,0.5225316941399466,0.09090909090909091,0.26136363636363635,0.0,1.0215403139591217
train_context_mean,test,114,0.832098228373485,0.6469566717512415,0.9360428293915577,0.7859114639853176,0.16666666666666666,0.30701754385964913,0.0,1.0215403139591217
ridge_vehicle_history_context_alpha1000,train,280,0.5712847587227712,0.3770816564083573,0.6698506264570541,0.49493956587809534,0.060714285714285714,0.18571428571428572,0.5428571428571428,1.0215403139591217
ridge_vehicle_history_context_alpha1000,val,88,0.4940954044442938,0.37140881063680314,0.5615053920334094,0.41118238724514167,0.09090909090909091,0.18181818181818182,0.5217391304347826,1.0215403139591217
ridge_vehicle_history_context_alpha1000,test,114,0.821677280619265,0.6477036747520016,0.9201367364214467,0.65614257645058,0.09649122807017543,0.24561403508771928,0.5714285714285714,1.0215403139591217
knn_vehicle_history_context_k5,train,280,0.001387536811216125,0.0007884932807039085,0.0016690611787783037,0.0010322659964363608,0.0,0.0,1.0,1.0215403139591217
knn_vehicle_history_context_k5,val,88,0.44262602732877704,0.33355299099853614,0.5023095316526871,0.44533732916567137,0.056818181818181816,0.17045454545454544,0.5217391304347826,1.0215403139591217
knn_vehicle_history_context_k5,test,114,0.8190361265545067,0.6093546790622812,0.9333271300302715,0.6293764930022391,0.12280701754385964,0.22807017543859648,0.6285714285714286,1.0215403139591217
rbf_kernel_vehicle_context_alpha0.1_g2,train,280,0.12667922036046306,0.0803945268512634,0.1498510540125808,0.1391383277784501,0.014285714285714285,0.010714285714285714,1.0,1.0215403139591217
rbf_kernel_vehicle_context_alpha0.1_g2,val,88,0.4476580501606748,0.31066687082973277,0.5192063254868163,0.3431058130795877,0.03409090909090909,0.13636363636363635,0.6086956521739131,1.0215403139591217
rbf_kernel_vehicle_context_alpha0.1_g2,test,114,0.7972519301005051,0.6009110229975542,0.9054288761552151,0.6491233500112829,0.09649122807017543,0.22807017543859648,0.42857142857142855,1.0215403139591217
