model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,743,0.7235571941449083,0.5387588143125511,0.8241212977067713,0.7940412315152696,186,1.0,1.0,0.0,1.0874289870262146
zero_delta,val,225,0.5832849351923378,0.4827286520929096,0.6424280704504336,0.7668034154507849,57,1.0,1.0,0.0,1.0874289870262146
zero_delta,test,316,0.8274038161535782,0.6224959038978845,0.9393992577096476,0.9657485189039372,102,1.0,1.0,0.0,1.0874289870262146
linear_trend_from_last_rate,train,743,6.5881836161870675,2.6473564709885338,8.216198195075489,4.5014136687603,186,0.8440860215053764,0.5967741935483871,0.43010752688172044,1.0874289870262146
linear_trend_from_last_rate,val,225,10.47166762048463,4.189604045577078,13.062714351373758,6.459069082174036,57,0.8947368421052632,0.45614035087719296,0.543859649122807,1.0874289870262146
linear_trend_from_last_rate,test,316,6.813321405289592,2.7827242255199147,8.487261932584895,4.797472095221231,102,0.8725490196078431,0.5784313725490197,0.4215686274509804,1.0874289870262146
train_global_mean,train,743,0.7229256205228725,0.5384859512501288,0.8233201611066204,0.7576869708582418,186,0.4838709677419355,1.0,0.0,1.0874289870262146
train_global_mean,val,225,0.5834071901659057,0.4831365318945363,0.6424042950683159,0.7213099100357956,57,0.40350877192982454,1.0,0.0,1.0874289870262146
train_global_mean,test,316,0.8282223410347715,0.6222170382758694,0.9407122891501415,0.9225534572862119,102,0.5294117647058824,1.0,0.0,1.0874289870262146
train_category_mean,train,743,0.7107914365859035,0.5293701233802475,0.8094725693619698,0.6776640642820425,186,0.3924731182795699,0.9623655913978495,0.0913978494623656,1.0874289870262146
train_category_mean,val,225,0.5819338518613604,0.48821885282467414,0.6376398830654879,0.6422400934497515,57,0.45614035087719296,0.9824561403508771,0.017543859649122806,1.0874289870262146
train_category_mean,test,316,0.831678324606864,0.6122143692499319,0.9501127891343052,0.8398307159773658,102,0.5,0.9803921568627451,0.08823529411764706,1.0874289870262146
train_context_mean,train,743,0.7191964297215545,0.5374002674637339,0.8183670589841934,0.7372106786561606,186,0.4838709677419355,1.0,0.0,1.0874289870262146
train_context_mean,val,225,0.579654706042773,0.4850852128019601,0.635806571173092,0.7050367708007494,57,0.40350877192982454,1.0,0.0,1.0874289870262146
train_context_mean,test,316,0.8224081971437219,0.6243263190139025,0.9312271384178826,0.9093991936544764,102,0.5294117647058824,1.0,0.0,1.0874289870262146
ridge_vehicle_history_context_alpha10000,train,743,0.6503635206102092,0.4959836221844318,0.7357615509604138,0.5995111946507907,186,0.26881720430107525,0.9193548387096774,0.3387096774193548,1.0874289870262146
ridge_vehicle_history_context_alpha10000,val,225,0.5333940771896171,0.44746867405877255,0.5847837660631449,0.5612955973131789,57,0.24561403508771928,0.9298245614035088,0.2982456140350877,1.0874289870262146
ridge_vehicle_history_context_alpha10000,test,316,0.764941474820069,0.5950511178329504,0.860082404546757,0.7383251561082552,102,0.2549019607843137,0.9411764705882353,0.38235294117647056,1.0874289870262146
knn_vehicle_history_context_k9,train,743,0.0024225480817480502,0.001577797090634561,0.002847167319845372,0.0014815829638431671,186,0.0,0.0,1.0,1.0874289870262146
knn_vehicle_history_context_k9,val,225,0.4814582343234141,0.38483993664678645,0.5367598072323366,0.42949950757953853,57,0.21052631578947367,0.7192982456140351,0.631578947368421,1.0874289870262146
knn_vehicle_history_context_k9,test,316,0.7601709142919073,0.553993704581039,0.871067542806621,0.6164000732371071,102,0.2549019607843137,0.7450980392156863,0.6176470588235294,1.0874289870262146
rbf_kernel_vehicle_context_alpha1_g1,train,743,0.4209877857511402,0.2940926673568467,0.4875689384427518,0.36711144103251225,186,0.10752688172043011,0.43548387096774194,0.8763440860215054,1.0874289870262146
rbf_kernel_vehicle_context_alpha1_g1,val,225,0.46581335482409514,0.3517489998246745,0.5286871294200016,0.390036350513498,57,0.21052631578947367,0.5964912280701754,0.6491228070175439,1.0874289870262146
rbf_kernel_vehicle_context_alpha1_g1,test,316,0.7354153507930521,0.53576180383564,0.8430181084042099,0.601991749514864,102,0.20588235294117646,0.7352941176470589,0.6176470588235294,1.0874289870262146
