subj,recording_id,clean_eeg_fif,clean_eeg_exists,raw_eeg_csv,raw_eeg_exists,raw_eeg_size_mb,raw_eeg_col_count,raw_eeg_channel_count,raw_eeg_accel_count,raw_eeg_first_storage_time,clean_sfreq,clean_nchan,clean_duration_s,clean_bad_count,clean_bad_list,clean_ch_names
byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\byx\eeg_clean\Entity_Recording_2025_09_28_17_05_51_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\byx\Entity_Recording_2025_09_28_17_05_51_eeg.csv,True,102.614,37.0,32.0,3.0,2025-09-28 17:05:51.902000,200.0,28.0,565.425,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;Fp2;Fz;F3;Fp1;T7;F7;Oz;FC6;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\byx\eeg_clean\Entity_Recording_2025_09_28_17_15_52_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\byx\Entity_Recording_2025_09_28_17_15_52_eeg.csv,True,96.233,37.0,32.0,3.0,2025-09-28 17:15:53.231000,200.0,28.0,533.745,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;Fp2;Fz;F3;Fp1;T7;F7;Oz;PO4;FC6;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\byx\eeg_clean\Entity_Recording_2025_09_28_17_25_18_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\byx\Entity_Recording_2025_09_28_17_25_18_eeg.csv,True,105.43,37.0,32.0,3.0,2025-09-28 17:25:18.933000,200.0,30.0,585.355,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;F4;Fp2;Fz;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\byx\eeg_clean\Entity_Recording_2025_09_28_17_35_43_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\byx\Entity_Recording_2025_09_28_17_35_43_eeg.csv,True,105.285,37.0,32.0,3.0,2025-09-28 17:35:43.992000,200.0,31.0,585.825,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\byx\eeg_clean\Entity_Recording_2025_09_28_17_46_00_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\byx\Entity_Recording_2025_09_28_17_46_00_eeg.csv,True,98.375,37.0,32.0,3.0,2025-09-28 17:46:01.181000,200.0,31.0,547.395,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_19_23_28,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_19_23_28_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_19_23_28_eeg.csv,True,29.245,37.0,32.0,3.0,2025-09-26 19:23:28.886000,200.0,31.0,164.04,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_19_27_21,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_19_27_21_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_19_27_21_eeg.csv,True,77.381,37.0,32.0,3.0,2025-09-26 19:27:22.123000,200.0,31.0,433.925,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_19_35_47,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_19_35_47_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_19_35_47_eeg.csv,True,97.928,37.0,32.0,3.0,2025-09-26 19:35:47.204000,200.0,31.0,549.41,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_19_45_40,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_19_45_40_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_19_45_40_eeg.csv,True,96.066,37.0,32.0,3.0,2025-09-26 19:45:40.228000,200.0,31.0,538.975,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_19_56_16,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_19_56_16_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_19_56_16_eeg.csv,True,93.746,37.0,32.0,3.0,2025-09-26 19:56:16.758000,200.0,30.0,525.975,0.0,,P7;P4;Cz;Pz;P3;P8;O1;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
cwh,2025_09_26_20_06_19,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\cwh\eeg_clean\Entity_Recording_2025_09_26_20_06_19_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\cwh\Entity_Recording_2025_09_26_20_06_19_eeg.csv,True,89.911,37.0,32.0,3.0,2025-09-26 20:06:19.344000,200.0,31.0,504.48,0.0,,P7;P4;Cz;Pz;P3;P8;O1;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
gf,2025_09_26_10_03_00,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gf\eeg_clean\Entity_Recording_2025_09_26_10_03_00_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gf\Entity_Recording_2025_09_26_10_03_00_eeg.csv,True,101.432,37.0,32.0,3.0,2025-09-26 10:03:00.899000,200.0,31.0,561.92,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
gf,2025_09_26_10_18_49,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gf\eeg_clean\Entity_Recording_2025_09_26_10_18_49_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gf\Entity_Recording_2025_09_26_10_18_49_eeg.csv,True,104.762,37.0,32.0,3.0,2025-09-26 10:18:49.383000,200.0,31.0,583.82,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
gf,2025_09_26_10_30_12,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gf\eeg_clean\Entity_Recording_2025_09_26_10_30_12_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gf\Entity_Recording_2025_09_26_10_30_12_eeg.csv,True,97.855,37.0,32.0,3.0,2025-09-26 10:30:12.215000,200.0,31.0,565.98,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
gf,2025_09_26_10_40_59,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\gf\eeg_clean\Entity_Recording_2025_09_26_10_40_59_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\gf\Entity_Recording_2025_09_26_10_40_59_eeg.csv,True,106.234,37.0,32.0,3.0,2025-09-26 10:40:59.173000,200.0,30.0,591.32,0.0,,P7;P4;Cz;Pz;P3;P8;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP5;FC1;FC5;AF3;PO3
