exp_id,label_cn,group_cn,mechanism_hint_cn,delta_rmse_vs_B0,delta_rmse_vs_B1,delta_tail_vs_B0,delta_large_wrong_side_vs_B0,delta_large_under_vs_B0,possible_role_cn
S1,车辆 + 心率,单信号,压力、唤醒、负荷的慢变化线索,0.037268924647913204,-0.0010606918435462909,0.01680520296896859,0.011764705882352913,0.047058823529411764,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
S2,车辆 + 皮电,单信号,紧张、唤醒、认知负荷的慢变化线索,0.05113545210479542,0.012805835613335925,0.022842941211923984,0.023529411764705813,0.011764705882352955,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
S3,车辆 + 肌电,单信号,动作准备、操纵意图、方向盘操作相关线索,0.0831975608210267,0.0448679443295672,0.04979285514044679,-8.326672684688674e-17,-0.03529411764705884,整体误差未必最优，但可能改善大响应幅值或方向问题
SF1,车辆 + 连续风格 + 心率,单信号+风格,风格之外的唤醒/压力线索,0.0332621356509718,-0.0050674808404876925,0.00528992993144578,0.023529411764705813,-0.011764705882352955,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
SF2,车辆 + 连续风格 + 皮电,单信号+风格,风格之外的慢变化紧张线索,-0.0057517258847786246,-0.04408134237623812,-0.04041217810993131,-0.011764705882352983,0.05882352941176466,可能改善整体轨迹，并且有风格之外增量
SF3,车辆 + 连续风格 + 肌电,单信号+风格,风格之外的动作准备或操纵意图,0.011847731685044882,-0.026481884806414613,0.0380344988181312,0.023529411764705813,0.11764705882352938,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,响应类型辅助,肌电帮助响应类型判断,0.014377036539264976,-0.02395257995219452,-0.032432917774273706,0.011764705882352913,0.1294117647058824,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,响应类型辅助,非脑电生理帮助状态/困难样本判断,0.030283206069214086,-0.00804641042224541,0.020864498995294467,0.011764705882352913,0.10588235294117648,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
B0,车辆-only 粗细双头,基准,车辆历史和道路/事件上下文基准,0.0,-0.038329616491459495,0.0,0.0,0.0,效果接近基准，需要结合分被试和预测图判断
B1,车辆 + 连续风格,基准,个体长期驾驶差异,0.038329616491459495,0.0,-0.019052678094114317,0.04705882352941172,0.11764705882352938,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
T2,非脑电生理教师 -> 车辆 + 连续风格学生,多教师蒸馏,非脑电生理是否更适合作为状态教师,-0.013877132405585524,-0.05220674889704502,-0.01986268237733202,-0.011764705882352983,0.05882352941176466,可能改善整体轨迹，并且有风格之外增量
C1,车辆 + 心率 + 皮电 + 肌电,组合,非脑电生理整体状态,0.03734421828386758,-0.0009853982075919143,0.0313753138871351,-0.035294117647058885,0.035294117647058865,整体误差未必最优，但可能改善大响应幅值或方向问题
C2,车辆 + 连续风格 + 心率 + 皮电 + 肌电,组合,风格之外的非脑电状态监督,0.023970677771718574,-0.014358938719740921,-0.008273723929020427,0.058823529411764705,0.011764705882352955,作为教师路线观察：重点看困难样本、幅值和错侧是否改善
