exp_id,label_cn,seed,subj,n,rmse_2s_abs_steer,primary_rmse,tail_rmse,direction_match,tail_direction_match
S1,车辆 + 心率,2026,cwh,58,0.2595064778780115,0.26500905077133713,0.2806451416670762,0.7758620689655172,0.5172413793103449
S1,车辆 + 心率,2026,gf,76,0.2076620992861296,0.20495196809305957,0.24704423684038615,0.631578947368421,0.4605263157894737
S1,车辆 + 心率,2026,tyy,29,0.47065699228952673,0.47619576161277705,0.583975862711668,0.8275862068965517,0.5172413793103449
S2,车辆 + 皮电,2026,cwh,58,0.24867887390327864,0.2587091846487902,0.26351733952118406,0.6724137931034483,0.46551724137931033
S2,车辆 + 皮电,2026,gf,76,0.22535888110532573,0.2186846695105104,0.27026063860639143,0.6710526315789473,0.4473684210526316
S2,车辆 + 皮电,2026,tyy,29,0.4666682584532376,0.45476598600889073,0.554153339359267,0.7241379310344828,0.27586206896551724
S3,车辆 + 肌电,2026,cwh,58,0.24756308478014222,0.26767187053337693,0.282596351932092,0.7758620689655172,0.41379310344827586
S3,车辆 + 肌电,2026,gf,76,0.23140212633696042,0.2202603523006761,0.27985208693548647,0.6447368421052632,0.42105263157894735
S3,车辆 + 肌电,2026,tyy,29,0.5377414483448555,0.5731836357635671,0.6575683178701277,0.7241379310344828,0.5517241379310345
S4,车辆 + 脑电,2026,cwh,58,0.21112713744414263,0.2215770181621714,0.23097965521095642,0.7586206896551724,0.5
S4,车辆 + 脑电,2026,gf,76,0.18406175339202346,0.1872877543975942,0.191189541015774,0.631578947368421,0.4605263157894737
S4,车辆 + 脑电,2026,tyy,29,0.45965628454397467,0.46704285990061434,0.5451757599567545,0.7586206896551724,0.3448275862068966
SF1,车辆 + 连续风格 + 心率,2026,cwh,58,0.25626557256127225,0.28340531146988784,0.2815626026934077,0.7586206896551724,0.5172413793103449
SF1,车辆 + 连续风格 + 心率,2026,gf,76,0.2408804048931128,0.270827311091125,0.23963224624381646,0.5789473684210527,0.3815789473684211
SF1,车辆 + 连续风格 + 心率,2026,tyy,29,0.4727652242471432,0.4383431215096137,0.5177818017786947,0.7241379310344828,0.4482758620689655
SF2,车辆 + 连续风格 + 皮电,2026,cwh,58,0.20450118864918576,0.21682026951798591,0.20890307996486282,0.7413793103448276,0.39655172413793105
SF2,车辆 + 连续风格 + 皮电,2026,gf,76,0.19257584052454482,0.18620531438653798,0.21447299578300627,0.5394736842105263,0.4342105263157895
SF2,车辆 + 连续风格 + 皮电,2026,tyy,29,0.4603562716009288,0.4255600967283907,0.49294703903383225,0.6896551724137931,0.41379310344827586
SF3,车辆 + 连续风格 + 肌电,2026,cwh,58,0.2902600110733303,0.31779211679280833,0.34403735760936577,0.7758620689655172,0.5
SF3,车辆 + 连续风格 + 肌电,2026,gf,76,0.222143066899949,0.2275410235222233,0.28333213829778525,0.6710526315789473,0.3684210526315789
SF3,车辆 + 连续风格 + 肌电,2026,tyy,29,0.42691545265501946,0.41144708903699084,0.4689843109969435,0.7586206896551724,0.5517241379310345
SF4,车辆 + 连续风格 + 脑电,2026,cwh,58,0.22322224038813648,0.24037995575606053,0.2455602203463686,0.8448275862068966,0.41379310344827586
SF4,车辆 + 连续风格 + 脑电,2026,gf,76,0.1993790413253009,0.20387411884056697,0.19342423035567133,0.618421052631579,0.3815789473684211
SF4,车辆 + 连续风格 + 脑电,2026,tyy,29,0.36270272346406146,0.3332387253898999,0.4022488202257403,0.7931034482758621,0.3793103448275862
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,2026,cwh,58,0.2093683070792206,0.2301504378817205,0.21779343349345284,0.7241379310344828,0.5344827586206896
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,2026,gf,76,0.2071656713286709,0.21127532646795244,0.20680554901053635,0.6052631578947368,0.5131578947368421
A1,车辆 + 连续风格 + 肌电 + 响应类型辅助,2026,tyy,29,0.43998102355619956,0.42174602788070154,0.5300747617308436,0.7931034482758621,0.41379310344827586
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,2026,cwh,58,0.26745858017740576,0.27859801933940115,0.3044188912187157,0.6896551724137931,0.43103448275862066
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,2026,gf,76,0.22256891250512317,0.23476810496006356,0.25625978097760754,0.6578947368421053,0.5131578947368421
A2,车辆 + 连续风格 + 非脑电生理 + 响应类型辅助,2026,tyy,29,0.4427573334040313,0.41854237777919606,0.5283171291752108,0.7586206896551724,0.5862068965517241
A3,车辆 + 连续风格 + 全生理 + 响应类型辅助,2026,cwh,58,0.22147475812455703,0.24870188848982597,0.24252933706959773,0.8275862068965517,0.4482758620689655
A3,车辆 + 连续风格 + 全生理 + 响应类型辅助,2026,gf,76,0.22201560584730223,0.22760604259459988,0.22403118788191168,0.5789473684210527,0.5131578947368421
A3,车辆 + 连续风格 + 全生理 + 响应类型辅助,2026,tyy,29,0.48000024676579855,0.48128784232740773,0.5970341502207106,0.7241379310344828,0.4827586206896552
B0,车辆-only 粗细双头,2026,cwh,58,0.21299825929876032,0.2238662296199593,0.24481268651012716,0.7931034482758621,0.5172413793103449
B0,车辆-only 粗细双头,2026,gf,76,0.19712333704688043,0.19514877265809397,0.2279845139771504,0.6447368421052632,0.4473684210526316
B0,车辆-only 粗细双头,2026,tyy,29,0.4391115411859134,0.3835947424944105,0.5851232659970892,0.7241379310344828,0.4482758620689655
B1,车辆 + 连续风格,2026,cwh,58,0.22780472682467823,0.25595498759427976,0.26208922050186784,0.7758620689655172,0.4827586206896552
B1,车辆 + 连续风格,2026,gf,76,0.2090338133888221,0.22887965806416774,0.20071773390334685,0.6973684210526315,0.3684210526315789
B1,车辆 + 连续风格,2026,tyy,29,0.4690344078016692,0.43634849671145964,0.5471779248067017,0.7586206896551724,0.4827586206896552
T1,脑电教师 -> 车辆 + 连续风格学生,2026,cwh,58,0.2201518969417646,0.23941453684378286,0.24554366761304694,0.7586206896551724,0.39655172413793105
T1,脑电教师 -> 车辆 + 连续风格学生,2026,gf,76,0.18260801318836836,0.1808512594281254,0.19441264294896668,0.5657894736842105,0.47368421052631576
T1,脑电教师 -> 车辆 + 连续风格学生,2026,tyy,29,0.39751698076725006,0.35558828949157534,0.4666165118908574,0.7586206896551724,0.4827586206896552
T2,非脑电生理教师 -> 车辆 + 连续风格学生,2026,cwh,58,0.21530679449567508,0.2309620165073409,0.2589230320801766,0.7241379310344828,0.4482758620689655
T2,非脑电生理教师 -> 车辆 + 连续风格学生,2026,gf,76,0.19968294940496745,0.19486090891970023,0.2288212868336,0.6578947368421053,0.42105263157894735
T2,非脑电生理教师 -> 车辆 + 连续风格学生,2026,tyy,29,0.3850245390986574,0.34116387367248535,0.4555695762151274,0.8275862068965517,0.4827586206896552
T3,全生理教师 -> 车辆 + 连续风格学生,2026,cwh,58,0.20687857796919756,0.22002889913033116,0.2391897265253396,0.7758620689655172,0.41379310344827586
T3,全生理教师 -> 车辆 + 连续风格学生,2026,gf,76,0.19231964255634104,0.19071588459375657,0.21239507860062937,0.6973684210526315,0.4342105263157895
T3,全生理教师 -> 车辆 + 连续风格学生,2026,tyy,29,0.4234458463716096,0.3860165063805621,0.5085277581780121,0.7931034482758621,0.5172413793103449
T4,全生理教师 -> 车辆 + 连续风格 + 肌电学生,2026,cwh,58,0.2311070566547328,0.2442345768213272,0.26862655246052247,0.7241379310344828,0.5
T4,全生理教师 -> 车辆 + 连续风格 + 肌电学生,2026,gf,76,0.23910403447715858,0.22770047802968243,0.32579200778548656,0.631578947368421,0.39473684210526316
T4,全生理教师 -> 车辆 + 连续风格 + 肌电学生,2026,tyy,29,0.45954888391083687,0.4312071017920971,0.6001209094478138,0.7931034482758621,0.5172413793103449
C1,车辆 + 心率 + 皮电 + 肌电,2026,cwh,58,0.21954087383145915,0.230323530854015,0.2377884104398304,0.7758620689655172,0.43103448275862066
C1,车辆 + 心率 + 皮电 + 肌电,2026,gf,76,0.22768426245372547,0.2276468525371073,0.2737632397942147,0.6842105263157895,0.5
C1,车辆 + 心率 + 皮电 + 肌电,2026,tyy,29,0.49887433840796863,0.5001484557729343,0.6395248268441908,0.7586206896551724,0.5517241379310345
C2,车辆 + 连续风格 + 心率 + 皮电 + 肌电,2026,cwh,58,0.22609818334980258,0.24364702034227806,0.24135028633513841,0.7931034482758621,0.41379310344827586
C2,车辆 + 连续风格 + 心率 + 皮电 + 肌电,2026,gf,76,0.22245235665162144,0.22542599077630593,0.2433056518876631,0.6973684210526315,0.4473684210526316
C2,车辆 + 连续风格 + 心率 + 皮电 + 肌电,2026,tyy,29,0.4267025406247583,0.43762390572449256,0.5043256742044769,0.6896551724137931,0.3448275862068966
C3,车辆 + 心率 + 皮电 + 肌电 + 脑电,2026,cwh,58,0.2812629200775048,0.30414173886950674,0.34452205774342193,0.6206896551724138,0.41379310344827586
C3,车辆 + 心率 + 皮电 + 肌电 + 脑电,2026,gf,76,0.21931277548796252,0.21456329977924102,0.260221285720993,0.5921052631578947,0.40789473684210525
