model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,717,0.6805719781265177,0.5269085819316538,0.7664118635339502,0.8670531161846476,180,1.0,1.0,0.0,1.2939889430999756
zero_delta,val,164,0.6647454284332878,0.5862911428724323,0.7143075318069839,0.9704712463043085,42,1.0,1.0,0.0,1.2939889430999756
zero_delta,test,184,0.3103253156007492,0.2924444338805426,0.32318031663939695,0.3727534985088784,11,1.0,1.0,0.0,1.2939889430999756
linear_trend_from_last_rate,train,717,2.698916825495892,1.182154772167063,3.3445048683371734,2.0090115974804017,180,0.8611111111111112,0.6666666666666666,0.34444444444444444,1.2939889430999756
linear_trend_from_last_rate,val,164,2.765506806515056,1.2719285133595064,3.4128281655610033,2.4430293604368116,42,0.8809523809523809,0.7142857142857143,0.2857142857142857,1.2939889430999756
linear_trend_from_last_rate,test,184,1.4620305832248484,0.6216086166941414,1.8162805657331917,0.9794875370419543,11,0.7272727272727273,0.45454545454545453,0.5454545454545454,1.2939889430999756
train_global_mean,train,717,0.6792141153771111,0.5259442160455802,0.7648317158797548,0.8422306860839971,180,0.5,1.0,0.0,1.2939889430999756
train_global_mean,val,164,0.6650390849064447,0.5890415117081405,0.71332309094619,0.9254858409304444,42,0.5,1.0,0.0,1.2939889430999756
train_global_mean,test,184,0.3086023450209792,0.2916056137672255,0.32089020804999313,0.36998827868829604,11,0.45454545454545453,1.0,0.0,1.2939889430999756
train_category_mean,train,717,0.67908369846672,0.5258154587294579,0.7646991035756479,0.8394986365089191,180,0.5,1.0,0.0,1.2939889430999756
train_category_mean,val,164,0.6647757122221758,0.5894482278083231,0.712682866170502,0.9205511983756612,42,0.5,1.0,0.0,1.2939889430999756
train_category_mean,test,184,0.3089230506700566,0.29155583773705285,0.3214279153037565,0.369661938480061,11,0.45454545454545453,1.0,0.0,1.2939889430999756
train_context_mean,train,717,0.6663068878406937,0.5171064999124837,0.7496920589230489,0.7913009958079337,180,0.46111111111111114,1.0,0.0,1.2939889430999756
train_context_mean,val,164,0.6475881966428843,0.5715141700596579,0.6955991004310657,0.8221573843734293,42,0.5476190476190477,1.0,0.0,1.2939889430999756
train_context_mean,test,184,0.31944563495142325,0.29512726661138106,0.3362231481742932,0.3786980347788852,11,0.45454545454545453,1.0,0.0,1.2939889430999756
torch_linear_vehicle_context,train,717,0.6085746595647433,0.4515469960913768,0.6942582442412625,0.5671060396101185,180,0.2833333333333333,0.7388888888888889,0.5388888888888889,1.2939889430999756
torch_linear_vehicle_context,val,164,0.6751621254733946,0.5487796314033815,0.7488939155885649,0.5815377705162619,42,0.23809523809523808,0.7857142857142857,0.30952380952380953,1.2939889430999756
torch_linear_vehicle_context,test,184,0.31806517973520765,0.29534352709743933,0.3334912569245412,0.34581339513154136,11,0.18181818181818182,1.0,0.09090909090909091,1.2939889430999756
torch_mlp256_vehicle_context,train,717,0.5927847495091628,0.4327959505077707,0.6789857815600745,0.5066529403816041,180,0.25555555555555554,0.5888888888888889,0.8333333333333334,1.2939889430999756
torch_mlp256_vehicle_context,val,164,0.6361185064630894,0.52170255290272,0.7033918298294545,0.46722046894634645,42,0.11904761904761904,0.5476190476190477,0.7857142857142857,1.2939889430999756
torch_mlp256_vehicle_context,test,184,0.34994388539204224,0.3216509418811169,0.3683384247179114,0.39605571855993377,11,0.2727272727272727,0.6363636363636364,0.5454545454545454,1.2939889430999756
torch_mlp512_vehicle_context,train,717,0.5524544697984227,0.40555691284267553,0.6319991170780437,0.46676352644024866,180,0.25,0.4444444444444444,0.9333333333333333,1.2939889430999756
torch_mlp512_vehicle_context,val,164,0.6526841514711181,0.5205696741956978,0.7283687903796,0.45003170411034327,42,0.21428571428571427,0.38095238095238093,0.9285714285714286,1.2939889430999756
torch_mlp512_vehicle_context,test,184,0.3605646676646229,0.3357939635293422,0.3780267871644661,0.4232077038158541,11,0.2727272727272727,0.8181818181818182,0.5454545454545454,1.2939889430999756
