model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,717,0.6805719781265177,0.5269085819316538,0.7664118635339502,0.8670531161846476,180,1.0,1.0,0.0,1.2939889430999756
zero_delta,val,164,0.6647454284332878,0.5862911428724323,0.7143075318069839,0.9704712463043085,42,1.0,1.0,0.0,1.2939889430999756
zero_delta,test,184,0.3103253156007492,0.2924444338805426,0.32318031663939695,0.3727534985088784,11,1.0,1.0,0.0,1.2939889430999756
linear_trend_from_last_rate,train,717,2.698916825495892,1.182154772167063,3.3445048683371734,2.0090115974804017,180,0.8611111111111112,0.6666666666666666,0.34444444444444444,1.2939889430999756
linear_trend_from_last_rate,val,164,2.765506806515056,1.2719285133595064,3.4128281655610033,2.4430293604368116,42,0.8809523809523809,0.7142857142857143,0.2857142857142857,1.2939889430999756
linear_trend_from_last_rate,test,184,1.4620305832248484,0.6216086166941414,1.8162805657331917,0.9794875370419543,11,0.7272727272727273,0.45454545454545453,0.5454545454545454,1.2939889430999756
train_global_mean,train,717,0.6792141153771111,0.5259442160455802,0.7648317158797548,0.8422306860839971,180,0.5,1.0,0.0,1.2939889430999756
train_global_mean,val,164,0.6650390849064447,0.5890415117081405,0.71332309094619,0.9254858409304444,42,0.5,1.0,0.0,1.2939889430999756
train_global_mean,test,184,0.3086023450209792,0.2916056137672255,0.32089020804999313,0.36998827868829604,11,0.45454545454545453,1.0,0.0,1.2939889430999756
train_category_mean,train,717,0.67908369846672,0.5258154587294579,0.7646991035756479,0.8394986365089191,180,0.5,1.0,0.0,1.2939889430999756
train_category_mean,val,164,0.6647757122221758,0.5894482278083231,0.712682866170502,0.9205511983756612,42,0.5,1.0,0.0,1.2939889430999756
train_category_mean,test,184,0.3089230506700566,0.29155583773705285,0.3214279153037565,0.369661938480061,11,0.45454545454545453,1.0,0.0,1.2939889430999756
train_context_mean,train,717,0.6663068878406937,0.5171064999124837,0.7496920589230489,0.7913009958079337,180,0.46111111111111114,1.0,0.0,1.2939889430999756
train_context_mean,val,164,0.6475881966428843,0.5715141700596579,0.6955991004310657,0.8221573843734293,42,0.5476190476190477,1.0,0.0,1.2939889430999756
train_context_mean,test,184,0.31944563495142325,0.29512726661138106,0.3362231481742932,0.3786980347788852,11,0.45454545454545453,1.0,0.0,1.2939889430999756
torch_linear_vehicle_context,train,717,0.6150661420145463,0.45430378666718063,0.7025110319228426,0.5674510216301455,180,0.29444444444444445,0.7833333333333333,0.55,1.2939889430999756
torch_linear_vehicle_context,val,164,0.680645213146635,0.5508806936975189,0.7563781929131544,0.5845679260063462,42,0.21428571428571427,0.7857142857142857,0.3333333333333333,1.2939889430999756
torch_linear_vehicle_context,test,184,0.31787409392785393,0.30080564821049893,0.3299554337225069,0.3451299837425999,11,0.09090909090909091,1.0,0.18181818181818182,1.2939889430999756
torch_mlp256_vehicle_context,train,717,0.5987561893740523,0.4369514295878292,0.6858254543197952,0.5217443048808531,180,0.23333333333333334,0.6388888888888888,0.8,1.2939889430999756
torch_mlp256_vehicle_context,val,164,0.6497316200721392,0.5316344160604497,0.7192953777245858,0.463010711459125,42,0.11904761904761904,0.5476190476190477,0.8095238095238095,1.2939889430999756
torch_mlp256_vehicle_context,test,184,0.3571730409367278,0.33325350694678396,0.3731566063036079,0.43981947976609936,11,0.45454545454545453,0.9090909090909091,0.36363636363636365,1.2939889430999756
torch_mlp512_vehicle_context,train,717,0.5618726357738074,0.4071114283575625,0.6451416824037615,0.4812239306346309,180,0.22777777777777777,0.5055555555555555,0.8944444444444445,1.2939889430999756
torch_mlp512_vehicle_context,val,164,0.6591732900803566,0.5275955729209888,0.7351520566587615,0.4481273921342885,42,0.11904761904761904,0.38095238095238093,0.8809523809523809,1.2939889430999756
torch_mlp512_vehicle_context,test,184,0.3622310388774511,0.33833907252096473,0.37791482270256016,0.42114504459111585,11,0.5454545454545454,0.6363636363636364,0.45454545454545453,1.2939889430999756
