model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,515,0.7550052676743411,0.6725131264720803,0.8049599639935562,0.9529043280528587,129,1.0,1.0,0.0,1.4551247358322144
zero_delta,val,139,0.6846111900325554,0.6496550378216999,0.7087385103347313,1.032356417650799,28,1.0,1.0,0.0,1.4551247358322144
zero_delta,test,96,0.3175359033949982,0.32554832978148973,0.314468371572554,0.365502846633414,5,1.0,1.0,0.0,1.4551247358322144
linear_trend_from_last_rate,train,515,6.2364171252066125,2.60364336986747,7.756781533569286,4.813341641035474,129,0.7441860465116279,0.5891472868217055,0.4186046511627907,1.4551247358322144
linear_trend_from_last_rate,val,139,7.470643126801557,3.066632810350477,9.30341115760668,6.28483863657327,28,0.7857142857142857,0.5714285714285714,0.5,1.4551247358322144
linear_trend_from_last_rate,test,96,2.910548978586426,1.2648929315421842,3.6092521349319364,1.8587674870044186,5,0.8,0.4,0.6,1.4551247358322144
train_global_mean,train,515,0.752396252346085,0.6689069973630234,0.8028195004215521,0.913307126647639,129,0.5271317829457365,1.0,0.0,1.4551247358322144
train_global_mean,val,139,0.6874151394229343,0.6524544125193965,0.711657819432365,0.9572325373510663,28,0.5357142857142857,1.0,0.0,1.4551247358322144
train_global_mean,test,96,0.3183422201016314,0.32837063813843015,0.3139463570522708,0.3896641586397891,5,0.6,1.0,0.0,1.4551247358322144
train_category_mean,train,515,0.7498847554992376,0.6667081079914361,0.8001109225145139,0.9082437996653099,129,0.5271317829457365,1.0,0.0,1.4551247358322144
train_category_mean,val,139,0.6929248146484911,0.6595133749232475,0.7162487210433752,0.961491335344186,28,0.5357142857142857,1.0,0.0,1.4551247358322144
train_category_mean,test,96,0.32013658019111674,0.33217996744854517,0.3144463485082379,0.3963067779429063,5,0.6,1.0,0.0,1.4551247358322144
train_context_mean,train,515,0.7485073256124578,0.6672897680372496,0.797670079932407,0.8953327518643684,129,0.4806201550387597,1.0,0.0,1.4551247358322144
train_context_mean,val,139,0.6824293191871698,0.6543229055208558,0.7025127076123006,0.9268264467124459,28,0.35714285714285715,1.0,0.0,1.4551247358322144
train_context_mean,test,96,0.32948118326006387,0.3301089458635222,0.33125817675665065,0.4052494915158604,5,0.6,1.0,0.0,1.4551247358322144
torch_linear_vehicle_context,train,515,0.6465640062228875,0.5050468842299551,0.7257730851058032,0.5526268026927142,129,0.18604651162790697,0.5193798449612403,0.7674418604651163,1.4551247358322144
torch_linear_vehicle_context,val,139,0.6650257977522567,0.5600908664228367,0.7282660417292645,0.519105377171537,28,0.35714285714285715,0.5357142857142857,0.6785714285714286,1.4551247358322144
torch_linear_vehicle_context,test,96,0.3503576401374646,0.32237103212243584,0.3690309512989723,0.44191054591162054,5,0.0,0.8,0.4,1.4551247358322144
torch_mlp256_vehicle_context,train,515,0.582469288912772,0.4449782204388058,0.6587705119303628,0.4663936913736816,129,0.20155038759689922,0.34108527131782945,0.875968992248062,1.4551247358322144
torch_mlp256_vehicle_context,val,139,0.6178406506667539,0.5297556785433967,0.6718881517054576,0.43646703971375667,28,0.2857142857142857,0.32142857142857145,0.8571428571428571,1.4551247358322144
torch_mlp256_vehicle_context,test,96,0.3468919668258022,0.2993420936800688,0.3758486046969563,0.4419405290658081,5,0.6,0.8,0.2,1.4551247358322144
torch_mlp512_vehicle_context,train,515,0.5060786063085898,0.3941689139914345,0.568919872235046,0.42034918239105096,129,0.16279069767441862,0.2248062015503876,0.9302325581395349,1.4551247358322144
torch_mlp512_vehicle_context,val,139,0.6087513201814785,0.5206523072040959,0.6638201776320377,0.42436581378360444,28,0.25,0.32142857142857145,0.8571428571428571,1.4551247358322144
torch_mlp512_vehicle_context,test,96,0.38073544564485823,0.35226899261117023,0.4025323666418707,0.3829087212482894,5,0.6,0.6,0.4,1.4551247358322144
