model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,515,0.7550052676743411,0.6725131264720803,0.8049599639935562,0.9529043280528587,129,1.0,1.0,0.0,1.4551247358322144
zero_delta,val,139,0.6846111900325554,0.6496550378216999,0.7087385103347313,1.032356417650799,28,1.0,1.0,0.0,1.4551247358322144
zero_delta,test,96,0.3175359033949982,0.32554832978148973,0.314468371572554,0.365502846633414,5,1.0,1.0,0.0,1.4551247358322144
linear_trend_from_last_rate,train,515,6.2364171252066125,2.60364336986747,7.756781533569286,4.813341641035474,129,0.7441860465116279,0.5891472868217055,0.4186046511627907,1.4551247358322144
linear_trend_from_last_rate,val,139,7.470643126801557,3.066632810350477,9.30341115760668,6.28483863657327,28,0.7857142857142857,0.5714285714285714,0.5,1.4551247358322144
linear_trend_from_last_rate,test,96,2.910548978586426,1.2648929315421842,3.6092521349319364,1.8587674870044186,5,0.8,0.4,0.6,1.4551247358322144
train_global_mean,train,515,0.752396252346085,0.6689069973630234,0.8028195004215521,0.913307126647639,129,0.5271317829457365,1.0,0.0,1.4551247358322144
train_global_mean,val,139,0.6874151394229343,0.6524544125193965,0.711657819432365,0.9572325373510663,28,0.5357142857142857,1.0,0.0,1.4551247358322144
train_global_mean,test,96,0.3183422201016314,0.32837063813843015,0.3139463570522708,0.3896641586397891,5,0.6,1.0,0.0,1.4551247358322144
train_category_mean,train,515,0.7498847554992376,0.6667081079914361,0.8001109225145139,0.9082437996653099,129,0.5271317829457365,1.0,0.0,1.4551247358322144
train_category_mean,val,139,0.6929248146484911,0.6595133749232475,0.7162487210433752,0.961491335344186,28,0.5357142857142857,1.0,0.0,1.4551247358322144
train_category_mean,test,96,0.32013658019111674,0.33217996744854517,0.3144463485082379,0.3963067779429063,5,0.6,1.0,0.0,1.4551247358322144
train_context_mean,train,515,0.7485073256124578,0.6672897680372496,0.797670079932407,0.8953327518643684,129,0.4806201550387597,1.0,0.0,1.4551247358322144
train_context_mean,val,139,0.6824293191871698,0.6543229055208558,0.7025127076123006,0.9268264467124459,28,0.35714285714285715,1.0,0.0,1.4551247358322144
train_context_mean,test,96,0.32948118326006387,0.3301089458635222,0.33125817675665065,0.4052494915158604,5,0.6,1.0,0.0,1.4551247358322144
torch_linear_vehicle_context,train,515,0.6534110150290042,0.5110301269190463,0.7334186332756312,0.5499337196494769,129,0.17829457364341086,0.5116279069767442,0.7364341085271318,1.4551247358322144
torch_linear_vehicle_context,val,139,0.6723294606287181,0.5750223103631632,0.73119033015752,0.5028392415252521,28,0.35714285714285715,0.6785714285714286,0.6785714285714286,1.4551247358322144
torch_linear_vehicle_context,test,96,0.34671613474784013,0.324239764624073,0.36220263254513874,0.4238800932143931,5,0.0,0.8,0.2,1.4551247358322144
torch_mlp256_vehicle_context,train,515,0.6012269607697877,0.44858293733550386,0.6844723967482165,0.4571963236893265,129,0.20930232558139536,0.2558139534883721,0.9147286821705426,1.4551247358322144
torch_mlp256_vehicle_context,val,139,0.634960954396844,0.532893723368533,0.6959566925444536,0.3991364366073403,28,0.39285714285714285,0.25,0.9642857142857143,1.4551247358322144
torch_mlp256_vehicle_context,test,96,0.37225681546686223,0.30523181858559295,0.41165589969405525,0.42638409520683734,5,0.6,0.6,1.0,1.4551247358322144
torch_mlp512_vehicle_context,train,515,0.5505424685333671,0.4213841196203247,0.6222102129175591,0.46862078585381645,129,0.20155038759689922,0.24031007751937986,0.875968992248062,1.4551247358322144
torch_mlp512_vehicle_context,val,139,0.6296067453479298,0.5395557247988318,0.6846101235038777,0.43636357312579804,28,0.32142857142857145,0.35714285714285715,0.8571428571428571,1.4551247358322144
torch_mlp512_vehicle_context,test,96,0.3921057102893253,0.3459156913051273,0.42124627205079224,0.4893679321855113,5,1.0,0.6,0.4,1.4551247358322144
