model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,110,0.5372437187722293,0.5633647153180955,0.519095790468394,0.7129962840540842,28,1.0,1.0,0.0,1.1261304914951324
zero_delta,val,38,0.5142861815906475,0.5364242900922804,0.4993083610759445,0.7821923204158482,10,1.0,1.0,0.0,1.1261304914951324
zero_delta,test,21,0.27207399736854293,0.2766702022001035,0.27000140220666513,0.31435449492363704,2,1.0,1.0,0.0,1.1261304914951324
linear_trend_from_last_rate,train,110,5.484549408228876,2.2708053820461767,6.82453066151805,3.91438514102589,28,0.6785714285714286,0.5357142857142857,0.5,1.1261304914951324
linear_trend_from_last_rate,val,38,4.981939695467265,2.1419201573469584,6.181671171429267,3.8190901444146506,10,0.9,0.7,0.3,1.1261304914951324
linear_trend_from_last_rate,test,21,2.5652719717115526,1.1155073964084485,3.1806813029640977,1.6788627349195027,2,1.0,0.0,1.0,1.1261304914951324
train_global_mean,train,110,0.5347129210644366,0.5605930216332796,0.5166766971978332,0.6739694746380502,28,0.42857142857142855,1.0,0.0,1.1261304914951324
train_global_mean,val,38,0.510795371676367,0.52412076736477,0.5017032520867023,0.7011940675346475,10,0.3,1.0,0.0,1.1261304914951324
train_global_mean,test,21,0.27697045093140193,0.27992355625117216,0.2761051566806783,0.33883251888411386,2,0.5,1.0,0.0,1.1261304914951324
train_category_mean,train,110,0.5229357691868748,0.5509863938107281,0.5033476638911769,0.6669886380095373,28,0.42857142857142855,0.9642857142857143,0.2857142857142857,1.1261304914951324
train_category_mean,val,38,0.5368720900309062,0.5464471505761584,0.530106632419078,0.7227431932758344,10,0.3,0.9,0.2,1.1261304914951324
train_category_mean,test,21,0.281533508988687,0.28732339835683496,0.2786364316096938,0.3545261202823548,2,0.5,1.0,0.0,1.1261304914951324
train_context_mean,train,110,0.5303405382053387,0.5562080710392331,0.512321902940961,0.6709236938845028,28,0.42857142857142855,1.0,0.0,1.1261304914951324
train_context_mean,val,38,0.49942332032790016,0.5066342108562393,0.49442323888204737,0.6746786636741537,10,0.3,1.0,0.0,1.1261304914951324
train_context_mean,test,21,0.26967666683783476,0.26639197918209123,0.2726728510789701,0.3378260423030172,2,0.5,1.0,0.0,1.1261304914951324
torch_linear_vehicle_context,train,110,0.32337378505497727,0.28984187709069564,0.3440741289652591,0.3147729516706683,28,0.07142857142857142,0.25,0.8571428571428571,1.1261304914951324
torch_linear_vehicle_context,val,38,0.4389527078378812,0.36795823391994487,0.4802944673616668,0.3046591791667436,10,0.1,0.2,0.9,1.1261304914951324
torch_linear_vehicle_context,test,21,0.3092153903302553,0.28431248920999985,0.3252101356404272,0.4147426592452185,2,0.0,1.0,0.0,1.1261304914951324
torch_mlp256_vehicle_context,train,110,0.278663076182176,0.2443008736166361,0.2992946249673897,0.26634212644262745,28,0.10714285714285714,0.07142857142857142,0.9642857142857143,1.1261304914951324
torch_mlp256_vehicle_context,val,38,0.47444397983942704,0.4144235332541989,0.5117126930402507,0.35149106148042175,10,0.2,0.0,1.0,1.1261304914951324
torch_mlp256_vehicle_context,test,21,0.33974672445187715,0.3027062433769678,0.3631834082976091,0.4783665658462615,2,0.0,0.0,1.0,1.1261304914951324
torch_mlp512_vehicle_context,train,110,0.26815327555277413,0.23975949531592827,0.2855125056925016,0.2813089993189682,28,0.03571428571428571,0.03571428571428571,1.0,1.1261304914951324
torch_mlp512_vehicle_context,val,38,0.4888973621500504,0.4370565721733631,0.5205039476891725,0.3631781214161923,10,0.1,0.0,1.0,1.1261304914951324
torch_mlp512_vehicle_context,test,21,0.34259767726660867,0.29027803126059926,0.3741193205239521,0.49262103296461557,2,0.0,0.0,1.0,1.1261304914951324
