sample_id,model_name,split,subject,session_stamp,v0_3_category,v0_3_category_cn,condition_context_cn,sample_rmse,gt_peak_signed,pred_peak_signed,gt_peak_abs,pred_peak_abs,large_response,wrong_side_large,severe_amp_under_large
rec_v1_hzh_2025_09_26_20_50_27_0002,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0007,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0008,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0009,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_vehicle_dynamic,非弯道车辆动态训练候选,fix_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0010,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_vehicle_dynamic,非弯道车辆动态训练候选,fix_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0011,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_vehicle_dynamic,非弯道车辆动态训练候选,fix_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0013,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,fix_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0015,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,fix_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0016,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0020,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0023,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0024,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_vehicle_dynamic,非弯道车辆动态训练候选,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0026,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_vehicle_dynamic,非弯道车辆动态训练候选,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0028,zero_delta,train,hzh,2025_09_26_20_50_27,train_noncurve_secondary_dynamic,非弯道次级动态训练候选,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
