sample_id,model_name,split,subject,session_stamp,v0_3_category,v0_3_category_cn,condition_context_cn,sample_rmse,gt_peak_signed,pred_peak_signed,gt_peak_abs,pred_peak_abs,large_response,wrong_side_large,severe_amp_under_large
rec_v1_hzh_2025_09_26_20_50_27_0003,zero_delta,train,hzh,2025_09_26_20_50_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0004,zero_delta,train,hzh,2025_09_26_20_50_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve1,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0005,zero_delta,train,hzh,2025_09_26_20_50_27,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,curve1,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0017,zero_delta,train,hzh,2025_09_26_20_50_27,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0018,zero_delta,train,hzh,2025_09_26_20_50_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0019,zero_delta,train,hzh,2025_09_26_20_50_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,middle_section,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0030,zero_delta,train,hzh,2025_09_26_20_50_27,review_mapping_uncertain,道路坐标映射不确定,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_20_50_27_0031,zero_delta,train,hzh,2025_09_26_20_50_27,review_mapping_uncertain,道路坐标映射不确定,differentmu_road,0.0,0.0,0.0,0.0,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0003,zero_delta,train,hzh,2025_09_26_21_03_19,train_curve_roll_dynamic,弯道侧倾/动态训练候选,middle_section,0.7334863683659945,1.1800174713134766,0.0,1.1800174713134766,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0004,zero_delta,train,hzh,2025_09_26_21_03_19,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,curve1,1.6293728752400394,2.924294948577881,0.0,2.924294948577881,0.0,True,True,True
rec_v1_hzh_2025_09_26_21_03_19_0010,zero_delta,train,hzh,2025_09_26_21_03_19,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,curve2,1.0486178338268322,-1.9095640182495117,0.0,1.9095640182495117,0.0,True,True,True
rec_v1_hzh_2025_09_26_21_03_19_0011,zero_delta,train,hzh,2025_09_26_21_03_19,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.8522820538675181,-1.5912160873413086,0.0,1.5912160873413086,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0012,zero_delta,train,hzh,2025_09_26_21_03_19,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.6075722118912531,-1.232030987739563,0.0,1.232030987739563,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0013,zero_delta,train,hzh,2025_09_26_21_03_19,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.5882054749987947,-1.1634318828582764,0.0,1.1634318828582764,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0021,zero_delta,train,hzh,2025_09_26_21_03_19,review_mapping_uncertain,道路坐标映射不确定,differentmu_road,0.3053854992295584,-0.6376560926437378,0.0,0.6376560926437378,0.0,False,False,False
rec_v1_hzh_2025_09_26_21_03_19_0022,zero_delta,train,hzh,2025_09_26_21_03_19,review_mapping_uncertain,道路坐标映射不确定,differentmu_road,1.0214924857581618,1.7499544620513916,0.0,1.7499544620513916,0.0,True,True,True
rec_v1_hzh_2025_09_26_21_03_19_0023,zero_delta,train,hzh,2025_09_26_21_03_19,review_mapping_uncertain,道路坐标映射不确定,differentmu_road,0.018227191180095918,0.04747290164232254,0.0,0.04747290164232254,0.0,False,False,False
rec_v1_hzh_2025_09_27_19_22_27_0002,zero_delta,train,hzh,2025_09_27_19_22_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,middle_section,0.33325460244267996,-0.5260419845581055,0.0,0.5260419845581055,0.0,False,False,False
rec_v1_hzh_2025_09_27_19_22_27_0003,zero_delta,train,hzh,2025_09_27_19_22_27,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,curve1,1.0901393694539125,-2.1455373764038086,0.0,2.1455373764038086,0.0,True,True,True
rec_v1_hzh_2025_09_27_19_22_27_0009,zero_delta,train,hzh,2025_09_27_19_22_27,review_curve_height_pose_abnormal,弯道高度/姿态异常复核,curve2,1.3116344140792051,-2.691295623779297,0.0,2.691295623779297,0.0,True,True,True
rec_v1_hzh_2025_09_27_19_22_27_0010,zero_delta,train,hzh,2025_09_27_19_22_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.8340993261514981,-1.8236069679260254,0.0,1.8236069679260254,0.0,True,True,True
rec_v1_hzh_2025_09_27_19_22_27_0011,zero_delta,train,hzh,2025_09_27_19_22_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.39295226151625834,0.5539671182632446,0.0,0.5539671182632446,0.0,False,False,False
rec_v1_hzh_2025_09_27_19_22_27_0012,zero_delta,train,hzh,2025_09_27_19_22_27,train_curve_normal_or_weak,弯道普通/弱侧倾训练候选,curve2,0.3837671831800674,-1.226271152496338,0.0,1.226271152496338,0.0,False,False,False
