model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,753,0.8178026586340577,0.6507399024971349,0.9119152703913477,1.0010961732130799,189,1.0,1.0,0.0,1.506742000579834
zero_delta,val,170,0.7432020781690206,0.6557713079710042,0.7973288571273013,1.0944984545602519,37,1.0,1.0,0.0,1.506742000579834
zero_delta,test,169,0.3277907599230575,0.3242616395272972,0.3318212293718596,0.37808784655813327,6,1.0,1.0,0.0,1.506742000579834
linear_trend_from_last_rate,train,753,5.732622174950345,2.357127350595175,7.1378267176686805,4.332364777874839,189,0.7619047619047619,0.5661375661375662,0.4497354497354497,1.506742000579834
linear_trend_from_last_rate,val,170,6.94858442202228,2.833829742776966,8.657079333297565,5.62927439098849,37,0.7837837837837838,0.6216216216216216,0.43243243243243246,1.506742000579834
linear_trend_from_last_rate,test,169,2.664051313181012,1.1587478874705788,3.303573528863541,1.7330087632141986,6,0.8333333333333334,0.5,0.5,1.506742000579834
train_global_mean,train,753,0.8165829845943797,0.6491570444540629,0.9108144647598932,0.9711557165416549,189,0.5291005291005291,1.0,0.0,1.506742000579834
train_global_mean,val,170,0.7453175046740752,0.6588057750275075,0.7990148274832679,1.0405753639691016,37,0.5945945945945946,1.0,0.0,1.506742000579834
train_global_mean,test,169,0.32600789316691,0.32278962738381367,0.3298149752839357,0.37939481897219,6,0.5,1.0,0.0,1.506742000579834
train_category_mean,train,753,0.8133601624006213,0.6462147775787388,0.907389286423299,0.9465581443071721,189,0.5291005291005291,1.0,0.0,1.506742000579834
train_category_mean,val,170,0.7482415884598554,0.6625062546344823,0.8015953577754282,1.0214468888719292,37,0.5945945945945946,1.0,0.0,1.506742000579834
train_category_mean,test,169,0.3294151125556081,0.32847687609527493,0.3317596334346563,0.3749787953100856,6,0.5,1.0,0.0,1.506742000579834
train_context_mean,train,753,0.8094414216112177,0.6451605296899557,0.9020379609347806,0.9175794729332168,189,0.43915343915343913,1.0,0.0,1.506742000579834
train_context_mean,val,170,0.7321269751364671,0.6516355679385198,0.7824186739234748,0.9553279447204926,37,0.32432432432432434,1.0,0.0,1.506742000579834
train_context_mean,test,169,0.3490693807649471,0.33633266538951273,0.35890870318905044,0.3783505865959616,6,0.5,1.0,0.0,1.506742000579834
torch_linear_vehicle_context,train,753,0.6760734852345075,0.4839304298959417,0.7782796085679629,0.6097219736942375,189,0.18518518518518517,0.582010582010582,0.7142857142857143,1.506742000579834
torch_linear_vehicle_context,val,170,0.699725026380439,0.5473548963382635,0.7856541283912154,0.5870987569146296,37,0.32432432432432434,0.7297297297297297,0.5135135135135135,1.506742000579834
torch_linear_vehicle_context,test,169,0.3644365787327636,0.34118314956334417,0.3807121579206108,0.3959360053175895,6,0.16666666666666666,1.0,0.3333333333333333,1.506742000579834
torch_mlp256_vehicle_context,train,753,0.36932249483511126,0.29928159277925104,0.40963885052650906,0.3051171531037466,189,0.12698412698412698,0.07936507936507936,0.9470899470899471,1.506742000579834
torch_mlp256_vehicle_context,val,170,0.6315635553924033,0.49403276133205076,0.7096303723823849,0.41913197706727423,37,0.1891891891891892,0.2702702702702703,0.8648648648648649,1.506742000579834
torch_mlp256_vehicle_context,test,169,0.37728770137931006,0.312639372263796,0.41599545855289854,0.36413256375852027,6,0.3333333333333333,0.5,0.8333333333333334,1.506742000579834
torch_mlp512_vehicle_context,train,753,0.3862794056596773,0.3067257756863206,0.4313252189937702,0.3255839586470667,189,0.12169312169312169,0.08465608465608465,0.9576719576719577,1.506742000579834
torch_mlp512_vehicle_context,val,170,0.6356084070506136,0.4902823679255565,0.7173246680505058,0.4061740412431605,37,0.24324324324324326,0.21621621621621623,0.918918918918919,1.506742000579834
torch_mlp512_vehicle_context,test,169,0.41438863613885074,0.33741735930091826,0.45988709976814673,0.410468917377238,6,0.5,0.5,0.6666666666666666,1.506742000579834
