model_name,split,n,rmse_steer,primary_rmse_0_2s,tail_rmse_2_5s,peak_abs_mae,large_response_n,wrong_side_rate_large,severe_amp_under_rate_large,large_response_recall,large_threshold_train_p75
zero_delta,train,753,0.8178026586340577,0.6507399024971349,0.9119152703913477,1.0010961732130799,189,1.0,1.0,0.0,1.506742000579834
zero_delta,val,170,0.7432020781690206,0.6557713079710042,0.7973288571273013,1.0944984545602519,37,1.0,1.0,0.0,1.506742000579834
zero_delta,test,169,0.3277907599230575,0.3242616395272972,0.3318212293718596,0.37808784655813327,6,1.0,1.0,0.0,1.506742000579834
linear_trend_from_last_rate,train,753,5.732622174950345,2.357127350595175,7.1378267176686805,4.332364777874839,189,0.7619047619047619,0.5661375661375662,0.4497354497354497,1.506742000579834
linear_trend_from_last_rate,val,170,6.94858442202228,2.833829742776966,8.657079333297565,5.62927439098849,37,0.7837837837837838,0.6216216216216216,0.43243243243243246,1.506742000579834
linear_trend_from_last_rate,test,169,2.664051313181012,1.1587478874705788,3.303573528863541,1.7330087632141986,6,0.8333333333333334,0.5,0.5,1.506742000579834
train_global_mean,train,753,0.8165829845943797,0.6491570444540629,0.9108144647598932,0.9711557165416549,189,0.5291005291005291,1.0,0.0,1.506742000579834
train_global_mean,val,170,0.7453175046740752,0.6588057750275075,0.7990148274832679,1.0405753639691016,37,0.5945945945945946,1.0,0.0,1.506742000579834
train_global_mean,test,169,0.32600789316691,0.32278962738381367,0.3298149752839357,0.37939481897219,6,0.5,1.0,0.0,1.506742000579834
train_category_mean,train,753,0.8133601624006213,0.6462147775787388,0.907389286423299,0.9465581443071721,189,0.5291005291005291,1.0,0.0,1.506742000579834
train_category_mean,val,170,0.7482415884598554,0.6625062546344823,0.8015953577754282,1.0214468888719292,37,0.5945945945945946,1.0,0.0,1.506742000579834
train_category_mean,test,169,0.3294151125556081,0.32847687609527493,0.3317596334346563,0.3749787953100856,6,0.5,1.0,0.0,1.506742000579834
train_context_mean,train,753,0.8094414216112177,0.6451605296899557,0.9020379609347806,0.9175794729332168,189,0.43915343915343913,1.0,0.0,1.506742000579834
train_context_mean,val,170,0.7321269751364671,0.6516355679385198,0.7824186739234748,0.9553279447204926,37,0.32432432432432434,1.0,0.0,1.506742000579834
train_context_mean,test,169,0.3490693807649471,0.33633266538951273,0.35890870318905044,0.3783505865959616,6,0.5,1.0,0.0,1.506742000579834
torch_linear_vehicle_context,train,753,0.6838957637116282,0.4955435277256566,0.7847313941337035,0.6127409658816508,189,0.1693121693121693,0.5925925925925926,0.7248677248677249,1.506742000579834
torch_linear_vehicle_context,val,170,0.7025143620865782,0.5574247225158715,0.7850235024961246,0.597430735300569,37,0.35135135135135137,0.7567567567567568,0.5135135135135135,1.506742000579834
torch_linear_vehicle_context,test,169,0.36682957593852933,0.3454149844991833,0.3821561987372531,0.39002144867251215,6,0.16666666666666666,1.0,0.16666666666666666,1.506742000579834
torch_mlp256_vehicle_context,train,753,0.3417273096408832,0.2770758799336817,0.3788354748567323,0.2845178910445763,189,0.13227513227513227,0.08465608465608465,0.9417989417989417,1.506742000579834
torch_mlp256_vehicle_context,val,170,0.6205238030438209,0.4777795696948822,0.7006621992187769,0.38358319252729417,37,0.1891891891891892,0.2702702702702703,0.8648648648648649,1.506742000579834
torch_mlp256_vehicle_context,test,169,0.38415686380052916,0.31338437825409654,0.4266732871981157,0.34595165676547535,6,0.3333333333333333,0.5,1.0,1.506742000579834
torch_mlp512_vehicle_context,train,753,0.3239700673524455,0.2609268848749867,0.3599409125766249,0.2907536714888149,189,0.10052910052910052,0.06878306878306878,0.9576719576719577,1.506742000579834
torch_mlp512_vehicle_context,val,170,0.6265816464435883,0.49158860660496034,0.7030939307236123,0.4057761532418868,37,0.21621621621621623,0.2702702702702703,0.8648648648648649,1.506742000579834
torch_mlp512_vehicle_context,test,169,0.39692175281914566,0.31682644716614244,0.4435251405013352,0.38102151313934407,6,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.506742000579834
