plot_type,rank,array_row,sample_id,event_uid,subject,gt_peak_abs
fixed_pre2_session_test,1,62,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001__pre2_label2_old_main,raw_road_curvature_onset__gf__2025_09_26_10_40_59__00001,gf,2.2984201908111572
fixed_pre2_session_test,2,282,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001__pre2_label2_old_main,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00001,zdq,2.290398597717285
fixed_pre2_session_test,3,167,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00001,lxy,1.9851359128952026
fixed_pre2_session_test,4,106,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00001,hzh,1.7392239570617676
fixed_pre2_session_test,5,232,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00001__pre2_label2_old_main,raw_road_curvature_onset__yyl__2025_09_28_09_14_23__00001,yyl,1.483359932899475
fixed_pre2_session_test,6,94,raw_road_curvature_onset__hzh__2025_09_26_20_50_27__00001__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_26_20_50_27__00001,hzh,1.4679960012435913
fixed_pre2_session_test,7,169,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00003__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00003,lxy,0.4408699870109558
fixed_pre2_session_test,8,340,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00004__pre2_label2_old_main,raw_road_curvature_onset__zx__2025_09_27_18_17_48__00004,zx,0.44575729966163635
fixed_pre2_session_test,9,171,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00005__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00005,lxy,0.38763701915740967
fixed_pre2_session_test,10,107,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00002__pre2_label2_old_main,raw_road_curvature_onset__hzh__2025_09_27_19_22_27__00002,hzh,0.5047492980957031
fixed_pre2_session_test,11,285,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00004__pre2_label2_old_main,raw_road_curvature_onset__zdq__2025_09_26_15_37_30__00004,zdq,0.37350088357925415
fixed_pre2_session_test,12,168,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00002__pre2_label2_old_main,raw_road_curvature_onset__lxy__2025_09_28_18_19_35__00002,lxy,0.36128300428390503
