window_config_id,split_strategy,model_name,feature_count_no_subject,excluded_feature_prefix,status,selected_alpha,val_rmse_for_selection,train_rmse,selected_k,train_rmse_leave_one_out,selected_gamma,median_train_sqdist
pre1_label2_event_trigger,random_event_split,ridge_vehicle_no_subject,60,subject=,ok,10.0,0.2845085561275482,0.3756782114505768,,,,
pre1_label2_event_trigger,random_event_split,knn_vehicle_no_subject,60,subject=,ok,,0.30882954597473145,,9.0,0.48809200525283813,,
pre1_label2_event_trigger,random_event_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.2973744571208954,0.2966025769710541,,,0.0030421162955609803,82.17963276578118
pre1_label2_event_trigger,session_level_split,ridge_vehicle_no_subject,60,subject=,ok,100.0,0.509955644607544,0.392302930355072,,,,
pre1_label2_event_trigger,session_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.473662406206131,,9.0,0.4654122591018677,,
pre1_label2_event_trigger,session_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.01,0.39814502000808716,0.17831110954284668,,,0.003128962244331207,79.8986949915836
pre1_label2_event_trigger,subject_level_split,ridge_vehicle_no_subject,60,subject=,ok,10.0,0.4106813371181488,0.3450683355331421,,,,
pre1_label2_event_trigger,subject_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.40589624643325806,,3.0,0.43956640362739563,,
pre1_label2_event_trigger,subject_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.39098140597343445,0.277800589799881,,,0.0029684273351541237,84.2196799090653
pre2_label2_old_main,random_event_split,ridge_vehicle_no_subject,60,subject=,ok,10.0,0.34596896171569824,0.3809560239315033,,,,
pre2_label2_old_main,random_event_split,knn_vehicle_no_subject,60,subject=,ok,,0.3489524722099304,,3.0,0.47436046600341797,,
pre2_label2_old_main,random_event_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.32814866304397583,0.2991310656070709,,,0.0029427022417083627,84.95592807747497
pre2_label2_old_main,session_level_split,ridge_vehicle_no_subject,60,subject=,ok,100.0,0.47200989723205566,0.397084504365921,,,,
pre2_label2_old_main,session_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.46997135877609253,,9.0,0.4581572115421295,,
pre2_label2_old_main,session_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.4156065285205841,0.2750322222709656,,,0.0030521989398834084,81.90816028838205
pre2_label2_old_main,subject_level_split,ridge_vehicle_no_subject,60,subject=,ok,100.0,0.42735111713409424,0.39084377884864807,,,,
pre2_label2_old_main,subject_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.4038238227367401,,3.0,0.4546349346637726,,
pre2_label2_old_main,subject_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.3816683292388916,0.28334078192710876,,,0.0029529003429750143,84.66252530152364
pre3_label3_response_coverage,random_event_split,ridge_vehicle_no_subject,60,subject=,ok,10.0,0.4042311906814575,0.47167661786079407,,,,
pre3_label3_response_coverage,random_event_split,knn_vehicle_no_subject,60,subject=,ok,,0.4087560176849365,,9.0,0.5589064359664917,,
pre3_label3_response_coverage,random_event_split,rbf_krr_vehicle_no_subject,60,subject=,ok,0.1,0.3857526481151581,0.3855815529823303,,,0.002872507707567443,87.03196838824508
pre3_label3_response_coverage,session_level_split,ridge_vehicle_no_subject,60,subject=,ok,100.0,0.5366614460945129,0.4940671920776367,,,,
pre3_label3_response_coverage,session_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.5331816673278809,,15.0,0.5591408014297485,,
pre3_label3_response_coverage,session_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,1.0,0.4950023591518402,0.39384350180625916,,,0.011786160488408907,84.84527263848557
pre3_label3_response_coverage,subject_level_split,ridge_vehicle_no_subject,60,subject=,ok,100.0,0.5071215629577637,0.4580407440662384,,,,
pre3_label3_response_coverage,subject_level_split,knn_vehicle_no_subject,60,subject=,ok,,0.5013008117675781,,9.0,0.5115070343017578,,
pre3_label3_response_coverage,subject_level_split,rbf_krr_vehicle_no_subject,60,subject=,ok,1.0,0.5033442378044128,0.44449612498283386,,,0.002932164851494177,85.26123620662209
