sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.5958880186080933,2.0640242099761963,0.9551233649253845,1.1089008450508118,0.46274814040887613,1,0,0.49000000953674316,0.025000005960464478,1.3395403623580933,1,0,3,27,0,1,1,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.39854270219802856,1.4372797012329102,0.9066898226737976,0.5305898785591125,0.6308374228732457,1,0,0.43000006675720215,0.05500000715255737,0.03948327898979187,0,0,1,85,0,0,1,1,1,0,1
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.0591142438352108,0.15987300872802734,0.08199719339609146,0.07787581533193588,0.5128895368172084,1,0,0.004999995231628418,0.9249999821186066,0.07787581533193588,0,0,3,63,0,1,1,0,0,0,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.2581762671470642,0.6633998155593872,0.269359827041626,0.39403998851776123,0.4060293969399107,1,0,0.5499999523162842,0.0549999475479126,0.016136348247528076,0,1,1,25,0,0,1,0,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.09544245898723602,0.16598109900951385,0.35580188035964966,0.1898207813501358,2.143628898006366,1,0,0.004999995231628418,0.5250000059604645,0.1898207813501358,1,0,0,55,0,0,1,0,0,0,0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.24413855373859406,0.16022101044654846,0.2506316006183624,0.09041059017181396,1.5642867306842754,0,1,1.3650000095367432,0.03500000014901161,0.3301507383584976,1,1,3,6,0,1,1,0,0,0,0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.443286269903183,0.8257149457931519,0.4016350507736206,0.42407989501953125,0.48640884220380015,0,1,0.4200000762939453,0.10000002384185791,0.3593219518661499,0,1,8,109,0,1,1,1,0,1,0
raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.16996067762374878,0.9225813746452332,0.7131497859954834,0.20943158864974976,0.7729939120760118,1,0,0.08500003814697266,0.22499999403953552,0.019436754286289215,0,0,2,83,0,1,1,1,1,0,1
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00001,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.7973017692565918,1.5706219673156738,0.652401864528656,0.9182201027870178,0.41537803373759385,0,1,0.5099999904632568,0.13500002026557922,1.759509563446045,1,1,3,27,0,1,1,1,0,1,1
raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_35_43__00003,byx,2025_09_28_17_35_43,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.5035765767097473,1.722119927406311,1.1293895244598389,0.5927304029464722,0.6558135159383558,1,0,0.440000057220459,0.09000000357627869,0.4754953384399414,0,1,1,101,0,0,1,1,1,0,1
