model_name,sample_rmse,gt_peak_abs,pred_peak_abs,pred_over_gt_peak_ratio,wrong_side,severe_amp_under,gt_reversal_count,pred_reversal_count,reversal_count_exact,recurrence_rank,event_uid,sample_id,subject,session_stamp,config_id,window_config_id,split_strategy
direction_gated_knn_template_no_subject,1.6235817670822144,4.153188228607178,1.3027299642562866,0.3136698585638564,0,1,2,40,0,1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,hzh,2025_09_26_20_50_27,session_pre3,pre3_label3_response_coverage,session_level_split
formal_ridge_vehicle_context_no_subject,1.788663387298584,4.153188228607178,0.9588313698768616,0.23086634101301431,0,1,2,154,0,1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,hzh,2025_09_26_20_50_27,session_pre3,pre3_label3_response_coverage,session_level_split
knn_template_context_no_subject,1.765197515487671,4.153188228607178,1.0662682056427002,0.2567348617378428,0,1,2,55,0,1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,hzh,2025_09_26_20_50_27,session_pre3,pre3_label3_response_coverage,session_level_split
peak_scaled_template_context_no_subject,1.8897032737731934,4.153188228607178,0.8437414169311523,0.20315511132374353,0,1,2,48,0,1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,hzh,2025_09_26_20_50_27,session_pre3,pre3_label3_response_coverage,session_level_split
rbf_kernel_ridge_context_no_subject,1.6768985986709595,4.153188228607178,1.3635457754135132,0.32831302131249535,0,1,2,80,0,1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,hzh,2025_09_26_20_50_27,session_pre3,pre3_label3_response_coverage,session_level_split
direction_gated_knn_template_no_subject,1.025758147239685,2.594604015350342,1.025550127029419,0.3952626762935699,0,1,2,8,0,2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
formal_ridge_vehicle_context_no_subject,1.6162309646606445,2.594604015350342,0.08031079918146133,0.03095300813007383,0,1,2,19,0,2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
knn_template_context_no_subject,1.0969222784042358,2.594604015350342,0.9664487838745117,0.37248411632632694,0,1,2,59,0,2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
peak_scaled_template_context_no_subject,1.0258859395980835,2.594604015350342,1.023590087890625,0.39450724728505926,0,1,2,6,0,2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
rbf_kernel_ridge_context_no_subject,0.8318513035774231,2.594604015350342,1.4854141473770142,0.5725012905973026,0,0,2,44,0,2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
direction_gated_knn_template_no_subject,1.2729862928390503,2.132270336151123,0.7631110548973083,0.35788663471010435,0,1,2,6,0,3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
formal_ridge_vehicle_context_no_subject,1.513877034187317,2.132270336151123,0.13293276727199554,0.06234329907339387,0,1,2,13,0,3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
knn_template_context_no_subject,1.3765851259231567,2.132270336151123,0.6874833703041077,0.3224184844896622,0,1,2,16,0,3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
peak_scaled_template_context_no_subject,1.2915403842926025,2.132270336151123,0.6947293877601624,0.3258167484589177,0,1,2,8,0,3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
rbf_kernel_ridge_context_no_subject,1.2744814157485962,2.132270336151123,0.8394141793251038,0.39367155519327685,0,1,2,76,0,3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,gzj,2025_09_27_12_17_12,subject_main,pre2_label2_old_main,subject_level_split
direction_gated_knn_template_no_subject,0.8952764272689819,1.7081509828567505,0.962302565574646,0.5633591967176516,0,0,5,14,0,4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,gzj,2025_09_27_11_38_49,subject_main,pre2_label2_old_main,subject_level_split
formal_ridge_vehicle_context_no_subject,0.960663914680481,1.7081509828567505,0.4767228960990906,0.2790870952764424,0,1,5,2,0,4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,gzj,2025_09_27_11_38_49,subject_main,pre2_label2_old_main,subject_level_split
knn_template_context_no_subject,0.9795206785202026,1.7081509828567505,0.8478222489356995,0.49633917460726,0,1,5,8,0,4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,gzj,2025_09_27_11_38_49,subject_main,pre2_label2_old_main,subject_level_split
peak_scaled_template_context_no_subject,0.8797159790992737,1.7081509828567505,0.8905037641525269,0.5213261433501787,0,0,5,10,0,4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,gzj,2025_09_27_11_38_49,subject_main,pre2_label2_old_main,subject_level_split
rbf_kernel_ridge_context_no_subject,0.9378215074539185,1.7081509828567505,1.339094638824463,0.7839439559288434,0,0,5,48,0,4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,gzj,2025_09_27_11_38_49,subject_main,pre2_label2_old_main,subject_level_split
direction_gated_knn_template_no_subject,0.9521301984786987,0.9204869866371155,1.1666574478149414,1.2674350259716098,0,0,3,22,0,5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,gf,2025_09_26_10_52_57,random_main,pre2_label2_old_main,random_event_split
formal_ridge_vehicle_context_no_subject,0.7399150133132935,0.9204869866371155,0.6932770609855652,0.7531633483688526,0,0,3,2,0,5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,gf,2025_09_26_10_52_57,random_main,pre2_label2_old_main,random_event_split
knn_template_context_no_subject,1.0708085298538208,0.9204869866371155,1.3147790431976318,1.428351581591624,0,0,3,52,0,5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,gf,2025_09_26_10_52_57,random_main,pre2_label2_old_main,random_event_split
peak_scaled_template_context_no_subject,0.9821333289146423,0.9204869866371155,1.2253857851028442,1.3312364030040649,0,0,3,44,0,5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,gf,2025_09_26_10_52_57,random_main,pre2_label2_old_main,random_event_split
rbf_kernel_ridge_context_no_subject,0.9763161540031433,0.9204869866371155,1.2073122262954712,1.3116016237298866,0,0,3,34,0,5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,gf,2025_09_26_10_52_57,random_main,pre2_label2_old_main,random_event_split
direction_gated_knn_template_no_subject,0.9332415461540222,1.6409621238708496,0.7927690148353577,0.4831123176477118,1,1,1,6,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
formal_ridge_vehicle_context_no_subject,0.8189501762390137,1.6409621238708496,0.25927844643592834,0.15800391895963994,1,1,1,8,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
knn_template_context_no_subject,0.7805995345115662,1.6409621238708496,0.4188025891780853,0.2552177061772614,1,1,1,16,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
peak_scaled_template_context_no_subject,0.799955427646637,1.6409621238708496,0.5746926665306091,0.3502168990805054,1,1,1,30,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
rbf_kernel_ridge_context_no_subject,0.7502529621124268,1.6409621238708496,0.38560596108436584,0.23498772791584224,0,1,1,52,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
direction_gated_knn_template_no_subject,1.058066725730896,2.461432933807373,0.8525426983833313,0.3463603199070748,0,1,2,1,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
formal_ridge_vehicle_context_no_subject,0.856623113155365,2.461432933807373,1.1044539213180542,0.44870364174809024,0,1,2,6,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
knn_template_context_no_subject,1.1141602993011475,2.461432933807373,0.6935420632362366,0.2817635425733325,0,1,2,21,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
peak_scaled_template_context_no_subject,1.0347200632095337,2.461432933807373,0.8950322866439819,0.3636224551767639,0,1,2,33,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
