track_id,context_feature
A_instant2s_core,anchor_time_rel_s
A_instant2s_core,curvature_anchor
A_instant2s_core,input_valid_ratio
A_instant2s_core,event_type=instability_ay_roll
A_instant2s_core,event_type=instability_roll_only
A_instant2s_core,event_level=extreme_active
A_instant2s_core,event_level=instability_extreme
A_instant2s_core,event_level=instability_medium
A_instant2s_core,event_level=instability_strong
A_instant2s_core,event_level=medium_active
A_instant2s_core,event_level=strong_active
A_instant2s_core,event_level=weak
A_instant2s_core,road_type_anchor=curve
A_instant2s_core,road_type_anchor=design_curve_context
A_instant2s_core,road_type_anchor=design_high_risk_surface
A_instant2s_core,road_type_anchor=design_regular_road
A_instant2s_core,road_type_anchor=design_special_event_segment
A_instant2s_core,road_type_anchor=straight
A_instant2s_core,old_v400_road_type_mode=curve
A_instant2s_core,old_v400_road_type_mode=none
A_instant2s_core,old_v400_road_type_mode=straight
A_instant2s_core,old_v400_phase_mode=none
A_instant2s_core,old_v400_phase_mode=primary
A_instant2s_core,old_v400_phase_mode=secondary
A_instant2s_core,road_design_module_name=curve1
A_instant2s_core,road_design_module_name=curve2
A_instant2s_core,road_design_module_name=differentmu_road
A_instant2s_core,road_design_module_name=fix_road
A_instant2s_core,road_design_module_name=longstraight
A_instant2s_core,road_design_module_name=middle_section
A_instant2s_core,road_design_module_name=stop
A_instant2s_core,road_design_instance_name=curve1
A_instant2s_core,road_design_instance_name=curve2
A_instant2s_core,road_design_instance_name=fix_road
A_instant2s_core,road_design_instance_name=longstraight
A_instant2s_core,road_design_instance_name=mu1
A_instant2s_core,road_design_instance_name=section2
A_instant2s_core,road_design_instance_name=section3
A_instant2s_core,road_design_instance_name=section4
A_instant2s_core,road_design_instance_name=section5
A_instant2s_core,road_design_instance_name=section6
A_instant2s_core,road_design_instance_name=stop
A_instant2s_core,road_design_risk_class=design_curve_context
A_instant2s_core,road_design_risk_class=design_high_risk_surface
A_instant2s_core,road_design_risk_class=design_regular_road
A_instant2s_core,road_design_risk_class=design_special_event_segment
A_instant2s_core,road_design_mapping_reliability=high
A_instant2s_core,road_design_mapping_reliability=low
A_instant2s_core,road_design_mapping_reliability=medium
A_instant2s_core,road_design_mapping_reliability=very_low
