sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.7773244380950928,1.3226046562194824,0.0076291910372674465,1.314975465182215,0.005768308013578779,0,1,0.7050000429153442,1.875,0.1692443690262735,0,1,2,0,0,1,0,1,0,1,1,A_instant2s_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000020450,zx,2025_09_27_18_00_08,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.6047640442848206,1.124341607093811,0.007756361737847328,1.1165852453559637,0.0068985810797271025,0,1,1.3600000143051147,1.9200000017881393,0.03744908235967159,0,1,3,0,0,1,0,1,0,1,1,A_instant2s_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000320360__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000320360,zx,2025_09_27_18_00_08,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.3472394347190857,0.635125994682312,0.007996118627488613,0.6271298760548234,0.01258981476815202,0,1,1.2850000262260437,1.880000002682209,0.11504889372736216,0,1,2,0,0,1,0,1,0,1,0,A_instant2s_core
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470__pre2_label2_old_main,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000484470,yyl,2025_09_28_09_49_11,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.3358379900455475,0.7447320222854614,0.007477988954633474,0.737254033330828,0.010041180895759984,1,0,0.6050000190734863,0.9700000286102295,0.05971700930967927,0,1,2,0,0,1,0,1,0,1,0,A_instant2s_core
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.25907838344573975,0.559203028678894,0.007196594495326281,0.5520064341835678,0.012869376820665817,0,1,1.125,1.5,0.14063240168616176,0,1,3,0,0,1,0,1,0,1,0,A_instant2s_core
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000610365__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000610365,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.19441664218902588,0.3619828224182129,0.007257496006786823,0.35472532641142607,0.020049282886694428,1,0,1.4700000286102295,1.9249999970197678,0.11511714477092028,0,1,1,0,0,0,0,0,0,1,0,A_instant2s_core
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.15749865770339966,0.22881299257278442,0.007901087403297424,0.220911905169487,0.03453076381046903,1,0,0.9950000047683716,1.3700000047683716,0.1914159059524536,1,1,2,0,0,1,0,0,0,1,0,A_instant2s_core
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.11355183273553848,0.15830004215240479,0.007332663983106613,0.15096737816929817,0.046321301519597985,0,1,0.6499999761581421,1.594999998807907,0.15952275320887566,1,0,0,0,1,0,0,0,0,1,0,A_instant2s_core
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000616100__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000616100,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.07825589179992676,0.10559199750423431,0.008629746735095978,0.09696225076913834,0.08172727989874345,1,0,0.7899999618530273,1.8999999985098839,0.09137725085020065,1,0,0,0,1,0,0,0,0,1,0,A_instant2s_core
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000467085,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.05768381059169769,0.08116006851196289,0.006901660468429327,0.07425840804353356,0.08503763728849036,0,1,0.5349999666213989,1.3100000023841858,0.08579174568876624,1,1,0,0,1,0,0,0,0,1,0,A_instant2s_core
