sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,1.2108091115951538,2.594604015350342,0.7621445655822754,1.8324594497680664,0.29374215143167626,1,0,0.125,1.1150000095367432,0.7839953973889351,0,0,5,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,1.083102822303772,1.1810654401779175,0.551440417766571,0.6296250224113464,0.4669008159983931,0,1,0.75,0.3349999934434891,0.4379409998655319,0,1,6,1,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.8306506276130676,2.145881175994873,0.8216874003410339,1.3241937756538391,0.3829137463588045,1,0,0.3400000333786011,0.695000022649765,0.0509117990732193,0,1,2,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.7766587734222412,1.016481637954712,0.1345987766981125,0.8818828612565994,0.13241633854689402,0,1,1.5850000381469727,2.935000002384186,0.10492580197751522,0,0,2,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.7662357687950134,1.9839180707931519,0.7099603414535522,1.2739577293395996,0.3578576917592755,1,0,0.0549999475479126,0.9249999672174454,0.2797812707722187,0,0,2,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.7567563652992249,1.3070790767669678,0.2788492739200592,1.0282298028469086,0.2133377229247575,0,1,1.2899999618530273,2.660000018775463,0.4661038815975189,0,0,2,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.7438560724258423,1.6784822940826416,1.5067558288574219,0.17172646522521973,0.8976894389469415,1,0,0.1499999761581421,0.5950000137090683,0.09326592087745667,0,0,2,1,0,1,0,1,1,0,0,B_response3s_strict_core
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.7421072125434875,2.333853006362915,1.2697373628616333,1.0641156435012817,0.5440519858790921,1,0,0.13499999046325684,0.8349999934434891,0.36003945767879486,0,0,8,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.6664084792137146,1.095893383026123,0.11869227886199951,0.9772011041641235,0.10830641073336074,1,0,0.7050000429153442,2.9200000017881393,0.2040686458349228,0,0,3,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.6297529339790344,2.043076992034912,1.7059743404388428,0.33710265159606934,0.8350024727847805,1,0,0.21000003814697266,0.5799999982118607,0.655810534954071,0,1,2,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.6006741523742676,1.3761889934539795,1.3818027973175049,0.005613803863525391,1.0040792390363737,1,0,0.04499995708465576,0.5850000083446503,0.4070656895637512,0,0,4,1,0,1,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,0.5865873098373413,1.3226046562194824,0.9964113235473633,0.32619333267211914,0.7533704942454185,1,0,0.440000057220459,0.7649999856948853,0.020560503005981445,0,0,3,1,0,1,0,0,0,0,0,B_response3s_strict_core
