error_flag,n_samples,rate,mean_rmse,median_gt_peak_abs,old_deep_mean_rmse
reversal_mismatch_flag,126,0.9064748201438849,0.5187720914800016,0.8296425044536591,0.5444193694385744
tail_drift_flag,87,0.6258992805755396,0.6057895153932188,0.9204869866371156,0.5787561535407072
severe_amp_under_flag,81,0.5827338129496403,0.617606097717344,1.0861175060272217,0.673039734179591
onset_delay_large_error_flag,75,0.539568345323741,0.6007949503262838,1.0152596235275269,0.639875265955925
multi_segment_mismatch_flag,46,0.33093525179856115,0.48354562679710594,0.80782550573349,0.4952716646796983
peak_time_large_error_flag,43,0.30935251798561153,0.49086322600758353,0.7311182618141174,0.49025076497779335
multi_segment_overpred_flag,42,0.302158273381295,0.49228746053718386,0.80782550573349,0.49648904525453136
wrong_side_flag,32,0.2302158273381295,0.6464273477904499,0.7042401134967804,0.5397235566051677
high_rmse_top20pct,28,0.2014388489208633,1.0986248254776,1.7366909384727478,0.9807418648685727
zero_crossing_mismatch_flag,24,0.17266187050359713,0.7042083690563837,0.5652243942022324,0.5100646051578224
large_response_missed_flag,23,0.16546762589928057,0.9555150400037351,1.7699379920959473,0.9828812350397524
multi_segment_missed_flag,4,0.02877697841726619,0.39175637252628803,0.9590585231781006,0.4824891686439514
