sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.8981170654296875,3.1211791038513184,0.8660197854042053,2.255159318447113,0.2774655848283737,1,0,0.0,0.04999995231628418,2.255159318447113,1,1,0,78,0,0,1,1,0,1,1
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,3.064340353012085,2.7082290649414062,1.676651120185852,1.0315779447555542,0.619095017437946,0,1,0.12000000476837158,0.42000001668930054,4.252398490905762,1,1,3,42,0,1,1,1,1,0,1
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,1.5065414905548096,2.6043848991394043,0.38614943623542786,2.2182354629039764,0.14826895838745935,0,1,0.2950000762939453,0.8650000095367432,2.9799022674560547,1,0,1,15,0,0,1,1,0,1,1
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,1.5155655145645142,2.594604015350342,0.22780679166316986,2.366797223687172,0.08780021549161511,1,0,0.13499999046325684,1.8700000047683716,2.27766877412796,1,0,2,6,0,1,1,1,0,1,1
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000218105,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.38380634784698486,0.8684759736061096,0.29030388593673706,0.5781720876693726,0.3342681832996823,1,0,0.4700000286102295,1.119999971240759,0.7246528118848801,1,0,1,2,0,0,1,0,0,1,0
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000429895,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.5305851101875305,0.8702206611633301,0.06846509873867035,0.8017555624246597,0.07867556103200848,1,0,0.25,1.9350000023841858,0.5341001730412245,1,0,1,10,0,0,1,0,0,1,0
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.6589927673339844,0.8745843768119812,0.14447636902332306,0.7301080077886581,0.16519431727098263,1,0,0.4750000238418579,1.9249999970197678,0.7644822038710117,1,0,1,10,0,0,1,0,0,1,0
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000205285,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.5779538750648499,0.8585270047187805,0.24499641358852386,0.6135305911302567,0.28536832533156603,0,1,0.14499998092651367,1.0850000455975533,0.9355081915855408,1,0,5,2,0,1,1,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000049290__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000049290,byx,2025_09_28_17_46_00,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.06688769161701202,0.33335697650909424,0.21079406142234802,0.12256291508674622,0.6323373328789398,1,0,0.28999996185302734,0.055000003427267075,0.15714280307292938,0,0,1,8,0,0,1,0,0,0,0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,ridge_vehicle_context_no_subject,0.5209479928016663,1.1278319358825684,0.25947755575180054,0.8683543801307678,0.23006757256678512,1,0,0.3500000238418579,1.1099999696016312,0.3094930946826935,0,0,3,2,0,1,1,0,0,1,0
