status,selected_alpha,val_rmse_for_alpha,train_rmse_selected_alpha,feature_count,include_context,uses_subject_id,scaler_fit_scope,model_name,split_strategy,window_config_id,train_n,val_n,test_n,large_threshold_train_p75,difficult_threshold_train_p80
ok,1.0,0.7632215619087219,0.6486931443214417,66,False,False,train split only,ridge_vehicle_history_no_subject,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,1.0,0.7331088781356812,0.6102648973464966,96,True,False,train split only,ridge_vehicle_context_no_subject,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.7971779108047485,0,False,False,no fitted scaler,zero_response_hold_current,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,1.137477993965149,0,False,False,no fitted scaler,history_trend_500ms,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.7962615489959717,0,False,False,no fitted scaler,train_mean_all,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.792565643787384,0,True,False,no fitted scaler,train_mean_by_event_type,random_event_split,pre1_label2_event_trigger,634,136,136,1.3374009132385254,1.4940742254257202
ok,100.0,0.8182586431503296,0.6856597661972046,66,False,False,train split only,ridge_vehicle_history_no_subject,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,1000.0,0.8283953070640564,0.6788451075553894,96,True,False,train split only,ridge_vehicle_context_no_subject,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.7899119853973389,0,False,False,no fitted scaler,zero_response_hold_current,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,1.1170002222061157,0,False,False,no fitted scaler,history_trend_500ms,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.7889282703399658,0,False,False,no fitted scaler,train_mean_all,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.786153256893158,0,True,False,no fitted scaler,train_mean_by_event_type,session_level_split,pre1_label2_event_trigger,611,156,139,1.3727869987487793,1.5233267545700073
ok,100.0,0.7555362582206726,0.7029538750648499,66,False,False,train split only,ridge_vehicle_history_no_subject,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,1000.0,0.7426574230194092,0.7075659036636353,96,True,False,train split only,ridge_vehicle_context_no_subject,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8217459917068481,0,False,False,no fitted scaler,zero_response_hold_current,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,,,1.1536054611206055,0,False,False,no fitted scaler,history_trend_500ms,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8173887729644775,0,False,False,no fitted scaler,train_mean_all,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8135080933570862,0,True,False,no fitted scaler,train_mean_by_event_type,subject_level_split,pre1_label2_event_trigger,513,154,239,1.358564019203186,1.5018892288208008
ok,1000.0,0.7674285769462585,0.7081928253173828,66,False,False,train split only,ridge_vehicle_history_no_subject,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,1000.0,0.7364376187324524,0.6836111545562744,96,True,False,train split only,ridge_vehicle_context_no_subject,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.7971779108047485,0,False,False,no fitted scaler,zero_response_hold_current,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,1.137477993965149,0,False,False,no fitted scaler,history_trend_500ms,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.7962615489959717,0,False,False,no fitted scaler,train_mean_all,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,,,0.792565643787384,0,True,False,no fitted scaler,train_mean_by_event_type,random_event_split,pre2_label2_old_main,634,136,136,1.3374009132385254,1.4940742254257202
ok,100.0,0.8093262910842896,0.6806017756462097,66,False,False,train split only,ridge_vehicle_history_no_subject,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,1000.0,0.8262385725975037,0.6776371002197266,96,True,False,train split only,ridge_vehicle_context_no_subject,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.7899119853973389,0,False,False,no fitted scaler,zero_response_hold_current,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,1.1170002222061157,0,False,False,no fitted scaler,history_trend_500ms,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.7889282703399658,0,False,False,no fitted scaler,train_mean_all,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,,,0.786153256893158,0,True,False,no fitted scaler,train_mean_by_event_type,session_level_split,pre2_label2_old_main,611,156,139,1.3727869987487793,1.5233267545700073
ok,1000.0,0.7553665041923523,0.7306936979293823,66,False,False,train split only,ridge_vehicle_history_no_subject,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,1000.0,0.7394661903381348,0.7066326141357422,96,True,False,train split only,ridge_vehicle_context_no_subject,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8217459917068481,0,False,False,no fitted scaler,zero_response_hold_current,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,,,1.1536054611206055,0,False,False,no fitted scaler,history_trend_500ms,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8173887729644775,0,False,False,no fitted scaler,train_mean_all,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,,,0.8135080933570862,0,True,False,no fitted scaler,train_mean_by_event_type,subject_level_split,pre2_label2_old_main,513,154,239,1.358564019203186,1.5018892288208008
ok,1000.0,0.8464391231536865,0.8012945652008057,66,False,False,train split only,ridge_vehicle_history_no_subject,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,1000.0,0.8142096996307373,0.7745075225830078,96,True,False,train split only,ridge_vehicle_context_no_subject,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,,,0.9030206799507141,0,False,False,no fitted scaler,zero_response_hold_current,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,,,1.3943958282470703,0,False,False,no fitted scaler,history_trend_500ms,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,,,0.9013949632644653,0,False,False,no fitted scaler,train_mean_all,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,,,0.895728349685669,0,True,False,no fitted scaler,train_mean_by_event_type,random_event_split,pre3_label3_response_coverage,634,136,136,1.5190067291259766,1.6930729150772095
ok,100.0,0.9349396228790283,0.7671594023704529,66,False,False,train split only,ridge_vehicle_history_no_subject,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,1000.0,0.9547843933105469,0.7610327005386353,96,True,False,train split only,ridge_vehicle_context_no_subject,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,,,0.8775553107261658,0,False,False,no fitted scaler,zero_response_hold_current,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,,,1.3598827123641968,0,False,False,no fitted scaler,history_trend_500ms,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,,,0.8765891790390015,0,False,False,no fitted scaler,train_mean_all,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,,,0.8746146559715271,0,True,False,no fitted scaler,train_mean_by_event_type,session_level_split,pre3_label3_response_coverage,611,156,139,1.530826449394226,1.673941969871521
ok,1000.0,0.8615745902061462,0.8104472756385803,66,False,False,train split only,ridge_vehicle_history_no_subject,subject_level_split,pre3_label3_response_coverage,513,154,239,1.5203568935394287,1.692379355430603
ok,1000.0,0.8457163572311401,0.7849453091621399,96,True,False,train split only,ridge_vehicle_context_no_subject,subject_level_split,pre3_label3_response_coverage,513,154,239,1.5203568935394287,1.692379355430603
ok,,,0.9164292812347412,0,False,False,no fitted scaler,zero_response_hold_current,subject_level_split,pre3_label3_response_coverage,513,154,239,1.5203568935394287,1.692379355430603
ok,,,1.397584319114685,0,False,False,no fitted scaler,history_trend_500ms,subject_level_split,pre3_label3_response_coverage,513,154,239,1.5203568935394287,1.692379355430603
