sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.2183256149291992,1.944647192955017,0.0,1.944647192955017,0.0,1,0,1.190000057220459,1.9200000017881393,1.1220731735229492,1,1,3,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.0248929001390934,0.05166006088256836,0.0,0.05166006088256836,0.0,1,0,1.9950000047683716,1.6349999904632568,0.05166006088256836,1,1,2,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.0946111679077148,2.112717866897583,0.0,2.112717866897583,0.0,0,1,1.9049999713897705,1.6649999916553497,2.050588846206665,1,0,3,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.4542800188064575,0.9306089878082275,0.0,0.9306089878082275,0.0,0,1,1.9950000047683716,1.2350000143051147,0.9306089878082275,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.39924898743629456,0.7374014258384705,0.0,0.7374014258384705,0.0,1,0,2.0,1.8400000035762787,0.7374014258384705,1,1,3,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.5550808906555176,0.9133307933807373,0.0,0.9133307933807373,0.0,0,1,1.9900000095367432,1.8499999940395355,0.9133307933807373,1,1,3,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.3555668592453003,0.5049239993095398,0.0,0.5049239993095398,0.0,1,0,0.7749999761581421,1.9249999970197678,0.25342196226119995,1,0,2,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.30085691809654236,0.5319759845733643,0.0,0.5319759845733643,0.0,0,1,1.8600000143051147,0.9550000429153442,0.5300559997558594,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.5241511464118958,0.9506800174713135,0.0,0.9506800174713135,0.0,0,1,1.9950000047683716,1.1349999904632568,0.9506800174713135,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.20007802546024323,0.32148969173431396,0.0,0.32148969173431396,0.0,1,0,1.0299999713897705,1.375,0.1626650094985962,1,1,2,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.0283609628677368,1.795423984527588,0.0,1.795423984527588,0.0,0,1,1.1950000524520874,1.4649999737739563,0.3569190502166748,0,1,2,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.7431339025497437,1.1178799867630005,0.0,1.1178799867630005,0.0,1,0,1.1349999904632568,1.5049999952316284,0.6339051127433777,1,0,3,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.20524759590625763,0.34609684348106384,0.0,0.34609684348106384,0.0,0,1,0.23000000417232513,1.9649999998509884,0.3262036442756653,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.2487808465957642,2.1975419521331787,0.0,2.1975419521331787,0.0,0,1,1.5449999570846558,1.7100000083446503,0.07347901165485382,0,1,2,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.0101771354675293,1.7027480602264404,0.0,1.7027480602264404,0.0,0,1,2.0,1.7750000059604645,1.7027480602264404,1,0,2,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.8976036310195923,1.257859230041504,0.0,1.257859230041504,0.0,1,0,1.4600000381469727,1.8900000005960464,1.2107352018356323,1,1,2,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.6159459352493286,0.9564404487609863,0.0,0.9564404487609863,0.0,0,1,1.6699999570846558,1.0899999737739563,0.9552194476127625,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.27524086833000183,0.41032660007476807,0.0,0.41032660007476807,0.0,1,0,1.2899999618530273,1.2300000190734863,0.40753409266471863,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.5031408071517944,0.7436872720718384,0.0,0.7436872720718384,0.0,1,0,2.0,1.905000001192093,0.7436872720718384,1,1,3,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.7080402970314026,1.1828088760375977,0.0,1.1828088760375977,0.0,1,0,1.5,1.1650000214576721,0.7382737994194031,1,1,7,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.06717635691165924,0.16022101044654846,0.0,0.16022101044654846,0.0,1,0,1.9850000143051147,1.9149999991059303,0.16022101044654846,1,1,3,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.08432086557149887,0.10297000408172607,0.0,0.10297000408172607,0.0,1,0,0.6549999713897705,1.9350000023841858,0.042240023612976074,0,0,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.1226547956466675,1.3885834217071533,0.0,1.3885834217071533,0.0,0,1,0.9549999833106995,1.790000006556511,1.3863134384155273,1,0,2,0,0,1,0,1,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.11277446895837784,0.3572689890861511,0.0,0.3572689890861511,0.0,1,0,1.9950000047683716,1.719999998807907,0.3572689890861511,1,1,5,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.3032348155975342,0.5108580589294434,0.0,0.5108580589294434,0.0,1,0,1.840000033378601,1.699999988079071,0.5068438649177551,1,1,5,0,0,1,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,1.418959140777588,2.4600415229797363,0.0,2.4600415229797363,0.0,0,1,1.2400000095367432,1.875,0.795868456363678,0,1,2,0,0,1,0,1,0,1,1
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.3929920494556427,1.1597799062728882,0.0,1.1597799062728882,0.0,1,0,1.9950000047683716,0.8350000381469727,1.1597799062728882,1,0,0,0,1,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.004843096248805523,0.007510185241699219,0.0,0.007510185241699219,0.0,1,0,1.3949999809265137,0.0,0.001399993896484375,0,1,0,0,1,0,0,0,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.8548771739006042,1.3728759288787842,0.0,1.3728759288787842,0.0,1,0,1.065000057220459,1.7400000095367432,0.09703999757766724,0,1,2,0,0,1,0,1,0,1,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810,byx,2025_09_28_17_25_18,pre1_label2_event_trigger,random_event_split,train,zero_response_hold_current,0.15871042013168335,0.5010839700698853,0.0,0.5010839700698853,0.0,0,1,1.9950000047683716,0.75,0.5010839700698853,1,1,1,0,0,0,0,0,0,1,0
