sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,1.0947296619415283,2.594604015350342,1.103515386581421,1.491088628768921,0.42531167764049593,1,0,0.11500000953674316,0.9350000619888306,0.7070476934313774,0,1,5,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.9347946643829346,1.016481637954712,0.2581353783607483,0.7583462595939636,0.25394986856835794,0,1,0.8199999332427979,1.5949999690055847,0.1698220670223236,0,1,2,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.9332917928695679,0.9698799848556519,1.1619104146957397,0.1920304298400879,1.1979940124949253,1,0,0.75,0.6749999970197678,0.1573820887133479,0,0,3,1,0,1,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.8675374984741211,1.6784822940826416,1.05905282497406,0.6194294691085815,0.6309585920016364,1,0,0.07500004768371582,0.7850000113248825,0.3634440191090107,0,0,2,1,0,1,0,1,1,0,0,B_response3s_strict_core
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.8386187553405762,2.145881175994873,1.2327427864074707,0.9131383895874023,0.5744692670767041,1,0,0.5049999952316284,0.7599999606609344,0.0641012191772461,0,1,2,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.7909026145935059,2.333853006362915,1.421165108680725,0.9126878976821899,0.6089351406477282,1,0,0.4599999189376831,0.7799999862909317,0.06639684922993183,0,1,8,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.775661826133728,1.1810654401779175,0.2616046369075775,0.91946080327034,0.22149885011297002,0,1,1.7899999618530273,2.749999985098839,0.574717104434967,0,0,6,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.6648286581039429,2.043076992034912,1.4952113628387451,0.547865629196167,0.7318428863268188,1,0,0.09499990940093994,0.6599999815225601,0.18127236445434391,0,1,2,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885__pre3_label3_response_coverage,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.6230232119560242,1.095893383026123,0.20290929079055786,0.8929840922355652,0.1851542257060248,1,0,0.42500007152557373,2.9200000017881393,0.16621775552630424,0,0,3,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,0.606500506401062,1.3761889934539795,1.1701414585113525,0.20604753494262695,0.8502767164083431,1,0,0.23500001430511475,0.5250000059604645,0.2364168670028448,0,0,4,1,0,1,0,0,0,0,0,B_response3s_strict_core
