change_type,label,n_samples,rate
rmse_change,degraded,20,0.5
rmse_change,improved,11,0.275
rmse_change,similar,9,0.225
direction_change,fixed_wrong_side,5,0.125
direction_change,new_wrong_side,1,0.025
direction_change,unchanged,34,0.85
large_recall_change,fixed_large_recall,1,0.025
large_recall_change,unchanged,39,0.975
tail_drift_change,new_tail_drift,1,0.025
tail_drift_change,unchanged,39,0.975
amp_under_change,fixed_under_amp,3,0.075
amp_under_change,new_under_amp,6,0.15
amp_under_change,unchanged,31,0.775
peak_time_change,degraded_peak_time,19,0.475
peak_time_change,improved_peak_time,15,0.375
peak_time_change,similar,6,0.15
onset_change,degraded_onset,30,0.75
onset_change,improved_onset,6,0.15
onset_change,similar,4,0.1
