event_uid,subject,session_stamp,default_split,session_level_split,subject_level_split,event_type,event_level,road_type_anchor,road_design_risk_class,event_end_rel_s,event_duration_s,peak2_abs,peak2_time_s,tail2_abs,tail2_over_peak,peak2_near_end,tail2_unsettled,label2_response_unsettled,event_exceeds_2s_label,peak3_abs,peak3_time_s,tail3_abs,tail3_over_peak,peak3_near_end,tail3_unsettled,label3_response_unsettled,event_exceeds_3s_label,post2_range_abs,post2_change_from_2s_abs,post2_substantial_change,peak_after_2s_in_3s_label,peak_gain_after_2s_abs,peak_gain_after_2s_ratio,old_2s_may_miss_future_peak,old_2s_may_miss_future_change,label_window_2s_needs_review,label3_still_needs_review,recommended_window_policy,recurrence_rank,primary_attribution,mean_sample_rmse,vehicle_only_structure_gap,label_window_may_be_short,consensus_reversal_failure,figure_png,top_recurrent_bad_event
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,gf,2025_09_26_10_52_57,test,test,train,instability_ay_roll,strong_active,straight,design_regular_road,70.48,3.685,0.9204869866371155,0.9100000262260437,0.49061131477355957,0.532991038326296,False,True,True,True,1.4044650793075562,2.7950000762939453,1.186299204826355,0.8446626564835891,True,True,True,True,1.8950763940811157,1.8950763940811157,True,True,0.4839780926704407,0.34459959154631065,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,5.0,sample_rule_or_raw_signal_review,0.9442606449127198,False,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank05_random_main_vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795.png,True
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,test,test,test,instability_ay_roll,extreme_active,straight,design_regular_road,57.165,5.57,1.7081509828567505,1.034999966621399,0.30700400471687317,0.17972884586784751,False,False,False,True,1.7081509828567505,1.034999966621399,0.6443749666213989,0.37723536917312284,False,True,True,True,1.370956927537918,1.370956927537918,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,4.0,vehicle_only_model_structure_gap,0.9305997014045716,True,False,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank04_subject_main_vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595.png,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,test,test,test,instability_ay_roll,extreme_active,straight,design_regular_road,405.52,12.93,2.594604015350342,1.625,2.3738248348236084,0.9149083331327065,False,True,True,True,2.594604015350342,1.625,0.6901050806045532,0.2659770340759957,False,False,False,True,3.4412708282470703,3.4412708282470703,True,False,0.0,0.0,False,True,True,False,use_3s_label_or_split_continuing_response,2.0,sample_rule_or_raw_signal_review,1.1193297266960145,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank02_subject_main_vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590.png,True
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,test,test,test,instability_ay_roll,extreme_active,straight,design_high_risk_surface,606.25,13.5,2.132270336151123,1.1799999475479126,1.9113101959228516,0.8963732991628454,False,True,True,True,2.132270336151123,1.1799999475479126,1.0724998712539673,0.5029849419515419,False,True,True,True,2.983810067176819,2.983810067176819,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,3.0,sample_rule_or_raw_signal_review,1.3458940505981445,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank03_subject_main_vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750.png,True
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,test,test,test,instability_roll_only,extreme_active,straight,design_special_event_segment,339.525,2.09,3.1211791038513184,2.0,3.1211791038513184,1.0,True,True,True,True,4.153188228607178,2.990000009536743,4.153188228607178,1.0,True,True,True,True,1.0320091247558594,1.0320091247558594,True,True,1.0320091247558594,0.24848599869550247,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,1.0,sample_rule_or_raw_signal_review,1.7488089084625245,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank01_session_pre3_vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435.png,True
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,hzh,2025_09_26_21_03_19,test,test,test,instability_ay_roll,strong_active,straight,design_regular_road,65.95,5.615,1.6409621238708496,0.9449999928474426,0.7679449319839478,0.4679845566285527,False,True,True,True,1.6409621238708496,0.9449999928474426,0.7806859016418457,0.47574888553813377,False,True,True,True,0.10314899682998657,0.07574701309204102,False,False,0.0,0.0,False,False,True,True,review_continuous_event_or_longer_than_3s,6.0,sample_rule_or_raw_signal_review,0.8165999293327332,False,True,False,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank06_session_pre1_vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335.png,True
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,test,test,test,instability_ay_roll,extreme_active,straight,design_special_event_segment,234.64,12.75,1.6784822940826416,1.7450000047683716,1.6716721057891846,0.9959426510976817,False,True,True,True,1.6784822940826416,1.7450000047683716,0.33265918493270874,0.19819046415054406,False,False,False,True,1.3390129208564758,1.3390129208564758,True,False,0.0,0.0,False,True,True,False,use_3s_label_or_split_continuing_response,9.0,hard_vehicle_only_case,0.8018186092376709,False,False,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank09_session_pre3_vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890.png,True
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,hzh,2025_09_27_19_33_25,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,332.385,7.1,2.5556859970092773,1.600000023841858,2.4047160148620605,0.9409278047757489,False,True,True,True,2.5556859970092773,1.600000023841858,1.106194019317627,0.4328364363275147,False,True,True,True,3.5109100341796875,3.5109100341796875,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,12.0,sample_rule_or_raw_signal_review,1.1983021259307862,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank12_random_main_vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285.png,True
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,test,test,test,instability_ay_roll,extreme_active,straight,design_regular_road,425.07,17.4,2.461432933807373,1.3049999475479126,2.016374111175537,0.8191871017410116,False,True,True,True,2.461432933807373,1.3049999475479126,1.3648430109024048,0.5544912445740497,False,True,True,True,0.9402081966400146,0.9402081966400146,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,7.0,sample_rule_or_raw_signal_review,1.1019079089164734,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank07_session_pre1_vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670.png,True
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,test,test,train,instability_ay_roll,extreme_active,straight,design_regular_road,62.82,3.93,2.333853006362915,1.9149999618530273,2.3122127056121826,0.9907276505025239,True,True,True,True,2.333853006362915,1.9149999618530273,0.08656801283359528,0.03709231583890674,False,False,False,True,2.2256446927785873,2.2256446927785873,True,False,0.0,0.0,False,True,True,False,use_3s_label_or_split_continuing_response,8.0,sample_rule_or_raw_signal_review,0.689919114112854,True,True,True,F:/data_set_process/data_process/05_rebuild_from_raw_20260511/03_baselines/stage03_vehicle_instability_bad_event_curve_review_v0_1/figures/per_event/rank08_random_main_vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890.png,True
