event_uid,subject,session_stamp,default_split,session_level_split,subject_level_split,event_type,event_level,road_type_anchor,road_design_risk_class,event_end_rel_s,event_duration_s,peak2_abs,peak2_time_s,tail2_abs,tail2_over_peak,peak2_near_end,tail2_unsettled,label2_response_unsettled,event_exceeds_2s_label,peak3_abs,peak3_time_s,tail3_abs,tail3_over_peak,peak3_near_end,tail3_unsettled,label3_response_unsettled,event_exceeds_3s_label,post2_range_abs,post2_change_from_2s_abs,post2_substantial_change,peak_after_2s_in_3s_label,peak_gain_after_2s_abs,peak_gain_after_2s_ratio,old_2s_may_miss_future_peak,old_2s_may_miss_future_change,label_window_2s_needs_review,label3_still_needs_review,recommended_window_policy,recurrence_rank,primary_attribution,mean_sample_rmse,vehicle_only_structure_gap,label_window_may_be_short,consensus_reversal_failure,figure_png,top_recurrent_bad_event
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,67.06,6.22,1.944647192955017,1.190000057220459,1.1220731735229492,0.5770060387241176,False,True,True,True,1.944647192955017,1.190000057220459,0.19931477308273315,0.1024940533196983,False,False,False,True,1.3723520040512085,1.3479169607162476,True,False,0.0,0.0,False,True,True,False,use_3s_label_or_split_continuing_response,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,94.47,6.725,1.9746613502502441,1.5549999475479126,1.622801423072815,0.8218125213557055,False,True,True,True,1.9746613502502441,1.5549999475479126,1.6163486242294312,0.8185447211110883,False,True,True,True,3.239150047302246,3.239150047302246,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,instability_extreme,design_regular_road,design_regular_road,115.085,15.27,0.05166006088256836,1.9950000047683716,0.05166006088256836,1.0,True,False,True,True,0.07155990600585938,2.4100000858306885,0.06945991516113281,0.9706540860387014,False,False,False,True,0.019899845123291016,0.019899845123291016,False,True,0.019899845123291016,0.27808651847113386,False,False,True,False,review_2s_tail_or_anchor,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_curve_context,182.395,23.905,2.112717866897583,1.9049999713897705,2.050588846206665,0.9705928455169686,True,True,True,True,2.112717866897583,1.9049999713897705,1.098860263824463,0.5201168982577321,False,True,True,True,3.157651901245117,3.157651901245117,True,False,0.0,0.0,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,199.71,11.895,0.9306089878082275,1.9950000047683716,0.9306089878082275,1.0,True,True,True,True,0.9477140307426453,2.0950000286102295,0.0452042818069458,0.047698229994044654,False,False,False,True,1.1653570383787155,1.1482519954442978,True,True,0.017105042934417725,0.01804873873294238,False,True,True,False,use_3s_label_or_split_continuing_response,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,228.1,8.78,0.7374014258384705,2.0,0.7374014258384705,1.0,True,True,True,True,1.9814759492874146,2.815000057220459,1.6837149858474731,0.8497276923562845,True,True,True,True,1.244074523448944,1.244074523448944,True,True,1.244074523448944,0.6278524470086768,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,246.25,3.185,0.9133307933807373,1.9900000095367432,0.9133307933807373,1.0,True,True,True,True,2.143440008163452,2.559999942779541,0.7171569466590881,0.33458223413192906,False,True,True,True,1.426283061504364,1.2301092147827148,True,True,1.2301092147827148,0.5738948653089201,True,True,True,True,use_3s_or_longer_label_for_late_peak_review,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,270.23,12.635,1.2873549461364746,2.0,1.2873549461364746,1.0,True,True,True,True,1.2908459901809692,3.0,1.2908459901809692,1.0,True,True,True,True,0.30194199085235596,0.29845094680786133,True,True,0.003491044044494629,0.0027044620900167995,False,True,True,True,use_3s_label_or_split_continuing_response,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,extreme_active,curve,design_regular_road,339.7,40.4,0.5049239993095398,0.7749999761581421,0.25342196226119995,0.5019012021764518,False,True,True,True,0.5049239993095398,0.7749999761581421,0.037524960935115814,0.07431803793527236,False,False,False,True,0.29600799828767776,0.23090700060129166,False,False,0.0,0.0,False,False,True,False,review_2s_tail_or_anchor,,,,,,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,train,train,test,instability_ay_roll,weak,straight,design_curve_context,345.535,1.635,0.5319759845733643,1.8600000143051147,0.5300559997558594,0.9963908430583672,True,True,True,True,0.5319759845733643,1.8600000143051147,0.49881500005722046,0.9376645084030657,False,True,True,True,0.031240999698638916,0.031240999698638916,False,False,0.0,0.0,False,False,True,True,review_continuous_event_or_longer_than_3s,,,,,,,,False
