sample_id,event_uid,subject,session_stamp,window_config_id,default_split,random_event_split,session_level_split,subject_level_split,event_type,event_level,road_type_anchor,road_design_risk_class,label_end_rel_s,event_end_rel_s,event_duration_s,label_valid_ratio,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_peak_direction,gt_reversal_count,gt_tail_abs,gt_tail_signed,gt_tail_over_peak,gt_peak_near_label_end,gt_tail_unsettled,label_response_unsettled_flag,event_duration_exceeds_label,post2_range_abs,post2_change_from_2s_abs,post2_substantial_change
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,67.06,6.22,1.0,1.944647192955017,1.944647192955017,1.190000057220459,1,3,1.1220731735229492,1.1220731735229492,0.5770060387241176,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,94.47,6.725,1.0,1.9746613502502441,-1.9746613502502441,1.5549999475479126,-1,4,1.622801423072815,-1.622801423072815,0.8218125213557055,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_extreme,design_regular_road,design_regular_road,2.0,115.085,15.27,1.0,0.05166006088256836,0.05166006088256836,1.9950000047683716,1,2,0.05166006088256836,0.05166006088256836,1.0,True,False,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_curve_context,2.0,182.395,23.905,1.0,2.112717866897583,-2.112717866897583,1.9049999713897705,-1,3,2.050588846206665,-2.050588846206665,0.9705928455169686,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,199.71,11.895,1.0,0.9306089878082275,-0.9306089878082275,1.9950000047683716,-1,1,0.9306089878082275,-0.9306089878082275,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,228.1,8.78,1.0,0.7374014258384705,0.7374014258384705,2.0,1,3,0.7374014258384705,0.7374014258384705,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,2.0,246.25,3.185,1.0,0.9133307933807373,-0.9133307933807373,1.9900000095367432,-1,3,0.9133307933807373,-0.9133307933807373,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,test,train,test,instability_ay_roll,strong_active,straight,design_special_event_segment,2.0,270.23,12.635,1.0,1.2873549461364746,1.2873549461364746,2.0,1,5,1.2873549461364746,1.2873549461364746,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,curve,design_regular_road,2.0,339.7,40.4,1.0,0.5049239993095398,0.5049239993095398,0.7749999761581421,1,2,0.25342196226119995,0.25342196226119995,0.5019012021764518,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,weak,straight,design_curve_context,2.0,345.535,1.635,1.0,0.5319759845733643,-0.5319759845733643,1.8600000143051147,-1,1,0.5300559997558594,-0.5300559997558594,0.9963908430583672,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_curve_context,2.0,363.51,14.21,1.0,0.9506800174713135,-0.9506800174713135,1.9950000047683716,-1,1,0.9506800174713135,-0.9506800174713135,1.0,True,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,instability_strong,design_regular_road,design_regular_road,2.0,367.925,1.125,1.0,0.32148969173431396,0.32148969173431396,1.0299999713897705,1,2,0.1626650094985962,0.1626650094985962,0.505972706686428,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,straight,design_regular_road,2.0,386.135,13.545,1.0,1.795423984527588,-1.795423984527588,1.1950000524520874,-1,2,0.3569190502166748,0.3569190502166748,0.19879374080578932,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,strong_active,curve,design_high_risk_surface,2.0,519.75,35.555,1.0,1.1178799867630005,1.1178799867630005,1.1349999904632568,1,3,0.6339051127433777,0.6339051127433777,0.5670600782280313,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280,byx,2025_09_28_17_05_51,pre1_label2_event_trigger,train,val,train,test,instability_ay_roll,weak,curve,design_high_risk_surface,2.0,563.28,17.0,1.0,0.14695601165294647,0.14695601165294647,1.7699999809265137,1,3,0.1460840255022049,0.1460840255022049,0.9940663458341474,True,False,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,medium_active,straight,design_regular_road,2.0,37.12,8.31,1.0,0.34609684348106384,-0.34609684348106384,0.23000000417232513,-1,1,0.3262036442756653,0.3262036442756653,0.9425212925801012,False,True,True,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,train,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,69.03,10.165,1.0,2.1975419521331787,-2.1975419521331787,1.5449999570846558,-1,2,0.07347901165485382,-0.07347901165485382,0.03343690962692517,False,False,False,True,,,False
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445__pre1_label2_event_trigger,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445,byx,2025_09_28_17_15_52,pre1_label2_event_trigger,train,val,train,test,instability_ay_roll,extreme_active,straight,design_regular_road,2.0,96.875,9.43,1.0,1.2529720067977905,1.2529720067977905,1.5549999475479126,1,1,1.2456419467926025,1.2456419467926025,0.9941498613173958,False,True,True,True,,,False
