sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model,oracle_best_model,rmse_rbf,rmse_keypoint,rmse_best_of_two,rmse_oracle_gain_over_rbf,selector_used_keypoint,oracle_used_keypoint,rmse__keypoint_residual_vehicle_transformer_no_subject,rmse__oracle_best_of_rbf_keypoint_upper_bound,rmse__rbf_kernel_ridge_context_no_subject,rmse__selector_logreg_rbf_keypoint_no_subject,selector_correct_choice,selector_regret,oracle_gain_over_selector,oracle_gain_over_rbf
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,1.944647192955017,1,1,0.290416568517685,0,0.1484684471150439,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.29632849,0.5867527,0.29632849,0.0,0,0,0.5867527723312378,0.29632851481437683,0.29632851481437683,0.29632851481437683,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,0.9477140307426452,0,0,0.0140996873378753,0,0.5496869403194206,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.28368288,0.29778883,0.28368288,0.0,0,0,0.2977888286113739,0.2836828827857971,0.2836828827857971,0.2836828827857971,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,1.3292438983917236,0,0,0.3108441084623337,0,0.0673928919645307,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.2333857,0.5442323,0.2333857,0.0,0,0,0.5442322492599487,0.23338569700717926,0.23338569700717926,0.23338569700717926,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,2.1975419521331787,1,1,0.1714264154434204,0,0.2021482167984111,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.62310743,0.7945291,0.62310743,0.0,0,0,0.7945290803909302,0.6231074333190918,0.6231074333190918,0.6231074333190918,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,1.7027480602264404,1,0,0.5433678179979325,0,0.0352202114074028,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.2145425,0.7578978,0.2145425,0.0,0,0,0.7578977942466736,0.21454249322414398,0.21454249322414398,0.21454249322414398,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,0.9564404487609864,0,0,0.0612989068031311,0,0.5662805925697431,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.14629039,0.20759602,0.14629039,0.0,1,0,0.20759601891040802,0.1462903767824173,0.1462903767824173,0.20759601891040802,0,0.06130564212799072,0.06130564212799072,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,0.102970004081726,0,0,0.0950863054022193,0,0.0023378855598652,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.01187081,0.10695859,0.01187081,0.0,0,0,0.10695859044790268,0.011870809830725193,0.011870809830725193,0.011870809830725193,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,1.3950433731079102,0,0,0.7730878442525864,0,0.0735084271337623,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.24024905,1.0133363,0.24024905,0.0,0,0,1.0133363008499146,0.24024905264377594,0.24024905264377594,0.24024905264377594,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,0.0362999439239501,0,0,0.1848674411885441,0,0.0958607390060664,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.0062738513,0.19114189,0.0062738513,0.0,0,0,0.19114188849925995,0.00627385126426816,0.00627385126426816,0.00627385126426816,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,1.3728759288787842,0,0,0.3700561225414276,0,0.6769554683203333,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.21663062,0.5866838,0.21663062,0.0,1,0,0.5866838097572327,0.21663060784339905,0.21663060784339905,0.5866838097572327,0,0.3700532019138336,0.3700532019138336,0.0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,0.761661171913147,0,0,0.0534956753253936,0,0.6112826013578162,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.42049396,0.47399238,0.42049396,0.0,1,0,0.47399237751960754,0.4204939603805542,0.4204939603805542,0.47399237751960754,0,0.053498417139053345,0.053498417139053345,0.0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,0.0404901504516601,0,0,0.0634643014054746,0,0.0003232723482641,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.0025207226,0.065982535,0.0025207226,0.0,0,0,0.06598254293203354,0.002520722569897771,0.002520722569897771,0.002520722569897771,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,0.9894275069236756,0,0,0.286213755607605,0,0.4654379993234024,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.4221306,0.7083528,0.4221306,0.0,0,0,0.70835280418396,0.4221305847167969,0.4221305847167969,0.4221305847167969,1,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,0.241902694106102,0,0,0.3326358571648597,0,0.3687273944389557,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.1167936,0.4494441,0.1167936,0.0,0,0,0.44944408535957336,0.11679359525442123,0.11679359525442123,0.11679359525442123,1,0.0,0.0,0.0
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,1.5481109619140625,0,0,0.1680342257022857,0,0.1310003159074763,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.30074802,0.46878207,0.30074802,0.0,0,0,0.46878206729888916,0.3007480204105377,0.3007480204105377,0.3007480204105377,1,0.0,0.0,0.0
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,0.6775369644165039,0,0,0.0060372054576873,0,0.6046596274836832,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.29294172,0.29897535,0.29294172,0.0,1,0,0.2989753484725952,0.29294171929359436,0.29294171929359436,0.2989753484725952,0,0.0060336291790008545,0.0060336291790008545,0.0
