feature,type
anchor_time_rel_s,numeric
curvature_anchor,numeric
input_valid_ratio,numeric
pred_peak_abs__rbf_kernel_ridge_context_no_subject,numeric
pred_reversal_count__rbf_kernel_ridge_context_no_subject,numeric
pred_multi_segment__rbf_kernel_ridge_context_no_subject,numeric
pred_peak_abs__keypoint_residual_vehicle_transformer_no_subject,numeric
pred_reversal_count__keypoint_residual_vehicle_transformer_no_subject,numeric
pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,numeric
pred_peak_abs__delta_keypoint_minus_rbf,numeric
pred_reversal_count__delta_keypoint_minus_rbf,numeric
pred_multi_segment__delta_keypoint_minus_rbf,numeric
