sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2963285148143768,1.944647192955017,1.3351538181304932,0.6094933748245239,0.6865789449970309,1,0,0.1149998903274536,0.0150000005960464,0.0949705988168716,0,0,5,129,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2836828827857971,0.9477140307426452,0.9230186343193054,0.0246953964233398,0.9739421432813566,1,0,0.4750000238418579,0.6499999836087227,0.1279376447200775,0,0,3,75,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2333856970071792,1.3292438983917236,0.8939477801322937,0.4352961182594299,0.6725235159731765,1,0,0.0449998378753662,0.1200000047683715,0.005930483341217,0,0,2,155,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.6231074333190918,2.1975419521331787,1.303301453590393,0.8942404985427856,0.5930723881404237,1,0,0.0850000381469726,0.6099999845027924,0.0454297140240669,0,0,3,157,0,1,1,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2145424932241439,1.7027480602264404,1.4471921920776367,0.2555558681488037,0.8499156310212924,1,0,0.0850000381469726,0.0600000023841857,0.0927406400442123,0,0,4,90,0,1,1,1,1,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0118708098307251,0.102970004081726,0.0902099013328552,0.0127601027488708,0.8760794188301352,1,0,0.2249999642372131,0.0,0.0045155622065067,0,0,1,1,1,0,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.2402490526437759,1.3950433731079102,1.2630199193954468,0.1320234537124633,0.9053624738431332,1,0,1.1750000715255735,0.0449999868869781,0.182657316327095,0,0,3,167,0,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0062738512642681,0.0362999439239501,0.040339283645153,0.0040393397212028,1.111276748241414,1,0,0.0099999904632568,0.375,0.0026199575513601,0,0,2,2,1,1,1,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.0025207225698977,0.0404901504516601,0.0365366302430629,0.0039535202085971,0.9023584707763148,1,0,0.0049999952316284,0.0149999856948852,0.0011395290493965,0,0,1,1,1,0,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,pre3_label3_response_coverage,session_level_split,train,selector_logreg_rbf_keypoint_no_subject,0.4221305847167969,0.9894275069236756,0.6608069539070129,0.3286205530166626,0.6678679835388764,1,0,0.3449999690055847,0.0049999952316284,0.1798717901110649,0,0,4,180,0,1,1,0,0,0,0,B_response3s_strict_core
