flag,flag_cn,overall_count,overall_rate,high_rmse_top20_count,high_rmse_top20_rate
high_rmse_top20_flag,RMSE最高20%,8,0.2,8,1.0
wrong_side_flag,主峰错侧,9,0.225,3,0.375
severe_amp_under_flag,严重幅值不足,5,0.125,3,0.375
large_response_missed_flag,大幅响应漏召回,2,0.05,2,0.25
tail_drift_flag,尾段漂移/未回正,2,0.05,0,0.0
zero_crossing_mismatch_flag,零线穿越错误,3,0.075,2,0.25
reversal_mismatch_flag,反向修正计数不匹配,40,1.0,8,1.0
multi_segment_mismatch_flag,多段修正结构不匹配,1,0.025,0,0.0
peak_time_large_error_flag,峰值时间误差大,9,0.225,4,0.5
onset_delay_large_error_flag,启动延迟误差大,7,0.175,2,0.25
amplitude_large_error_flag,峰值幅值误差大,10,0.25,4,0.5
