sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id,instability_role,event_level,road_type_anchor,anchor_time_rel_s,event_duration_s,leakage_risk_level,road_design_module_name,road_design_instance_name,eval_label_peak_time_rel_s,eval_label_peak_direction,eval_label_onset_time_rel_s,eval_label_morphology,eval_label_tail_abs,sample_trace_status,vehicle_raw_relative_path,response_task_class,response_task_class_cn,response_task_track,task_sample_role,high_rmse_top20_flag,wrong_side_flag,severe_amp_under_flag,large_response_missed_flag,tail_drift_flag,zero_crossing_mismatch_flag,reversal_mismatch_flag,multi_segment_mismatch_flag,peak_time_large_error_flag,onset_delay_large_error_flag,amplitude_large_error_flag,failure_tags,primary_failure_type,rmse_top20_threshold,amplitude_error_p75_threshold
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.1559497117996216,1.1810654401779177,1.0372061729431152,0.1438592672348022,0.8781953460486228,0,1,0.7599999904632568,0.1050000041723251,0.3677842132747173,0,1,6,97,0,1,1,0,0,0,0,B_response3s_strict_core,instability_ay_roll,strong_active,curve,173.505,3.28,controlled_vehicle_only_stage2,curve1,curve1,1.2100000381469729,positive,0.1449999958276748,multi_correction,0.3131124675273895,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,True,False,False,False,True,True,False,True,False,False,high_rmse_top20_flag;wrong_side_flag;zero_crossing_mismatch_flag;reversal_mismatch_flag;peak_time_large_error_flag,wrong_side,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.0713049173355105,2.594604015350342,1.0808558464050293,1.5137481689453125,0.4165783449075116,1,0,0.1499999761581421,0.8450000286102295,0.7766449600458145,0,0,5,114,0,1,1,1,0,1,1,B_response3s_strict_core,instability_ay_roll,extreme_active,straight,392.59,12.93,controlled_vehicle_only_stage2,middle_section,section5,1.625,negative,0.1299999952316284,multi_correction,0.6901050806045532,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,False,True,True,False,False,True,False,False,True,True,high_rmse_top20_flag;severe_amp_under_flag;large_response_missed_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,large_response_missed,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9934884309768676,2.145881175994873,0.5542330145835876,1.5916481614112854,0.258277588145874,1,0,0.4049999713897705,1.1099999845027924,0.0515425652265548,0,0,2,177,0,1,1,1,0,1,1,B_response3s_strict_core,instability_ay_roll,strong_active,straight,425.785,5.885,controlled_vehicle_only_stage2,middle_section,section6,1.3550000190734863,positive,0.4050000011920929,multi_correction,0.0989600419998169,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,False,True,True,False,False,True,False,False,True,True,high_rmse_top20_flag;severe_amp_under_flag;large_response_missed_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,large_response_missed,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9599702954292296,1.016481637954712,0.7603709101676941,0.2561107277870178,0.7480419535149256,0,1,1.565000057220459,0.0300000011920928,0.1322385221719741,0,1,2,231,0,1,1,0,0,0,0,B_response3s_strict_core,instability_ay_roll,extreme_active,curve,149.68,11.65,controlled_vehicle_only_stage2,curve1,curve1,2.180000066757202,positive,0.0649999976158142,multi_correction,0.0883133113384246,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,True,False,False,False,True,True,False,True,False,False,high_rmse_top20_flag;wrong_side_flag;zero_crossing_mismatch_flag;reversal_mismatch_flag;peak_time_large_error_flag,wrong_side,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.7573572397232056,0.7283228635787964,1.0068540573120115,0.2785311937332153,1.3824281890102732,1,0,0.9649999141693116,0.0850000083446502,0.1042630970478057,0,0,14,145,0,1,1,0,0,0,0,B_response3s_strict_core,instability_ay_roll,strong_active,curve,353.905,19.835,controlled_vehicle_only_stage2,curve1,curve1,0.8450000286102295,negative,0.0949999988079071,multi_correction,0.0842999219894409,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,False,False,False,False,False,True,False,True,False,False,high_rmse_top20_flag;reversal_mismatch_flag;peak_time_large_error_flag,reversal_structure_mismatch,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6746935844421387,2.333853006362915,1.529280424118042,0.804572582244873,0.6552599585101027,1,0,0.2849999666213989,0.1249999850988388,0.0147723257541656,0,0,8,36,0,1,1,1,1,0,1,B_response3s_strict_core,instability_ay_roll,extreme_active,straight,58.89,3.93,controlled_vehicle_only_stage2,longstraight,longstraight,1.914999961853028,negative,0.1650000065565109,multi_correction,0.0865680128335952,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,False,False,False,False,False,True,False,False,False,True,high_rmse_top20_flag;reversal_mismatch_flag;amplitude_large_error_flag,reversal_structure_mismatch,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6606977581977844,1.6784822940826416,1.294647216796875,0.3838350772857666,0.771320151163377,1,0,0.2450000047683715,0.0049999952316284,0.3114977888762951,0,0,2,105,0,1,1,1,1,0,0,B_response3s_strict_core,instability_ay_roll,extreme_active,straight,221.89,12.75,controlled_vehicle_only_stage2,fix_road,fix_road,1.7450000047683716,positive,0.1400000005960464,multi_correction,0.3326591849327087,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,False,False,False,False,False,True,False,False,False,False,high_rmse_top20_flag;reversal_mismatch_flag,reversal_structure_mismatch,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6575250029563904,1.3070790767669678,0.5681696534156799,0.7389094233512878,0.4346865186007226,0,1,1.0,0.0850000008940696,0.1508363336324691,0,0,2,183,0,1,1,0,0,1,0,B_response3s_strict_core,instability_ay_roll,strong_active,straight,326.2,5.065,controlled_vehicle_only_stage2,curve2,curve2,1.6050000190734863,positive,0.0700000002980232,multi_correction,0.1935572028160095,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,True,True,True,False,False,False,True,False,True,False,True,high_rmse_top20_flag;wrong_side_flag;severe_amp_under_flag;reversal_mismatch_flag;peak_time_large_error_flag;amplitude_large_error_flag,wrong_side,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6568683981895447,0.969879984855652,0.402514100074768,0.5673658847808838,0.4150143382272958,0,1,0.2350000143051147,0.8249999731779099,0.060832567512989,0,0,3,225,0,1,1,0,0,1,0,B_response3s_strict_core,instability_ay_roll,medium_active,straight,681.25,5.105,controlled_vehicle_only_stage2,differentmu_road,mu1,0.9049999713897704,positive,0.135000005364418,multi_correction,0.1480040103197097,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,switch_to_3s_continuing_response_core,2秒后仍有明显变化，优先转为3秒响应覆盖候选,B_response3s_core_candidate,response3s_strict_core_candidate,False,True,True,False,False,False,True,False,False,True,True,wrong_side_flag;severe_amp_under_flag;reversal_mismatch_flag;onset_delay_large_error_flag;amplitude_large_error_flag,not_high_rmse_top20,0.6569997191429138,0.4885137677192688
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.6396094560623169,1.3226046562194824,1.130150556564331,0.1924540996551513,0.8544885663677763,1,0,0.6200000047683716,0.3050000071525574,0.2578946137800812,0,0,3,200,0,1,1,0,0,0,0,B_response3s_strict_core,instability_ay_roll,strong_active,straight,81.7,1.995,controlled_vehicle_only_stage2,middle_section,section2,1.2949999570846558,negative,0.125,multi_correction,0.2548160851001739,traceable_to_raw_vehicle_and_processed_window,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,instant2s_core_clean,2秒即时响应核心样本，2秒和3秒标签都相对稳定,A_instant2s_core_and_3s_ok,response3s_strict_core_candidate,False,False,False,False,False,False,True,False,True,False,False,reversal_mismatch_flag;peak_time_large_error_flag,not_high_rmse_top20,0.6569997191429138,0.4885137677192688
