track_id,response_family_target,n_samples,mean_peak_abs,large_response_rate,late_peak_rate,unsettled_tail_rate,needs_structure_head_rate
A_instant2s_core,negative__large_response__multi_correction,13,1.1396331741259649,1.0,0.3076923076923077,0.0,1.0
A_instant2s_core,negative__medium_response__multi_correction,8,0.3407755605876446,0.0,0.25,0.125,1.0
A_instant2s_core,negative__medium_response__reverse_correction,4,0.25569022074341774,0.0,0.25,0.25,1.0
A_instant2s_core,negative__medium_response__single_lobe,1,0.15830004215240479,0.0,1.0,1.0,1.0
A_instant2s_core,negative__small_response__multi_correction,1,0.08918601274490356,0.0,0.0,0.0,1.0
A_instant2s_core,negative__small_response__reverse_correction,7,0.06240718811750412,0.0,0.42857142857142855,0.7142857142857143,1.0
A_instant2s_core,negative__small_response__single_lobe,2,0.057775020599365234,0.0,0.5,1.0,1.0
A_instant2s_core,positive__large_response__multi_correction,10,1.2610691368579865,1.0,0.3,0.0,1.0
A_instant2s_core,positive__medium_response__multi_correction,13,0.27411070695290196,0.0,0.3076923076923077,0.5384615384615384,1.0
A_instant2s_core,positive__medium_response__reverse_correction,8,0.2986914310604334,0.0,0.0,0.25,1.0
A_instant2s_core,positive__medium_response__single_lobe,1,0.2061300277709961,0.0,1.0,1.0,1.0
A_instant2s_core,positive__small_response__multi_correction,2,0.07880144938826561,0.0,0.5,0.0,1.0
A_instant2s_core,positive__small_response__reverse_correction,11,0.07111479612913998,0.0,0.45454545454545453,0.45454545454545453,1.0
A_instant2s_core,positive__small_response__single_lobe,3,0.041363333662350975,0.0,0.0,1.0,1.0
B_response3s_strict_core,negative__large_response__multi_correction,37,2.0431340965064795,1.0,0.21621621621621623,0.0,1.0
B_response3s_strict_core,negative__medium_response__multi_correction,75,1.1510168997446697,0.0,0.24,0.0,1.0
B_response3s_strict_core,negative__medium_response__reverse_correction,1,1.2969540357589722,0.0,1.0,0.0,1.0
B_response3s_strict_core,negative__small_response__multi_correction,22,0.3967129120772535,0.0,0.13636363636363635,0.13636363636363635,1.0
B_response3s_strict_core,negative__small_response__reverse_correction,3,0.09424807627995808,0.0,0.0,0.3333333333333333,1.0
B_response3s_strict_core,negative__small_response__single_lobe,3,0.09128336111704509,0.0,0.0,1.0,1.0
B_response3s_strict_core,positive__large_response__multi_correction,27,2.14654212086289,1.0,0.14814814814814814,0.0,1.0
B_response3s_strict_core,positive__large_response__reverse_correction,1,1.6941959857940674,1.0,0.0,0.0,1.0
B_response3s_strict_core,positive__medium_response__multi_correction,61,1.182108684641416,0.0,0.32786885245901637,0.0,1.0
B_response3s_strict_core,positive__medium_response__reverse_correction,2,0.8941325545310974,0.0,0.0,0.0,1.0
B_response3s_strict_core,positive__small_response__multi_correction,29,0.3731093342448103,0.0,0.1724137931034483,0.27586206896551724,1.0
B_response3s_strict_core,positive__small_response__reverse_correction,9,0.14449444744322035,0.0,0.0,0.4444444444444444,1.0
