track_id,subject,n_samples,mean_peak_abs,large_response_rate,late_peak_rate,unsettled_tail_rate,needs_structure_head_rate
A_instant2s_core,byx,7,0.21928798513753073,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0
A_instant2s_core,cwh,5,0.4312368333339691,0.2,0.2,0.0,1.0
A_instant2s_core,gf,2,0.49768057465553284,0.5,0.0,0.0,1.0
A_instant2s_core,gzj,6,0.6670348991950353,0.3333333333333333,0.0,0.16666666666666666,1.0
A_instant2s_core,hzh,5,0.20385418981313705,0.0,0.2,0.6,1.0
A_instant2s_core,jy,7,0.8366600104740688,0.5714285714285714,0.2857142857142857,0.14285714285714285,1.0
A_instant2s_core,lx,1,0.9073969125747681,1.0,0.0,0.0,1.0
A_instant2s_core,lxy,10,0.6177593052387238,0.4,0.3,0.3,1.0
A_instant2s_core,rjy,1,0.10803589969873428,0.0,0.0,0.0,1.0
A_instant2s_core,txj,9,0.5218529767460294,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.0
A_instant2s_core,tyy,3,0.13019933303197226,0.0,0.6666666666666666,0.3333333333333333,1.0
A_instant2s_core,yyl,2,0.4169590175151825,0.5,0.5,0.0,1.0
A_instant2s_core,yzy,3,0.27593599756558734,0.0,0.6666666666666666,0.6666666666666666,1.0
A_instant2s_core,zdq,6,0.152396097779274,0.0,0.3333333333333333,0.3333333333333333,1.0
A_instant2s_core,zx,12,0.5688775591552258,0.3333333333333333,0.5,0.5833333333333334,1.0
A_instant2s_core,zxy,5,0.390047025680542,0.4,0.6,0.6,1.0
B_response3s_strict_core,byx,16,1.0397036289796233,0.1875,0.3125,0.0625,1.0
B_response3s_strict_core,cwh,15,0.963014809290568,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.0
B_response3s_strict_core,gf,8,1.5227560922503471,0.5,0.125,0.0,1.0
B_response3s_strict_core,gzj,29,1.101946252173391,0.1724137931034483,0.2413793103448276,0.034482758620689655,1.0
B_response3s_strict_core,hzh,23,1.2522973029509834,0.2608695652173913,0.21739130434782608,0.043478260869565216,1.0
B_response3s_strict_core,jy,15,1.2302004853884378,0.3333333333333333,0.06666666666666667,0.13333333333333333,1.0
B_response3s_strict_core,lx,4,1.379725992679596,0.25,0.25,0.0,1.0
B_response3s_strict_core,lxy,16,1.0341627206653357,0.1875,0.3125,0.0625,1.0
B_response3s_strict_core,rjy,17,1.0885310159886585,0.23529411764705882,0.17647058823529413,0.058823529411764705,1.0
B_response3s_strict_core,txj,16,0.8454266209155321,0.1875,0.0625,0.1875,1.0
B_response3s_strict_core,tyy,12,1.4349660972754161,0.5,0.16666666666666666,0.0,1.0
B_response3s_strict_core,xst,1,1.3625750541687012,0.0,0.0,0.0,1.0
B_response3s_strict_core,yyl,15,1.421954075495402,0.26666666666666666,0.4666666666666667,0.0,1.0
B_response3s_strict_core,yzy,22,1.2278163853016766,0.13636363636363635,0.22727272727272727,0.0,1.0
B_response3s_strict_core,zdq,11,1.2717741605910389,0.18181818181818182,0.0,0.18181818181818182,1.0
B_response3s_strict_core,zt,4,1.383956253528595,0.25,0.5,0.0,1.0
B_response3s_strict_core,zx,39,1.3083036702412825,0.358974358974359,0.3076923076923077,0.07692307692307693,1.0
B_response3s_strict_core,zxy,7,0.5895729064941406,0.0,0.14285714285714285,0.2857142857142857,1.0
