recurrence_rank,event_uid,subject,session_stamp,possible_config_model_count,high_rmse_top20_count,high_rmse_top20_rate,mean_sample_rmse,max_sample_rmse,mean_gt_peak_abs,is_large_response_any,wrong_side_count,severe_amp_under_count,tail_drift_count,zero_crossing_mismatch_count,reversal_mismatch_count,multi_segment_mismatch_count,large_response_missed_count,peak_time_large_error_count,onset_delay_large_error_count,configs_in_bad_top20,models_in_bad_top20
1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,15,15,1.0,1.3387079993883768,1.8897032737731931,3.465182145436605,1,2,15,15,5,14,9,15,4,4,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,15,15,1.0,1.1328306198120117,1.6162309646606443,2.594604015350342,1,0,14,10,0,15,0,14,0,14,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,15,15,1.0,1.340756114323934,1.513877034187317,2.132270336151123,1,0,15,12,2,15,0,15,0,8,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,15,15,1.0,0.8864508748054505,0.9795206785202026,1.7081509828567505,1,0,4,9,0,14,0,4,2,7,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,gf,2025_09_26_10_52_57,15,14,0.9333333333333333,0.920756189028422,1.0708085298538208,1.0818130175272624,0,0,1,15,0,15,0,0,14,0,random_main;session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,hzh,2025_09_26_21_03_19,15,14,0.9333333333333333,0.7965264678001404,0.9332415461540222,1.6409621238708496,1,12,15,0,0,15,10,15,9,10,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,15,13,0.8666666666666667,0.9291833241780599,1.4459693431854248,2.461432933807373,1,0,12,2,0,15,2,12,6,2,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,15,12,0.8,0.7611498832702637,1.1361052989959717,2.333853006362915,1,0,3,7,0,14,0,3,0,3,random_main;session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,15,12,0.8,0.7829436818758647,1.1274996995925903,1.6784822940826416,1,0,3,4,0,15,10,3,0,3,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,10,10,1.0,2.5282758474349976,3.190236806869507,2.7082290649414062,1,10,8,10,10,10,1,8,1,8,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
