recurrence_rank,event_uid,subject,session_stamp,high_rmse_top20_count,high_rmse_top20_rate,worst_config,worst_model,worst_sample_id,worst_sample_rmse,worst_gt_peak_abs,worst_pred_peak_abs,wrong_side_any,severe_amp_under_any,tail_drift_any,reversal_mismatch_any,multi_segment_mismatch_any,large_response_missed_any
1,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,15,1.0,session_pre3,peak_scaled_template_context_no_subject,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre3_label3_response_coverage,1.8897032737731931,4.153188228607178,0.8437414169311523,1,1,1,1,1,1
2,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,15,1.0,subject_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,1.6162309646606443,2.594604015350342,0.0803107991814613,0,1,1,1,0,1
3,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,15,1.0,subject_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,1.513877034187317,2.132270336151123,0.1329327672719955,0,1,1,1,0,1
4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,gzj,2025_09_27_11_38_49,15,1.0,subject_main,knn_template_context_no_subject,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595__pre2_label2_old_main,0.9795206785202026,1.7081509828567505,0.8478222489356995,0,1,1,1,0,1
5,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,gf,2025_09_26_10_52_57,14,0.9333333333333333,random_main,knn_template_context_no_subject,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,1.0708085298538208,0.9204869866371156,1.3147790431976318,0,1,1,1,0,0
6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,hzh,2025_09_26_21_03_19,14,0.9333333333333333,session_pre1,direction_gated_knn_template_no_subject,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,0.9332415461540222,1.6409621238708496,0.7927690148353577,1,1,0,1,1,1
7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,13,0.8666666666666667,session_pre1,rbf_kernel_ridge_context_no_subject,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,1.4459693431854248,2.461432933807373,0.1309867650270462,0,1,1,1,1,1
8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,12,0.8,random_main,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,1.1361052989959717,2.333853006362915,0.4071202874183655,0,1,1,1,0,1
9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,12,0.8,session_pre3,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,1.1274996995925903,1.6784822940826416,0.24407359957695,0,1,1,1,1,1
10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,10,1.0,session_pre3,formal_ridge_vehicle_context_no_subject,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,3.190236806869507,2.7082290649414062,1.442177176475525,1,1,1,1,1,1
