selected_model,error_flag,n_samples,rate,mean_rmse
rbf_kernel_ridge_context_no_subject,reversal_mismatch_flag,133,0.9568345323741008,0.4506790365155478
rbf_kernel_ridge_context_no_subject,tail_drift_flag,74,0.5323741007194245,0.5030294096323888
rbf_kernel_ridge_context_no_subject,peak_time_large_error_flag,49,0.35251798561151076,0.4362939872151735
rbf_kernel_ridge_context_no_subject,onset_delay_large_error_flag,48,0.34532374100719426,0.5078459066183617
rbf_kernel_ridge_context_no_subject,multi_segment_mismatch_flag,38,0.2733812949640288,0.4336876258450119
rbf_kernel_ridge_context_no_subject,severe_amp_under_flag,35,0.2517985611510791,0.5900850761947888
rbf_kernel_ridge_context_no_subject,wrong_side_flag,30,0.2158273381294964,0.4677441397992273
rbf_kernel_ridge_context_no_subject,high_rmse_top20pct,28,0.2014388489208633,0.9284494476658958
rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch_flag,20,0.14388489208633093,0.5557863242458552
rbf_kernel_ridge_context_no_subject,large_response_missed_flag,10,0.07194244604316546,1.2466661512851716
