sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,2.01662278175354,2.7082290649414062,0.06561307609081268,2.6426159888505936,0.02422729928579075,0,1,0.17499995231628418,1.8149999976158142,2.7342222183942795,1,1,3,0,0,1,0,1,0,1,1
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.4428989887237549,2.6043848991394043,0.32939302921295166,2.2749918699264526,0.126476324341228,0,1,0.034999966621398926,0.8650000095367432,2.929296225309372,1,1,1,8,0,0,1,1,0,1,1
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.4312907457351685,2.145881175994873,0.081837959587574,2.064043216407299,0.03813722796167048,1,0,0.6449999809265137,1.594999998807907,1.0086430832743645,0,1,1,2,0,0,1,1,0,1,1
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.3308805227279663,2.461432933807373,0.32694390416145325,2.13448902964592,0.13282665542941793,1,0,0.4700000286102295,1.0400000214576721,1.7477649450302124,1,0,2,75,0,1,1,1,0,1,1
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.2999987602233887,2.132270336151123,0.6133189797401428,1.5189513564109802,0.28763659529551994,1,0,0.4450000524520874,0.5999999642372131,1.5227016508579254,1,0,2,158,0,1,1,1,0,1,1
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.2196071147918701,3.1211791038513184,0.15244342386722565,2.9687356799840927,0.04884161363220747,1,0,1.25,0.5800000429153442,3.0166971907019615,1,0,0,3,0,0,1,1,0,1,1
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.0138791799545288,1.3988850116729736,1.5945559539431997e-08,1.398884995727414,1.1398763591270569e-08,1,0,1.3550000190734863,1.7400000095367432,1.3390150063617832,1,1,1,0,0,0,0,1,0,1,0
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005,tyy,2025_09_28_14_44_09,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,1.0087239742279053,1.7652308940887451,0.6325796842575073,1.1326512098312378,0.358355208021702,0,1,0.2799999713897705,0.2549999952316284,0.7782655954360962,0,0,3,155,0,1,1,1,0,1,1
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,hzh,2025_09_26_21_03_19,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9654766321182251,1.2440659999847412,1.2421554629327147e-06,1.2440647578292783,9.984642799883206e-07,1,0,0.45499998331069946,1.8050000071525574,1.074076378794956,1,1,1,0,0,0,0,0,0,1,0
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000119290__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000119290,zx,2025_09_27_18_00_08,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9596332311630249,0.14608433842658997,1.5420600175857544,1.3959756791591644,10.555957155945691,1,0,0.2099999189376831,0.02000000048428774,1.3339661359786987,1,0,2,112,0,1,1,0,0,0,0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9407994747161865,2.594604015350342,1.1294095516204834,1.4651944637298584,0.43529168417939973,1,0,0.23000001907348633,0.8149999976158142,1.4180591106414795,1,0,2,39,0,1,1,1,0,1,1
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680,zx,2025_09_27_18_00_08,pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,0.9386233687400818,1.3625800609588623,1.3988343477249146,0.036254286766052246,1.0266070873960533,1,0,0.6549999713897705,0.2549999952316284,2.0523340702056885,1,0,2,58,0,1,1,0,0,0,0
