robustness_config_id,window_config_id,split_strategy,model_name,role,train_n,val_n,test_n,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,status,selected_gamma,selected_gamma_scale,selected_alpha,val_rmse,train_rmse,selection_metric,standardization_scope,rich_feature_count,distance_feature_count,selector_source,selected_k,template_source,direction_clf_k,direction_val_accuracy,peak_regressor_k,peak_abs_val_mae,val_selected_model_for_config
random_main,pre2_label2_old_main,random_event_split,formal_ridge_vehicle_context_no_subject,formal_reference,634,136,136,False,False,False,False,,,,,,,,,,,,,,,,,,rbf_kernel_ridge_context_no_subject
random_main,pre2_label2_old_main,random_event_split,rbf_kernel_ridge_context_no_subject,,634,136,136,False,False,False,False,ok,0.005069309679329083,0.5,0.1,0.6464772820472717,0.4205166697502136,val_rmse,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,,,,,,,rbf_kernel_ridge_context_no_subject
random_main,pre2_label2_old_main,random_event_split,knn_template_context_no_subject,,634,136,136,False,False,False,False,ok,,,,0.6873679757118225,7.09257619746495e-07,val_rmse,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,5.0,train split labels only,,,,,rbf_kernel_ridge_context_no_subject
random_main,pre2_label2_old_main,random_event_split,direction_gated_knn_template_no_subject,,634,136,136,False,False,False,False,ok,,,,0.718259334564209,1.0316073257854441e-06,val_rmse_after_direction_classifier_selected_on_val_accuracy,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,9.0,train split labels only,3.0,0.7941176470588235,,,rbf_kernel_ridge_context_no_subject
random_main,pre2_label2_old_main,random_event_split,peak_scaled_template_context_no_subject,,634,136,136,False,False,False,False,ok,,,,0.7053933143615723,0.08719541877508163,val_rmse_after_direction_and_peak_aux_models_selected_on_val,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,15.0,train split labels only; normalized by train label peak for templates,3.0,0.7941176470588235,5.0,0.5475757908637291,rbf_kernel_ridge_context_no_subject
subject_main,pre2_label2_old_main,subject_level_split,formal_ridge_vehicle_context_no_subject,formal_reference,513,154,239,False,False,False,False,,,,,,,,,,,,,,,,,,rbf_kernel_ridge_context_no_subject
subject_main,pre2_label2_old_main,subject_level_split,rbf_kernel_ridge_context_no_subject,,513,154,239,False,False,False,False,ok,0.022120187553003948,2.0,0.1,0.6574152112007141,0.2415187656879425,val_rmse,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,,,,,,,rbf_kernel_ridge_context_no_subject
subject_main,pre2_label2_old_main,subject_level_split,knn_template_context_no_subject,,513,154,239,False,False,False,False,ok,,,,0.6815907955169678,1.186358190352621e-06,val_rmse,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,9.0,train split labels only,,,,,rbf_kernel_ridge_context_no_subject
subject_main,pre2_label2_old_main,subject_level_split,direction_gated_knn_template_no_subject,,513,154,239,False,False,False,False,ok,,,,0.7287113666534424,2.5421202280995203e-06,val_rmse_after_direction_classifier_selected_on_val_accuracy,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,25.0,train split labels only,9.0,0.7402597402597403,,,rbf_kernel_ridge_context_no_subject
subject_main,pre2_label2_old_main,subject_level_split,peak_scaled_template_context_no_subject,,513,154,239,False,False,False,False,ok,,,,0.7183080911636353,0.06693442910909653,val_rmse_after_direction_and_peak_aux_models_selected_on_val,train split scaler + train-variance distance feature selection only,1104.0,96.0,train split variance only,25.0,train split labels only; normalized by train label peak for templates,9.0,0.7402597402597403,25.0,0.5775523162467896,rbf_kernel_ridge_context_no_subject
session_pre1,pre1_label2_event_trigger,session_level_split,formal_ridge_vehicle_context_no_subject,formal_reference,611,156,139,False,False,False,False,,,,,,,,,,,,,,,,,,peak_scaled_template_context_no_subject
