sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20,track_id
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,1.228209376335144,2.594604015350342,0.6234921813011169,1.9711118340492249,0.24030340568825823,1,0,0.029999971389770508,1.1299999952316284,0.6237897127866745,0,0,5,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,1.2127593755722046,1.1810654401779175,0.7247962355613708,0.45626920461654663,0.6136799968104955,0,1,0.434999942779541,0.26500000059604645,0.6102655529975891,1,1,6,1,0,1,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.9000878930091858,1.3070790767669678,0.5407061576843262,0.7663729190826416,0.4136751687753669,0,1,1.3949999809265137,0.24000000208616257,0.7342633605003357,1,1,2,2,1,1,1,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.8692538142204285,1.016481637954712,0.2999654710292816,0.7165161669254303,0.2951017114611629,0,1,1.4850000739097595,0.25,0.18704983592033386,0,1,2,0,0,1,0,0,0,1,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.788072407245636,1.9839180707931519,0.7706162333488464,1.2133018374443054,0.3884314804596549,1,0,0.10500001907348633,0.885000005364418,0.0695091038942337,0,0,2,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.7693501114845276,2.145881175994873,0.833626925945282,1.312254250049591,0.3884776730746967,1,0,0.38999998569488525,0.5349999964237213,0.10329830646514893,0,1,2,1,0,1,0,1,0,1,1,B_response3s_strict_core
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre3_label3_response_coverage,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,tyy,2025_09_28_14_44_09,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.751059889793396,2.333853006362915,1.4011653661727905,0.9326876401901245,0.6003657309833629,1,0,0.12999999523162842,0.7199999839067459,0.41119833290576935,0,1,8,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.7219582200050354,2.043076992034912,1.4571921825408936,0.5858848094940186,0.7132341014175511,1,0,0.2950000762939453,0.510000005364418,0.7366129159927368,0,1,2,1,0,1,0,1,1,0,1,B_response3s_strict_core
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre3_label3_response_coverage,vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350,zxy,2025_09_28_15_57_38,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.7187845706939697,0.5749120116233826,1.3084136247634888,0.7335016131401062,2.275850214137835,1,0,0.5199998617172241,0.08999999612569809,1.0339922308921814,1,1,6,0,0,1,0,0,0,0,0,B_response3s_strict_core
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,session_level_split,test,structured_vehicle_transformer_aux_no_subject,0.6984763145446777,1.6784822940826416,1.2539528608322144,0.42452943325042725,0.7470754176275362,1,0,0.004999995231628418,0.689999982714653,0.15260407328605652,0,0,2,1,0,1,0,1,1,0,0,B_response3s_strict_core
