sample_id,event_uid,subject,session_stamp,split,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,rmse_branch0,rmse_branch1,rmse_branch2,rmse_bestk,rmse_top1_branch,top1_bestk_gap,rbf_sample_rmse,rbf_wrong_side,rbf_large_response_recalled,rbf_severe_amp_under,rbf_peak_amp_abs_error,rbf_peak_time_abs_error_s,rbf_onset_delay_abs_error_s,rbf_tail_abs_error,rbf_tail_drift_risk,rbf_zero_crossing_mismatch,rbf_reversal_count_exact,rbf_pred_multi_segment,rbf_pred_peak_abs,rbf_gt_peak_abs,rbf_is_large_response,rbf_is_difficult_peak_top20,top1_sample_rmse,top1_wrong_side,top1_large_response_recalled,top1_severe_amp_under,top1_peak_amp_abs_error,top1_peak_time_abs_error_s,top1_onset_delay_abs_error_s,top1_tail_abs_error,top1_tail_drift_risk,top1_zero_crossing_mismatch,top1_reversal_count_exact,top1_pred_multi_segment,top1_pred_peak_abs,top1_gt_peak_abs,top1_is_large_response,top1_is_difficult_peak_top20,bestk_sample_rmse,bestk_wrong_side,bestk_large_response_recalled,bestk_severe_amp_under,bestk_peak_amp_abs_error,bestk_peak_time_abs_error_s,bestk_onset_delay_abs_error_s,bestk_tail_abs_error,bestk_tail_drift_risk,bestk_zero_crossing_mismatch,bestk_reversal_count_exact,bestk_pred_multi_segment,bestk_pred_peak_abs,bestk_gt_peak_abs,bestk_is_large_response,bestk_is_difficult_peak_top20,event_level,road_type_anchor,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,anchor_time_rel_s,curvature_anchor,median_speed_kmh_window,computed_morphology,amplitude_bucket,response_family_target,peak_time_bucket,onset_bucket,tail_state,peak_abs,peak_signed,reversal_count,top1_minus_rbf_rmse,bestk_minus_rbf_rmse,bestk_gain_over_top1,bestk_gain_over_rbf,z_top1_prob,z_prob_margin,z_branch_spread_mean,z_branch_spread_peak,simple_reliability_risk_score,high_gap_train_p75,high_risk_train_p75,low_confidence_train_rule
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,0,2,0,0.34701928,0.018483877,0.24585636,0.42480898,0.6225227,0.8765181,0.45513037,0.45513037,0.6225227,0.16739232999999998,0.2963285148143768,0,1,0,0.6094933748245239,0.1149998903274536,0.0150000005960464,0.0949705988168716,0,0,0,1,1.3351538181304932,1.944647192955017,1,1,0.6225227117538452,0,1,0,0.2662578821182251,0.5099999904632568,0.8099999874830246,0.2088250536471605,0,0,0,1,2.210905075073242,1.944647192955017,1,1,0.4551303684711456,0,1,0,0.2546044588088989,0.4549999237060547,0.7900000065565109,0.1426800191402435,0,0,0,1,1.6900427341461182,1.944647192955017,1,1,extreme_active,straight,primary,middle_section,section2,design_regular_road,high,60.84,0.0,109.498002,multi_correction,large_response,positive__large_response__multi_correction,middle_peak,fast_onset,returned_tail,1.944647192955017,1.944647192955017,5,0.32619419693946844,0.1588018536567688,0.16739234328269964,-0.1588018536567688,-1.5921612162362535,-0.5993210370763012,0.8096340749184652,0.7507633997255811,3.751879727956601,1,1,1
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,0,0,1,0.38837993,0.032203823,0.22878353,0.4078026,0.2659793,0.32922202,0.49145967,0.2659793,0.2659793,0.0,0.2836828827857971,0,0,0,0.0246953964233398,0.4750000238418579,0.6499999836087227,0.1279376447200775,0,0,0,1,0.9230186343193054,0.9477140307426452,0,0,0.2659793198108673,0,0,0,0.0444622635841369,0.4650000333786011,0.4099999964237213,0.1568973883986473,0,0,0,1,0.9921762943267822,0.9477140307426452,0,0,0.2659793198108673,0,0,0,0.0444622635841369,0.4650000333786011,0.4099999964237213,0.1568973883986473,0,0,0,1,0.9921762943267822,0.9477140307426452,0,0,strong_active,straight,secondary,middle_section,section3,design_regular_road,low,187.815,0.0,112.325999,multi_correction,medium_response,negative__medium_response__multi_correction,late_peak,middle_onset,returned_tail,0.9477140307426452,-0.9477140307426452,3,-0.01770356297492981,-0.01770356297492981,0.0,0.01770356297492981,0.2503875703863267,-0.11665946413473845,0.4424011847675573,0.5338894759775421,0.8425625544935111,0,0,0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,2,2,1,0.40466776,0.060604364,0.2484105,0.4048771,0.5585037,0.8623071,0.32821763,0.32821763,0.32821763,0.0,0.2333856970071792,0,0,0,0.4352961182594299,0.0449998378753662,0.1200000047683715,0.005930483341217,0,0,0,1,0.8939477801322937,1.3292438983917236,0,0,0.3282176256179809,0,0,0,0.5744020938873291,0.8149999380111694,0.1750000119209289,0.836211696267128,1,0,0,0,0.7548418045043945,1.3292438983917236,0,0,0.3282176256179809,0,0,0,0.5744020938873291,0.8149999380111694,0.1750000119209289,0.836211696267128,1,0,0,0,0.7548418045043945,1.3292438983917236,0,0,extreme_active,straight,secondary,curve2,curve2,design_curve_context,very_low,349.3,-0.00025321,137.065,multi_correction,medium_response,negative__medium_response__multi_correction,late_peak,delayed_onset,returned_tail,1.3292438983917236,-1.3292438983917236,2,0.0948319286108017,0.0948319286108017,0.0,-0.0948319286108017,0.9759835511848604,0.8824588845418048,0.8645730753097327,0.4965820264247922,-0.4972873339921402,0,0,1
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,byx,2025_09_28_17_15_52,train,2,1,0,0.37562755,0.003869325,0.24971178,0.43020067,0.7405899,0.6418457,0.9250205,0.6418457,0.9250205,0.28317480000000006,0.6231074333190918,0,1,0,0.8942404985427856,0.0850000381469726,0.6099999845027924,0.0454297140240669,0,0,0,1,1.303301453590393,2.1975419521331787,1,1,0.9250205159187316,0,1,0,0.5587762594223022,0.1450001001358032,0.7100000083446503,0.4407773911952972,0,0,0,1,1.6387656927108765,2.1975419521331787,1,1,0.641845703125,0,0,1,1.107537031173706,0.1599999666213989,0.5000000298023224,0.3104322850704193,0,0,0,0,1.0900049209594729,2.1975419521331787,1,1,extreme_active,straight,secondary,middle_section,section2,design_regular_road,high,58.865,0.0,116.815,multi_correction,large_response,negative__large_response__multi_correction,middle_peak,fast_onset,returned_tail,2.1975419521331787,-2.1975419521331787,3,0.3019130825996398,0.018738269805908203,0.2831748127937316,-0.018738269805908203,-0.31770994006261627,-1.1134544495661363,0.8925633273825038,0.8195209463600247,3.1432486633712813,1,1,1
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,byx,2025_09_28_17_15_52,train,0,0,1,0.44044864,0.10880056,0.24503772,0.4154991,0.36454123,0.41840586,0.57344013,0.36454123,0.36454123,0.0,0.2145424932241439,0,1,0,0.2555558681488037,0.0850000381469726,0.0600000023841857,0.0927406400442123,0,0,0,1,1.4471921920776367,1.7027480602264404,1,0,0.3645412027835846,0,1,0,0.15545654296875,0.3350000381469726,0.4950000345706939,0.4590895175933838,0,1,0,0,1.5472915172576904,1.7027480602264404,1,0,0.3645412027835846,0,1,0,0.15545654296875,0.3350000381469726,0.4950000345706939,0.4590895175933838,0,1,0,0,1.5472915172576904,1.7027480602264404,1,0,strong_active,curve,secondary,curve1,curve1,design_curve_context,high,131.145,-0.00729802,94.22245,multi_correction,large_response,negative__large_response__multi_correction,late_peak,fast_onset,returned_tail,1.7027480602264404,-1.7027480602264404,4,0.1499987095594407,0.1499987095594407,0.0,-0.1499987095594407,2.569962780918633,2.5779795353635975,0.7920253051249896,0.6320391206477648,-3.7238778905094763,0,0,1
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,byx,2025_09_28_17_15_52,train,2,2,1,0.4078055,0.05940199,0.22237752,0.40211728,0.2633977,0.49197513,0.21464941,0.21464941,0.21464941,0.0,0.1462903767824173,0,0,0,0.2881791591644287,0.0,0.024999976158142,0.1217870898544788,0,0,0,1,1.244619607925415,0.9564404487609864,0,0,0.2146494090557098,0,0,0,0.3146085739135742,0.0800000429153442,0.5800000131130219,0.6364813894033432,1,0,1,1,1.2710490226745603,0.9564404487609864,0,0,0.2146494090557098,0,0,0,0.3146085739135742,0.0800000429153442,0.5800000131130219,0.6364813894033432,1,0,1,1,1.2710490226745603,0.9564404487609864,0,0,strong_active,straight,secondary,fix_road,fix_road,design_special_event_segment,low,216.345,0.0,105.803,multi_correction,medium_response,negative__medium_response__multi_correction,middle_peak,delayed_onset,returned_tail,0.9564404487609864,-0.9564404487609864,2,0.06835903227329251,0.06835903227329251,0.0,-0.06835903227329251,1.1157646965425163,0.840159904202958,0.30460929164640366,0.46138741168383574,-1.189927897415235,0,0,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,train,0,0,1,0.36952415,0.03802389,0.12168916,0.24886583,0.09384407,0.17355987,0.20568475,0.09384407,0.09384407,0.0,0.0118708098307251,0,0,0,0.0127601027488708,0.2249999642372131,0.0,0.0045155622065067,0,0,1,0,0.0902099013328552,0.102970004081726,0,0,0.0938440710306167,0,0,0,0.2042990624904632,0.3550000190734863,0.0200000032782554,0.1052647680044174,1,1,0,0,0.3072690665721893,0.102970004081726,0,0,0.0938440710306167,0,0,0,0.2042990624904632,0.3550000190734863,0.0200000032782554,0.1052647680044174,1,1,0,0,0.3072690665721893,0.102970004081726,0,0,instability_extreme,design_regular_road,none,middle_section,section2,design_regular_road,medium,65.55,-0.0,23.153981,reverse_correction,small_response,positive__small_response__reverse_correction,early_peak,fast_onset,residual_tail,0.102970004081726,0.102970004081726,1,0.08197326119989161,0.08197326119989161,0.0,-0.08197326119989161,-0.5896063504012405,0.08808789367886238,-1.861175610291652,-1.4929522703399964,-2.85260942390927,0,0,1
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,train,0,2,0,0.4079444,0.04654914,0.2849716,0.52453345,0.48493528,0.86689144,0.20404649,0.20404649,0.48493528,0.28088879,0.2402490526437759,0,0,0,0.1320234537124633,1.1750000715255735,0.0449999868869781,0.182657316327095,0,0,0,1,1.2630199193954468,1.3950433731079102,0,0,0.4849352836608886,0,0,0,0.152907133102417,1.2000000476837158,0.0699999928474426,0.1405987441539764,0,0,0,0,1.2421362400054932,1.3950433731079102,0,0,0.2040464878082275,0,0,0,0.1063607931137085,0.5950000286102295,0.0649999976158142,0.4664530754089355,0,0,0,0,1.5014041662216189,1.3950433731079102,0,0,strong_active,curve,secondary,curve1,curve1,design_curve_context,high,164.15,-0.00729802,93.4647,multi_correction,medium_response,negative__medium_response__multi_correction,late_peak,fast_onset,residual_tail,1.3950433731079102,-1.3950433731079102,3,0.2446862310171127,-0.0362025648355484,0.28088879585266113,0.0362025648355484,1.1219524626066828,0.3880023812956548,1.6509944489247903,2.0225000716448034,2.163539676667256,1,1,1
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,train,1,1,1,0.44567648,0.10042417,0.13249905,0.25498998,0.13857734,0.049953125,0.3732792,0.049953125,0.049953125,0.0,0.0062738512642681,0,0,0,0.0040393397212028,0.0099999904632568,0.375,0.0026199575513601,0,0,1,1,0.040339283645153,0.0362999439239501,0,0,0.0499531254172325,1,0,0,0.0345644429326057,1.7049999833106997,2.274999976158142,0.0563694704324007,1,0,0,0,0.0708643868565559,0.0362999439239501,0,0,0.0499531254172325,1,0,0,0.0345644429326057,1.7049999833106997,2.274999976158142,0.0563694704324007,1,0,0,0,0.0708643868565559,0.0362999439239501,0,0,instability_extreme,design_special_event_segment,none,fix_road,fix_road,design_special_event_segment,low,275.87,-0.0,12.402441,multi_correction,small_response,negative__small_response__multi_correction,late_peak,delayed_onset,unsettled_tail,0.0362999439239501,-0.0362999439239501,2,0.0436792741529644,0.0436792741529644,0.0,-0.0436792741529644,2.8028544363606285,2.2833018760658144,-1.6286572084266184,-1.4148540248508592,-8.12966754570392,0,0,0
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,train,0,2,0,0.383185,0.0301795,0.16982767,0.34083068,0.616347,0.83242404,0.45174557,0.45174557,0.616347,0.16460143,0.216630607843399,0,0,0,0.2833201885223388,0.1049998998641967,0.0649999976158142,0.127686470746994,0,0,0,1,1.089555740356445,1.3728759288787842,0,0,0.6163470149040222,0,0,0,0.0097978115081787,0.5849999189376831,0.2750000357627868,0.1377134919166565,0,0,0,1,1.3630781173706057,1.3728759288787842,0,0,0.4517455697059631,0,0,0,0.3870280981063843,0.2049999237060547,0.2150000035762787,0.0304731428623199,0,0,0,0,0.9858478307724,1.3728759288787842,0,0,strong_active,straight,secondary,middle_section,section5,design_regular_road,very_low,384.19,-0.0,120.9992,multi_correction,medium_response,positive__medium_response__multi_correction,middle_peak,fast_onset,returned_tail,1.3728759288787842,1.3728759288787842,3,0.3997164070606232,0.2351149618625641,0.16460144519805914,-0.2351149618625641,0.01896200120186719,-0.18787424321052942,-0.8257266451898857,-0.3201701811240746,-0.9769845843052981,1,0,0
