sample_id,event_uid,subject,session_stamp,split,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,rmse_branch0,rmse_branch1,rmse_branch2,rmse_bestk,rmse_top1_branch,top1_bestk_gap,rbf_sample_rmse,rbf_wrong_side,rbf_large_response_recalled,rbf_severe_amp_under,rbf_peak_amp_abs_error,rbf_peak_time_abs_error_s,rbf_onset_delay_abs_error_s,rbf_tail_abs_error,rbf_tail_drift_risk,rbf_zero_crossing_mismatch,rbf_reversal_count_exact,rbf_pred_multi_segment,rbf_pred_peak_abs,rbf_gt_peak_abs,rbf_is_large_response,rbf_is_difficult_peak_top20,top1_sample_rmse,top1_wrong_side,top1_large_response_recalled,top1_severe_amp_under,top1_peak_amp_abs_error,top1_peak_time_abs_error_s,top1_onset_delay_abs_error_s,top1_tail_abs_error,top1_tail_drift_risk,top1_zero_crossing_mismatch,top1_reversal_count_exact,top1_pred_multi_segment,top1_pred_peak_abs,top1_gt_peak_abs,top1_is_large_response,top1_is_difficult_peak_top20,bestk_sample_rmse,bestk_wrong_side,bestk_large_response_recalled,bestk_severe_amp_under,bestk_peak_amp_abs_error,bestk_peak_time_abs_error_s,bestk_onset_delay_abs_error_s,bestk_tail_abs_error,bestk_tail_drift_risk,bestk_zero_crossing_mismatch,bestk_reversal_count_exact,bestk_pred_multi_segment,bestk_pred_peak_abs,bestk_gt_peak_abs,bestk_is_large_response,bestk_is_difficult_peak_top20,event_level,road_type_anchor,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,anchor_time_rel_s,curvature_anchor,median_speed_kmh_window,computed_morphology,amplitude_bucket,response_family_target,peak_time_bucket,onset_bucket,tail_state,peak_abs,peak_signed,reversal_count,top1_minus_rbf_rmse,bestk_minus_rbf_rmse,bestk_gain_over_top1,bestk_gain_over_rbf,z_top1_prob,z_prob_margin,z_branch_spread_mean,z_branch_spread_peak,simple_reliability_risk_score,high_gap_train_p75,high_risk_train_p75,low_confidence_train_rule
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,test,2,1,0,0.3798946,0.015651494,0.19089802,0.35130143,0.40398562,0.18708633,0.6343371,0.18708633,0.6343371,0.44725077,0.151004672050476,1,0,0,0.17950239777565,1.034999966621399,0.3199999928474426,0.1401531957089901,0,0,0,1,0.379700630903244,0.559203028678894,0,0,0.6343371272087097,0,0,0,0.2147301435470581,0.8949999809265137,0.2950000017881393,0.541620671749115,1,0,0,1,0.7739331722259521,0.559203028678894,0,0,0.1870863288640976,0,0,1,0.3048343062400818,0.3550000190734863,0.3199999928474426,0.1640375051647424,0,0,0,0,0.2543687224388122,0.559203028678894,0,0,weak,straight,secondary,middle_section,section4,design_regular_road,low,300.87,0.0,96.81946,multi_correction,small_response,negative__small_response__multi_correction,early_peak,middle_onset,residual_tail,0.559203028678894,-0.559203028678894,4,0.48333245515823375,0.036081656813621604,0.4472507983446121,-0.036081656813621604,-0.1276198955406377,-0.6989630060718747,-0.3725079622304001,-0.18664190308461007,0.26743303629750215,1,0,0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,test,2,1,0,0.39222518,0.03251812,0.21831359,0.39510462,0.48007405,0.32296777,0.76110166,0.32296777,0.76110166,0.43813389,0.510627806186676,0,0,0,0.2490013837814331,0.2299998998641967,0.5049999952316284,0.005322940647602,0,0,0,1,1.2516933679580688,1.0026919841766355,0,0,0.7611016631126404,0,0,0,0.6860487461090088,0.1899999380111694,0.0149999856948852,0.6006573885679245,1,0,0,1,1.6887407302856443,1.0026919841766355,0,0,0.3229677677154541,0,0,0,0.0640680193901062,0.4199999570846557,0.4749999642372131,0.0481290072202682,0,0,0,0,0.9386239647865297,1.0026919841766355,0,0,strong_active,straight,secondary,curve2,curve2,design_curve_context,very_low,362.46,-0.00018372,117.615199,multi_correction,medium_response,negative__medium_response__multi_correction,middle_peak,middle_onset,returned_tail,1.0026919841766355,-1.0026919841766355,5,0.25047385692596436,-0.18766003847122192,0.4381338953971863,0.18766003847122192,0.4216871201216553,-0.10560263604002049,0.21719503406456292,0.3719584391387717,0.2730689891216998,1,0,0
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000149680,zx,2025_09_27_18_00_08,test,0,1,0,0.38023356,0.0057137012,0.25999045,0.48964435,0.71809196,0.39817962,1.0911908,0.39817962,0.71809196,0.31991233999999996,0.9599702954292296,1,0,0,0.2561107277870178,1.565000057220459,0.0300000011920928,0.1322385221719741,0,1,0,1,0.7603709101676941,1.016481637954712,0,0,0.7180919647216797,1,0,1,0.6309428811073303,1.690000057220459,0.0900000035762786,0.1458413451910019,0,0,1,1,0.3855387568473816,1.016481637954712,0,0,0.3981796205043793,0,0,0,0.3413587212562561,0.1850000619888305,0.0549999997019767,0.1368101425468921,0,0,1,1,0.6751229166984558,1.016481637954712,0,0,extreme_active,curve,secondary,curve1,curve1,design_curve_context,low,149.68,-0.00729802,122.3442,multi_correction,medium_response,positive__medium_response__multi_correction,late_peak,fast_onset,returned_tail,1.016481637954712,1.016481637954712,2,-0.24187833070754994,-0.5617906749248504,0.3199123442173004,0.5617906749248504,-0.11251978621659206,-1.0485701185499658,1.1136553016484827,1.577576695062738,3.8523219014777785,1,1,1
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905,zx,2025_09_27_18_00_08,test,0,1,0,0.38412043,0.032141596,0.23863007,0.47106808,0.4931939,0.20577236,0.8333569,0.20577236,0.4931939,0.28742154000000003,0.7573572397232056,0,0,0,0.2785311937332153,0.9649999141693116,0.0850000083446502,0.1042630970478057,0,0,0,1,1.0068540573120115,0.7283228635787964,0,0,0.4931938946247101,0,0,0,0.3136747181415558,0.6299999952316284,0.0150000005960464,0.10646653175354,0,1,0,0,0.4146481454372406,0.7283228635787964,0,0,0.2057723551988601,0,0,0,0.1737425923347473,0.2550000548362732,0.0049999952316284,0.0743370344862341,0,0,0,1,0.5545802712440491,0.7283228635787964,0,0,strong_active,curve,primary,curve1,curve1,design_curve_context,very_low,353.905,-0.00729802,125.252399,multi_correction,medium_response,negative__medium_response__multi_correction,early_peak,fast_onset,returned_tail,0.7283228635787964,-0.7283228635787964,14,-0.2641633450984955,-0.5515848845243454,0.28742153942584997,0.5515848845243454,0.06063386592039525,-0.11884858220411232,0.6541981359576364,1.3406827432926969,2.0530955955340504,1,1,0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,test,2,0,0,0.37530553,0.0006645024,0.26607415,0.4847102,0.50471836,0.6114286,0.7755172,0.50471836,0.7755172,0.27079884,0.5194991827011108,0,1,0,0.5476994514465332,0.1150000095367431,0.0450000017881393,0.2298114113509655,0,0,0,1,1.495377540588379,2.043076992034912,1,1,0.7755171656608582,0,1,0,0.5904090404510498,0.1399999856948852,0.5199999958276749,0.9206486344337464,0,0,1,1,2.633486032485962,2.043076992034912,1,1,0.5047183036804199,0,1,0,0.155717134475708,0.0800000429153442,0.5899999886751175,0.3710554838180542,0,0,0,0,2.19879412651062,2.043076992034912,1,1,extreme_active,straight,secondary,middle_section,section1,design_regular_road,high,53.185,0.0,93.507479,multi_correction,large_response,negative__large_response__multi_correction,middle_peak,fast_onset,returned_tail,2.043076992034912,-2.043076992034912,2,0.2560179829597473,-0.014780879020690918,0.27079886198043823,0.014780879020690918,-0.33205540030727304,-1.2261986773578977,1.2445143762020916,1.5146539289678138,4.317422382835076,1,1,1
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,test,2,1,0,0.36830828,0.00018432736,0.22615218,0.39130604,0.39409694,0.34528863,0.61411065,0.34528863,0.61411065,0.26882202,0.4272091090679168,0,0,1,0.8355430364608765,0.2799999713897705,0.0700000002980232,0.2808642499148845,0,0,0,1,0.6574149131774902,1.4929579496383667,0,0,0.6141105890274048,0,0,1,0.9494081735610962,0.1900000572204589,0.6000000312924385,0.0905320048332214,0,0,1,1,0.5435497760772705,1.4929579496383667,0,0,0.3452886044979095,0,0,0,0.1103627681732177,0.2300000190734863,0.9550000503659248,0.4838021546602249,0,0,1,1,1.382595181465149,1.4929579496383667,0,0,extreme_active,straight,secondary,middle_section,section2,design_regular_road,high,95.58,0.0,128.3614,multi_correction,medium_response,positive__medium_response__multi_correction,middle_peak,fast_onset,residual_tail,1.4929579496383667,1.4929579496383667,2,0.18690147995948797,-0.08192050457000732,0.2688219845294953,0.08192050457000732,-0.6437713548968376,-1.2430910208185555,0.38580141393292744,0.3235170336620726,2.596180823310393,1,1,1
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,test,0,1,0,0.3449312,0.0055505633,0.23372504,0.43557686,0.8888066,0.6342898,1.1465561,0.6342898,0.8888066,0.2545168,0.6606977581977844,0,1,0,0.3838350772857666,0.2450000047683715,0.0049999952316284,0.3114977888762951,0,0,0,1,1.294647216796875,1.6784822940826416,1,0,0.8888065814971924,0,1,0,0.5645873546600342,0.0600000619888305,0.4750000089406967,0.4015085026621818,0,0,1,1,1.1138949394226074,1.6784822940826416,1,0,0.6342898011207581,0,1,0,0.1436760425567627,0.0800000429153442,0.7649999707937241,0.1053201407194137,0,0,1,1,1.534806251525879,1.6784822940826416,1,0,extreme_active,straight,secondary,fix_road,fix_road,design_special_event_segment,low,221.89,-0.0,115.2298,multi_correction,large_response,positive__large_response__multi_correction,middle_peak,fast_onset,returned_tail,1.6784822940826416,1.6784822940826416,2,0.22810882329940796,-0.026407957077026367,0.2545167803764343,0.026407957077026367,-1.6851817386499695,-1.0543092370144542,0.5486919988276521,0.8880808291872326,4.1762638036793085,1,1,1
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,hzh,2025_09_26_21_03_19,test,0,2,0,0.38245022,0.020625204,0.22279513,0.3723503,0.5512111,0.8441521,0.31523517,0.31523517,0.5512111,0.23597592999999994,0.357629120349884,0,0,0,0.2058472633361816,0.2350000143051147,0.089999996125698,0.1777519788593053,0,0,0,1,1.3083722591400146,1.102524995803833,0,0,0.5512110590934753,0,0,0,0.4346448183059692,0.2899999618530273,1.0050000324845314,0.1685440093278885,0,0,1,1,0.6678801774978638,1.102524995803833,0,0,0.3152351677417755,0,0,0,0.0357837677001953,0.1449999809265136,0.2349999919533729,0.0522500723600387,0,0,1,1,1.0667412281036377,1.102524995803833,0,0,strong_active,straight,primary,fix_road,fix_road,design_special_event_segment,low,202.26,0.0,106.885401,multi_correction,medium_response,negative__medium_response__multi_correction,middle_peak,fast_onset,returned_tail,1.102524995803833,-1.102524995803833,2,0.19358193874359136,-0.042393952608108465,0.23597589135169983,0.042393952608108465,-0.013771236729222432,-0.5239901095345865,0.31359199265472654,0.08178388931579444,0.93313722823433,1,0,0
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,test,0,1,0,0.41644734,0.11274654,0.24776241,0.4869458,0.8078403,0.6041995,1.1522242,0.6041995,0.8078403,0.20364079999999996,1.1559497117996216,1,0,0,0.1438592672348022,0.7599999904632568,0.1050000041723251,0.3677842132747173,0,1,0,1,1.0372061729431152,1.1810654401779177,0,0,0.8078402876853943,1,0,1,0.9103100597858428,0.8200000524520874,0.1050000041723251,0.294201036915183,0,0,0,0,0.2707553803920746,1.1810654401779177,0,0,0.6041995286941528,0,0,1,0.6632273197174072,0.930000066757202,0.0150000005960464,0.066876009106636,0,0,0,1,0.5178381204605103,1.1810654401779177,0,0,strong_active,curve,primary,curve1,curve1,design_curve_context,very_low,173.505,-0.00729802,135.364,multi_correction,medium_response,positive__medium_response__multi_correction,middle_peak,fast_onset,residual_tail,1.1810654401779177,1.1810654401779177,6,-0.3481094241142273,-0.5517501831054688,0.20364075899124146,0.5517501831054688,1.5007444250087396,2.716797349485895,0.850632799223231,1.5431634262230274,-1.8237455490483763,1,0,1
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885,hzh,2025_09_27_19_44_05,test,0,2,0,0.38157427,0.008973628,0.21709104,0.38860112,0.47365943,0.6886543,0.28748536,0.28748536,0.47365943,0.18617406999999997,0.2645749747753143,0,1,0,0.3003212213516235,0.2750000953674316,0.0450000017881393,0.2805266603827476,0,0,0,1,1.4909127950668335,1.791234016418457,1,1,0.4736594259738922,0,1,0,0.5918943881988525,0.1100000143051147,0.809999942779541,0.6547389626502991,0,0,1,1,1.1993396282196045,1.791234016418457,1,1,0.2874853610992431,0,1,0,0.1364543437957763,0.1800000667572021,0.7350000143051147,0.9491229951381684,1,0,1,1,1.6547796726226809,1.791234016418457,1,1,strong_active,straight,secondary,middle_section,section2,design_regular_road,high,81.885,0.0,117.747,multi_correction,large_response,negative__large_response__multi_correction,middle_peak,fast_onset,residual_tail,1.791234016418457,-1.791234016418457,2,0.20908445119857794,0.022910386323928833,0.1861740648746491,-0.022910386323928833,-0.052793365483051864,-0.9338873496117823,0.19089824730724214,0.2890225313738404,1.4666014937759166,1,0,1
