track_id,context_feature
B_response3s_strict_core,anchor_time_rel_s
B_response3s_strict_core,curvature_anchor
B_response3s_strict_core,input_valid_ratio
B_response3s_strict_core,event_type=instability_ay_roll
B_response3s_strict_core,event_type=instability_roll_only
B_response3s_strict_core,event_level=extreme_active
B_response3s_strict_core,event_level=instability_extreme
B_response3s_strict_core,event_level=instability_medium
B_response3s_strict_core,event_level=instability_strong
B_response3s_strict_core,event_level=medium_active
B_response3s_strict_core,event_level=strong_active
B_response3s_strict_core,event_level=weak
B_response3s_strict_core,road_type_anchor=curve
B_response3s_strict_core,road_type_anchor=design_curve_context
B_response3s_strict_core,road_type_anchor=design_high_risk_surface
B_response3s_strict_core,road_type_anchor=design_regular_road
B_response3s_strict_core,road_type_anchor=design_special_event_segment
B_response3s_strict_core,road_type_anchor=straight
B_response3s_strict_core,old_v400_road_type_mode=curve
B_response3s_strict_core,old_v400_road_type_mode=none
B_response3s_strict_core,old_v400_road_type_mode=straight
B_response3s_strict_core,old_v400_phase_mode=none
B_response3s_strict_core,old_v400_phase_mode=primary
B_response3s_strict_core,old_v400_phase_mode=secondary
B_response3s_strict_core,road_design_module_name=curve1
B_response3s_strict_core,road_design_module_name=curve2
B_response3s_strict_core,road_design_module_name=differentmu_road
B_response3s_strict_core,road_design_module_name=fix_road
B_response3s_strict_core,road_design_module_name=longstraight
B_response3s_strict_core,road_design_module_name=middle_section
B_response3s_strict_core,road_design_module_name=stop
B_response3s_strict_core,road_design_instance_name=curve1
B_response3s_strict_core,road_design_instance_name=curve2
B_response3s_strict_core,road_design_instance_name=fix_road
B_response3s_strict_core,road_design_instance_name=longstraight
B_response3s_strict_core,road_design_instance_name=mu1
B_response3s_strict_core,road_design_instance_name=section1
B_response3s_strict_core,road_design_instance_name=section2
B_response3s_strict_core,road_design_instance_name=section3
B_response3s_strict_core,road_design_instance_name=section4
B_response3s_strict_core,road_design_instance_name=section5
B_response3s_strict_core,road_design_instance_name=section6
B_response3s_strict_core,road_design_instance_name=stop
B_response3s_strict_core,road_design_risk_class=design_curve_context
B_response3s_strict_core,road_design_risk_class=design_high_risk_surface
B_response3s_strict_core,road_design_risk_class=design_regular_road
B_response3s_strict_core,road_design_risk_class=design_special_event_segment
B_response3s_strict_core,road_design_mapping_reliability=high
B_response3s_strict_core,road_design_mapping_reliability=low
B_response3s_strict_core,road_design_mapping_reliability=medium
B_response3s_strict_core,road_design_mapping_reliability=very_low
