model_a,model_b,top_n,overlap_count,jaccard
active_legacy_best,active_legacy_best,28,28,1.0
active_legacy_best,formal_ridge_vehicle_context_no_subject,28,7,0.22580645161290322
active_legacy_best,knn_template_context_no_subject,28,17,0.4358974358974359
active_legacy_best,peak_scaled_template_context_no_subject,28,14,0.3333333333333333
active_legacy_best,rbf_kernel_ridge_context_no_subject,28,15,0.36585365853658536
active_legacy_best,structure_best,28,24,0.75
active_legacy_best,vehicle_transformer_context_no_subject,28,16,0.4
formal_ridge_vehicle_context_no_subject,active_legacy_best,28,7,0.22580645161290322
formal_ridge_vehicle_context_no_subject,formal_ridge_vehicle_context_no_subject,28,10,1.0
formal_ridge_vehicle_context_no_subject,knn_template_context_no_subject,28,8,0.26666666666666666
formal_ridge_vehicle_context_no_subject,peak_scaled_template_context_no_subject,28,7,0.22580645161290322
formal_ridge_vehicle_context_no_subject,rbf_kernel_ridge_context_no_subject,28,6,0.1875
formal_ridge_vehicle_context_no_subject,structure_best,28,7,0.22580645161290322
formal_ridge_vehicle_context_no_subject,vehicle_transformer_context_no_subject,28,10,0.35714285714285715
knn_template_context_no_subject,active_legacy_best,28,17,0.4358974358974359
knn_template_context_no_subject,formal_ridge_vehicle_context_no_subject,28,8,0.26666666666666666
knn_template_context_no_subject,knn_template_context_no_subject,28,28,1.0
knn_template_context_no_subject,peak_scaled_template_context_no_subject,28,21,0.6
knn_template_context_no_subject,rbf_kernel_ridge_context_no_subject,28,19,0.5135135135135135
knn_template_context_no_subject,structure_best,28,17,0.4358974358974359
knn_template_context_no_subject,vehicle_transformer_context_no_subject,28,21,0.6
peak_scaled_template_context_no_subject,active_legacy_best,28,14,0.3333333333333333
peak_scaled_template_context_no_subject,formal_ridge_vehicle_context_no_subject,28,7,0.22580645161290322
peak_scaled_template_context_no_subject,knn_template_context_no_subject,28,21,0.6
peak_scaled_template_context_no_subject,peak_scaled_template_context_no_subject,28,28,1.0
peak_scaled_template_context_no_subject,rbf_kernel_ridge_context_no_subject,28,18,0.47368421052631576
peak_scaled_template_context_no_subject,structure_best,28,15,0.36585365853658536
peak_scaled_template_context_no_subject,vehicle_transformer_context_no_subject,28,17,0.4358974358974359
rbf_kernel_ridge_context_no_subject,active_legacy_best,28,15,0.36585365853658536
rbf_kernel_ridge_context_no_subject,formal_ridge_vehicle_context_no_subject,28,6,0.1875
rbf_kernel_ridge_context_no_subject,knn_template_context_no_subject,28,19,0.5135135135135135
rbf_kernel_ridge_context_no_subject,peak_scaled_template_context_no_subject,28,18,0.47368421052631576
rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,28,28,1.0
rbf_kernel_ridge_context_no_subject,structure_best,28,14,0.3333333333333333
rbf_kernel_ridge_context_no_subject,vehicle_transformer_context_no_subject,28,20,0.5555555555555556
structure_best,active_legacy_best,28,24,0.75
structure_best,formal_ridge_vehicle_context_no_subject,28,7,0.22580645161290322
structure_best,knn_template_context_no_subject,28,17,0.4358974358974359
structure_best,peak_scaled_template_context_no_subject,28,15,0.36585365853658536
structure_best,rbf_kernel_ridge_context_no_subject,28,14,0.3333333333333333
structure_best,structure_best,28,28,1.0
structure_best,vehicle_transformer_context_no_subject,28,17,0.4358974358974359
vehicle_transformer_context_no_subject,active_legacy_best,28,16,0.4
vehicle_transformer_context_no_subject,formal_ridge_vehicle_context_no_subject,28,10,0.35714285714285715
vehicle_transformer_context_no_subject,knn_template_context_no_subject,28,21,0.6
vehicle_transformer_context_no_subject,peak_scaled_template_context_no_subject,28,17,0.4358974358974359
vehicle_transformer_context_no_subject,rbf_kernel_ridge_context_no_subject,28,20,0.5555555555555556
vehicle_transformer_context_no_subject,structure_best,28,17,0.4358974358974359
vehicle_transformer_context_no_subject,vehicle_transformer_context_no_subject,28,28,1.0
