decision_role,gate_status,n_models,best_rmse,best_wrong_side,best_large_recall
oracle_upper_bound_only,blocked,3,0.4156523607028385,0.025,0.875
diagnostic_template,blocked,2,0.6258290902785323,0.175,0.875
reliability_selector_no_go,no_go,1,0.5420713665739044,0.225,0.75
topk_candidate_no_go,no_go,4,0.5550887276497372,0.05,0.75
deep_vehicle_candidate_no_go,no_go,2,0.566011200471459,0.225,0.625
current_main_reference,not_fully_frozen,1,0.533666689438957,0.225,0.75
strong_linear_baseline,supporting,1,0.536450450516907,0.175,0.5
formal_baseline,supporting,1,0.6523924662460296,0.15,0.125
selector_candidate,weak_candidate,1,0.5339115762154282,0.2,0.875
structured_candidate,weak_candidate,1,0.5489935187678284,0.125,0.875
