sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,2.782039165496826,2.7082290649414062,0.8870140910148621,1.8212149739265442,0.32752550458063007,0,1,0.17499995231628418,0.024999991059303284,3.555623233318329,1,0,3,0,0,1,0,1,0,1,1
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000554145__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000554145,tyy,2025_09_28_14_44_09,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.8320577144622803,0.05044001340866089,2.006016254425049,1.955576241016388,39.77033547101719,0,1,0.9399999976158142,1.6549999713897705,1.7232219576835632,1,1,0,0,1,0,0,0,0,0,0
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.4320456981658936,2.6043848991394043,0.34175172448158264,2.2626331746578217,0.13122166565875554,0,1,0.039999961853027344,0.8650000095367432,2.9417666494846344,1,0,1,0,0,0,0,1,0,1,1
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000592750,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.3507606983184814,2.132270336151123,0.5076766610145569,1.6245936751365662,0.23809207135102015,1,0,0.35500001907348633,0.6700000166893005,1.4544662833213806,1,0,2,1,0,1,0,1,0,1,1
vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000460020__pre2_label2_old_main,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000460020,zxy,2025_09_28_16_35_30,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.3012299537658691,0.4502899646759033,1.3747050762176514,0.924415111541748,3.052932963334186,0,1,0.07500004768371582,0.07000000029802322,1.8204551935195923,1,0,4,0,0,1,0,0,0,0,0
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,hzh,2025_09_27_19_44_05,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.2228224277496338,2.461432933807373,0.6270918250083923,1.8343411087989807,0.2547669759331608,1,0,0.6950000524520874,0.6350000500679016,1.3892822861671448,1,0,2,0,0,1,0,1,0,1,1
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.0946643352508545,2.145881175994873,0.8425723910331726,1.3033087849617004,0.39264634056102354,1,0,0.6449999809265137,0.7950000464916229,0.24790865182876587,0,1,1,0,0,0,0,1,0,1,1
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.0831793546676636,2.594604015350342,0.8442603349685669,1.750343680381775,0.325390822635634,1,0,0.059999942779541016,1.0149999856948853,1.5573381781578064,1,0,2,1,0,1,0,1,0,1,1
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,1.0535534620285034,1.3988850116729736,0.1239585131406784,1.2749264985322952,0.0886123677831334,0,1,0.5149999856948853,1.7400000095367432,1.3105500247329473,1,1,1,0,0,0,0,1,0,1,0
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435,hzh,2025_09_26_20_50_27,pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,0.9169347286224365,3.1211791038513184,0.8568243980407715,2.264354705810547,0.27451945868262084,1,0,0.0,0.23000001907348633,2.264354705810547,1,0,0,0,1,0,0,1,0,1,1
