episode_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_absolute_path,vehicle_raw_relative_path,vehicle_raw_size_bytes,vehicle_raw_sha256,read_status,read_error,available_columns,missing_required_columns,row_count,duration_s,time_start_s,time_end_s,sampling_rate_median_hz,episode_count,success_episode_count,event_index_in_session,t_condition_anchor,t_condition_end,t_condition_peak,condition_duration_s,condition_score_peak,condition_score_mean,condition_level,condition_context_cn,window_complete,recommended_input_start_s,recommended_input_end_s,recommended_label_start_s,recommended_label_end_s,vehicle_component_count,roll_evidence,lateral_evidence,is_roll_context,is_lateral_dynamic_context,is_curve_context,is_low_mu_context,is_brake_context,has_brake_response,coordinate_continuity_ok,local_lateral_step_p99,local_lateral_step_max,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,peak_abs_curvature_window,min_mu_window,median_speed_kmh_window,ay_threshold,yaw_rate_threshold,roll_rate_threshold,roll_angle_threshold,curvature_threshold,t_steer_onset,steer_onset_relation,steer_response_delay_s,steer_amp_threshold,steer_rate_threshold,steer_delta_prepost,steer_rate_peak_near,steer_response_strength,steer_response_score,input_start_already_steering,t_response_peak,steer_peak_delta,has_return,has_countersteer,response_shape,nearest_old_context_table,nearest_old_context_time_s,delta_to_nearest_old_context_s,nearest_old_road_module,nearest_old_risk_class,nearest_old_event_types,nearest_old_v0_2_category,nearest_old_v0_2_category_cn,v0_3_category,v0_3_category_cn,v0_3_reason_cn,recommended_use,sample_id,anchor_steer_abs,target_peak_signed,target_peak_abs,target_final_delta,input_valid_ratio,label_valid_ratio,split
V03_byx_2025_09_28_17_25_18_0001,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,1,27.824,59.595,56.289,31.771,9.295707261537288,2.6403430642479444,extreme,低附着,True,25.824,27.824,27.824,32.824,4,True,True,True,True,False,True,True,True,True,0.0008039999999999,0.000832,0.196123,0.00571827,0.00259469,0.000736303,2.04473e-09,0.8,128.823,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,-0.0221659999999999,0.2444000000000488,none,0.0,False,30.065,0.0130899999999999,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,34.615,-6.791,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0001,-0.17767499387264252,0.013089999556541443,0.013089999556541443,0.008726999163627625,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0002,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,2,68.035,80.88,69.51,12.845,7.094310579144001,3.787477029582609,extreme,低附着,True,66.035,68.035,68.035,73.035,3,True,True,True,True,False,True,True,True,True,0.01648,0.0165200000000003,5.73925,0.355392,2.04694,0.341725,2.17892e-09,0.8,32.0112,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,0.1071600000000001,1.9200000000017567,none,0.0,False,72.72,0.1123999999999998,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,65.55,2.4849999999999994,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0002,1.945870041847229,0.1312500238418579,0.1312500238418579,0.13107001781463623,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0003,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,3,86.09,87.684,86.604,1.593999999999994,8.518012211883942,6.593987826818441,extreme,低附着,True,84.09,86.09,86.09,91.09,3,True,True,True,True,False,True,True,True,True,0.0208650000000005,0.0213499999999999,4.91907,0.41043,2.45008,0.316161,2.24601e-09,0.8,37.03045,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,86.329,after_condition,0.2389999999999901,3.2245417935,8.0,-1.570102,9.60000000000874,weak,1.6869225150588896,False,88.875,1.585108,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,97.035,-10.944999999999991,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0003,-1.187000036239624,1.921260118484497,1.921260118484497,0.9697070121765137,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0005,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,5,148.445,149.535,148.674,1.0900000000000034,3.963468330100647,3.34732311401962,medium,低附着,True,146.445,148.445,148.445,153.445,1,True,False,True,False,False,True,False,False,True,0.0040900000000001,0.004152,3.73756,0.1573,0.172155,0.0535573,5.82772e-08,0.8,118.6515,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,148.189,before_condition,-0.2560000000000002,1.0,8.0,0.8960520000000001,8.901200000008094,weak,2.008702000001012,False,148.665,0.889594,True,True,countersteer,all_raw_vehicle_instability_candidates_v0_1.csv,148.305,0.1399999999999863,curve1,design_curve_context,roll_rate,,,weak_or_conservative,弱响应/保守响应,存在工况压力但驾驶员响应不激烈,风格/弱响应分析,V03_byx_2025_09_28_17_25_18_0005,0.4249880015850067,-0.9882060289382935,0.9882060289382935,-0.655197024345398,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0011,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,11,276.809,278.454,277.999,1.6449999999999818,8.868960266318918,5.679784491171262,extreme,低附着,True,274.809,276.809,276.809,281.809,4,True,True,True,True,False,True,True,True,True,0.01933,1.238445,5.04404,0.544172,2.40302,0.253785,1.90066e-09,0.8,18.146,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,-0.1151899999999996,1.362000000001191,none,0.0,False,281.25,-0.1438199999999998,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,275.87,0.9390000000000214,fix_road,design_special_event_segment,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0011,2.3682401180267334,-0.15028023719787598,0.15028023719787598,-0.1492300033569336,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0013,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,13,306.689,349.889,339.944,43.19999999999999,5.724352779593614,2.324931974320121,strong,低附着,True,304.689,306.689,306.689,311.689,4,True,True,True,True,True,True,True,True,True,0.00144815,0.0022455,0.1205315,0.00566026,0.01149335,0.00405417,2.21358e-08,0.8,128.827,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,0.177675,2.0594000000018733,none,0.0,False,310.655,0.0230379,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,323.0,-16.31099999999998,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0013,-0.12199900299310684,0.023387901484966278,0.023387901484966278,0.020246006548404694,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0016,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,16,397.514,413.975,412.95,16.461000000000013,7.291118763081629,2.6486339118414763,extreme,低附着,True,395.514,397.514,397.514,402.514,4,True,True,True,True,False,True,False,False,True,0.0009649999999999,0.0013205,0.71987,0.0240875,0.0218525,0.00764451,1.1368e-09,0.8,128.825,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,-0.27977652,2.0944000000019067,none,0.0,False,401.85,0.313286,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,401.81,-4.295999999999992,middle_section,design_regular_road,ay;ay;roll_rate,,,delayed_or_no_steer,延迟或无明显转向响应,工况明确但未见明显方向盘响应,响应类型分类,V03_byx_2025_09_28_17_25_18_0016,-0.15027299523353577,0.31599199771881104,0.31599199771881104,0.24181553721427917,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_N000,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,-1,463.0,463.0,463.0,0.0,1.6637049579111778,1.6637049579111778,normal,普通驾驶对照,True,461.0,463.0,463.0,468.0,0,False,False,False,False,False,False,False,False,True,0.0015074999999999,0.0015764999999999,0.734283,0.0729202,0.0244321,0.00789249,1.33906e-09,0.2,110.949,,,,,,,none,,1.0,8.0,-0.3942699999999999,3.979400000003613,none,0.0,False,467.325,-0.42202,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,471.22,-8.220000000000027,middle_section,design_regular_road,roll_rate,,,normal_control,正常驾驶/普通弯道对照,远离高动态工况的普通驾驶对照窗口,正常对照,V03_byx_2025_09_28_17_25_18_N000,-0.18674999475479126,-0.5057970285415649,0.5057970285415649,-0.15533500909805298,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0019,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,19,519.599,524.895,523.14,5.295999999999935,9.786524254953363,5.0342559950907,extreme,弯道/曲率,True,517.599,519.599,519.599,524.599,4,True,True,True,True,True,False,False,False,True,0.0049365,0.004941,10.6702,0.358315,0.8129,0.0941739,0.00573954,1.0,124.794,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,521.124,after_condition,1.5249999999999773,2.051038828,8.0,2.164908,15.498000000014065,medium,2.992767804172748,False,524.235,-2.06106,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,507.245,12.354000000000042,differentmu_road,design_high_risk_surface,roll_rate;ay;ay;roll_rate;roll_rate;roll_rate,,,delayed_or_no_steer,延迟或无明显转向响应,工况先出现，方向盘响应偏晚,响应时序分析,V03_byx_2025_09_28_17_25_18_0019,0.8171629905700684,-2.3398780822753906,2.3398780822753906,-1.061684012413025,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0020,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,20,537.234,545.404,544.56,8.169999999999959,6.928843667402044,3.161927288530931,strong,低附着,True,535.234,537.234,537.234,542.234,4,True,True,True,True,False,True,False,False,True,0.0381655,0.09386,2.8103,0.099977,0.0990709,0.0389717,0.00059303,0.8,130.152,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,535.014,before_condition,-2.2200000000000277,1.0,8.0,0.742812,9.040800000008222,weak,1.872912000001028,False,541.515,0.835839,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,554.14,-16.90599999999995,differentmu_road,design_high_risk_surface,roll_rate;ay;roll_rate;roll_rate;roll_rate;roll_rate;ay;roll_rate;ay;roll_rate,,,delayed_or_no_steer,延迟或无明显转向响应,工况明确但未见明显方向盘响应,响应类型分类,V03_byx_2025_09_28_17_25_18_0020,-0.16292649507522583,0.8950924873352051,0.8950924873352051,-0.12348249554634094,1.0,1.0,test
