episode_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_absolute_path,vehicle_raw_relative_path,vehicle_raw_size_bytes,vehicle_raw_sha256,read_status,read_error,available_columns,missing_required_columns,row_count,duration_s,time_start_s,time_end_s,sampling_rate_median_hz,episode_count,success_episode_count,event_index_in_session,t_condition_anchor,t_condition_end,t_condition_peak,condition_duration_s,condition_score_peak,condition_score_mean,condition_level,condition_context_cn,window_complete,recommended_input_start_s,recommended_input_end_s,recommended_label_start_s,recommended_label_end_s,vehicle_component_count,roll_evidence,lateral_evidence,is_roll_context,is_lateral_dynamic_context,is_curve_context,is_low_mu_context,is_brake_context,has_brake_response,coordinate_continuity_ok,local_lateral_step_p99,local_lateral_step_max,peak_abs_ay_window,peak_abs_yaw_rate_window,peak_abs_roll_rate_window,peak_abs_roll_window,peak_abs_curvature_window,min_mu_window,median_speed_kmh_window,ay_threshold,yaw_rate_threshold,roll_rate_threshold,roll_angle_threshold,curvature_threshold,t_steer_onset,steer_onset_relation,steer_response_delay_s,steer_amp_threshold,steer_rate_threshold,steer_delta_prepost,steer_rate_peak_near,steer_response_strength,steer_response_score,input_start_already_steering,t_response_peak,steer_peak_delta,has_return,has_countersteer,response_shape,nearest_old_context_table,nearest_old_context_time_s,delta_to_nearest_old_context_s,nearest_old_road_module,nearest_old_risk_class,nearest_old_event_types,nearest_old_v0_2_category,nearest_old_v0_2_category_cn,v0_3_category,v0_3_category_cn,v0_3_reason_cn,recommended_use,sample_id,anchor_steer_abs,target_peak_signed,target_peak_abs,target_final_delta,input_valid_ratio,label_valid_ratio,split
V03_byx_2025_09_28_17_25_18_0001,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,1,27.824,59.595,56.289,31.771,9.295707261537288,2.6403430642479444,extreme,低附着,True,25.824,27.824,27.824,32.824,4,True,True,True,True,False,True,True,True,True,0.0008039999999999,0.000832,0.196123,0.00571827,0.00259469,0.000736303,2.04473e-09,0.8,128.823,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,-0.0221659999999999,0.2444000000000488,none,0.0,False,30.065,0.0130899999999999,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,34.615,-6.791,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0001,-0.17767499387264252,0.013089999556541443,0.013089999556541443,0.008726999163627625,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0002,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,2,68.035,80.88,69.51,12.845,7.094310579144001,3.787477029582609,extreme,低附着,True,66.035,68.035,68.035,73.035,3,True,True,True,True,False,True,True,True,True,0.01648,0.0165200000000003,5.73925,0.355392,2.04694,0.341725,2.17892e-09,0.8,32.0112,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,,none,,1.0,8.0,0.1071600000000001,1.9200000000017567,none,0.0,False,72.72,0.1123999999999998,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,65.55,2.4849999999999994,middle_section,design_regular_road,roll_rate;roll_rate;roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0002,1.945870041847229,0.1312500238418579,0.1312500238418579,0.13107001781463623,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0003,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,3,86.09,87.684,86.604,1.593999999999994,8.518012211883942,6.593987826818441,extreme,低附着,True,84.09,86.09,86.09,91.09,3,True,True,True,True,False,True,True,True,True,0.0208650000000005,0.0213499999999999,4.91907,0.41043,2.45008,0.316161,2.24601e-09,0.8,37.03045,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,86.329,after_condition,0.2389999999999901,3.2245417935,8.0,-1.570102,9.60000000000874,weak,1.6869225150588896,False,88.875,1.585108,True,False,return,all_raw_vehicle_instability_candidates_v0_1.csv,97.035,-10.944999999999991,middle_section,design_regular_road,roll_rate,,,weak_or_conservative,弱响应/保守响应,工况明确但转向弱，可能以制动或保持为主,风格/保守响应分析,V03_byx_2025_09_28_17_25_18_0003,-1.187000036239624,1.921260118484497,1.921260118484497,0.9697070121765137,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0004,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,4,116.19,122.259,118.265,6.069000000000003,4.448177120147482,2.8775414434745685,medium,低附着,True,114.19,116.19,116.19,121.19,1,True,False,True,False,False,True,False,False,False,0.005695,1.748985,3.74411,0.16792,0.234214,0.052024,3.55271e-09,0.8,126.501,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,117.829,after_condition,1.6389999999999958,1.0,8.0,0.716108,13.858000000012607,medium,2.448358000001576,False,120.97,-0.899371,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,117.195,-1.0049999999999957,middle_section,design_regular_road,roll_rate;ay,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0004,-0.17208899557590485,-0.9107110500335693,0.9107110500335693,-0.8812210559844971,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0005,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,5,148.445,149.535,148.674,1.0900000000000034,3.963468330100647,3.34732311401962,medium,低附着,True,146.445,148.445,148.445,153.445,1,True,False,True,False,False,True,False,False,True,0.0040900000000001,0.004152,3.73756,0.1573,0.172155,0.0535573,5.82772e-08,0.8,118.6515,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,148.189,before_condition,-0.2560000000000002,1.0,8.0,0.8960520000000001,8.901200000008094,weak,2.008702000001012,False,148.665,0.889594,True,True,countersteer,all_raw_vehicle_instability_candidates_v0_1.csv,148.305,0.1399999999999863,curve1,design_curve_context,roll_rate,,,weak_or_conservative,弱响应/保守响应,存在工况压力但驾驶员响应不激烈,风格/弱响应分析,V03_byx_2025_09_28_17_25_18_0005,0.4249880015850067,-0.9882060289382935,0.9882060289382935,-0.655197024345398,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0006,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,6,164.785,178.474,174.73,13.688999999999991,9.286351982907844,5.263789088680372,extreme,低附着,True,162.785,164.785,164.785,169.785,4,True,True,True,True,True,True,True,True,False,0.0036185,1.74782,5.27984,0.235346,0.121795,0.0700585,0.0109113,0.8,89.4801,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,164.269,before_condition,-0.5159999999999911,2.76941473335,8.0,-1.8975212,8.272000000007536,weak,1.719170471996185,False,169.78,2.367362,False,False,weak_or_no_clear_steer,episode_candidates_v0_6.csv,164.15,0.6349999999999909,curve1,design_curve_context,ay;roll_rate;ay,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0006,-1.6140799522399902,3.3487601280212402,3.3487601280212402,3.3487601280212402,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0007,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,7,192.419,197.87,197.71,5.450999999999993,5.065044593636416,3.1395162072877216,strong,低附着,True,190.419,192.419,192.419,197.419,1,True,True,True,True,False,True,False,False,False,0.0073449999999999,1.74387,4.48229,0.156038,0.112975,0.0630074,2.66453e-09,0.8,126.5435,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,193.689,after_condition,1.2699999999999818,1.0,8.0,0.959408,9.215400000008378,weak,2.1113330000010477,False,194.705,1.293638,True,True,countersteer,episode_candidates_v0_6.csv,191.805,0.6140000000000043,middle_section,design_regular_road,ay;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0007,-0.31957000494003296,1.160731554031372,1.160731554031372,0.20944000780582428,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0008,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,8,228.275,238.99,237.545,10.715000000000003,5.266803826725588,3.688419171871427,strong,低附着,True,226.275,228.275,228.275,233.275,2,True,True,True,True,False,True,False,False,False,0.0072800000000001,1.744,4.50358,0.175256,0.269391,0.0640437,2.48447e-09,0.8,116.404,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,226.134,before_condition,-2.14100000000002,2.34197030075,8.0,1.224873,11.379400000010344,weak,1.9454346212623923,False,229.365,-2.125466,True,False,return,episode_candidates_v0_6.csv,225.005,3.2700000000000102,middle_section,design_regular_road,roll_rate;roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0008,0.07976149767637253,-1.2974815368652344,1.2974815368652344,0.8311254978179932,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0009,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,9,248.335,255.475,252.57,7.139999999999986,10.604947861717124,6.312331854129449,extreme,低附着,True,246.335,248.335,248.335,253.335,4,True,True,True,True,False,True,True,True,False,0.0087284999999999,1.745135,5.84932,0.472088,0.670171,0.0803838,3.1926e-09,0.8,92.8747,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,248.194,near_sync,-0.1410000000000195,1.864884,8.0,-1.867676,28.518600000025938,strong,4.00149714405829,False,251.315,2.062284,True,False,return,episode_candidates_v0_6.csv,248.265,0.0700000000000216,fix_road,design_special_event_segment,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0009,0.5372120141983032,-2.7487220764160156,2.7487220764160156,-0.7682940363883972,1.0,1.0,test
V03_byx_2025_09_28_17_25_18_0010,extreme_condition_episodes_v0_3_all_raw,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,39146677,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,ok,,ID|StorageTime|zx|SteeringWheel|zx|ay|zx|vyaw|zx|vroll|zx|roll|zx1|lateraldistance|zx|BrakePedal|zx|AcceleratorPedal|zx|ax|zx1|v_km/h|zx|vx|zx1|mu|zx1|lanecurvatureXY|zx|x|zx|y,,234154,585.39,0.0,585.39,250.0000000059117,24,0,10,265.45,267.829,266.514,2.379000000000019,6.576870960481519,4.184697966901852,strong,低附着,True,263.45,265.45,265.45,270.45,3,True,True,True,True,False,True,True,True,False,0.0186700000000001,1.74576,6.12187,0.402223,0.95865,0.0983567,1.90066e-09,0.8,25.5112,4.716510740000003,0.214676027,0.1103351344,0.0666509526,0.0025,267.73,after_condition,2.2800000000000296,1.1143900000000002,8.0,1.7934990000000002,13.99760000001274,medium,3.359099761305983,False,269.755,2.7012462,False,False,weak_or_no_clear_steer,all_raw_vehicle_instability_candidates_v0_1.csv,265.825,-0.375,fix_road,design_special_event_segment,roll_rate,,,excluded,排除样本,窗口不完整或坐标连续性异常,排除,V03_byx_2025_09_28_17_25_18_0010,-2.591639995574951,2.6686089038848877,2.6686089038848877,2.344326972961426,1.0,1.0,test
