raw_vehicle_file,clean_vehicle_file,subject,status,rows,duration_s,source_map,missing_required_outputs,nan_after_clean
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,byx,ok,113088,565.4350001811981,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,byx,ok,106753,533.7599999904633,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,byx,ok,117079,585.3900001049042,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,byx,ok,117174,585.8650000095367,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,byx,ok,109484,547.4159998893738,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,cwh,ok,32810,164.04499983787537,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,cwh,ok,86787,433.9300000667572,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,cwh,ok,109883,549.4100000858307,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_19_45_40_vehicle.csv,cwh,ok,107797,538.9800000190735,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\cwh\Entity_Recording_2025_09_26_19_56_16_vehicle.csv,cwh,ok,105196,525.9759998321533,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
