event_uid,random_event_split,session_level_split,subject_level_split
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000099815,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000158490,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000219320,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000243065,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000257595,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000299300,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000343900,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000366800,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000372590,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000484195,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000546280,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000028810,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000058865,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000087445,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000131145,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000164040,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000216345,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000263965,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000287425,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000319770,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000341810,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000411920,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000450690,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000049910,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000117195,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000283135,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000333065,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000477025,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000048035,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000084125,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000097930,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000104170,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000110425,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000118155,val,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000163465,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000194205,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000258300,test,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000284385,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000359875,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000397655,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000466090,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000497615,train,train,test
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000049290,train,test,test
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000067740,train,test,test
