array_row,sample_id,event_uid,subject,session_stamp,anchor_time_rel_s,anchor_time_abs_s,window_config_id,vehicle_raw_relative_path,vehicle_raw_sha256,input_valid_ratio,label_valid_ratio,anchor_steer
0,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,158.535,1759079310.425,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.53389573097229
1,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,298.52500000000003,1759079450.415,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.16842399537563324
2,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,317.53000000000003,1759079469.4199998,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.8443917036056519
3,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,476.495,1759079628.3849998,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.009599310345947742
4,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,546.3100000000001,1759079698.1999998,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.0,1.0,-0.3951430022716522
5,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00001__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00001,byx,2025_09_28_17_15_52,131.39,1759079884.6060002,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.8737120032310486
6,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002,byx,2025_09_28_17_15_52,262.89,1759080016.1060002,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.12374386191368103
7,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00003__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00003,byx,2025_09_28_17_15_52,283.04,1759080036.256,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.8875000476837158
8,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004,byx,2025_09_28_17_15_52,445.785,1759080199.0010002,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.18133999407291412
9,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005,byx,2025_09_28_17_15_52,517.355,1759080270.571,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,1.0,1.0,-0.43964800238609314
10,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00001,byx,2025_09_28_17_25_18,164.34,1759080483.244,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,1.0,1.0,-0.6979573965072632
11,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00002,byx,2025_09_28_17_25_18,332.65000000000003,1759080651.554,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,1.0,1.0,-0.10245099663734436
12,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00003,byx,2025_09_28_17_25_18,350.77,1759080669.674,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,1.0,1.0,-0.011344599537551403
13,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00004__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00004,byx,2025_09_28_17_25_18,510.425,1759080829.329,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,1.0,1.0,0.022165769711136818
14,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00005__pre3_label3_response_coverage,raw_road_curvature_onset__byx__2025_09_28_17_25_18__00005,byx,2025_09_28_17_25_18,574.94,1759080893.844,pre3_label3_response_coverage,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,1.0,1.0,-0.6096439957618713
