sample_id,event_uid,subject,session_stamp,anchor_source,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,window_config_id,causal_setting,input_start_rel_s,input_end_rel_s,label_start_rel_s,label_end_rel_s,input_abs_start_s,input_abs_end_s,label_abs_start_s,label_abs_end_s,available_modalities,sample_usable_vehicle_minimal,recommended_for_stage3_vehicle_baseline,quality_flags,leakage_flags,window_note,vehicle_input_coverage,vehicle_label_coverage,physio_input_coverage,eeg_input_coverage,vehicle_relative_path,physio_relative_path,eeg_relative_path,vehicle_sha256,physio_sha256,eeg_sha256,label_peak_delta,label_peak_abs_delta,label_peak_time_rel_s,label_peak_direction,label_tail_delta,label_reversal_count_proxy
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00001,byx,2025_09_28_17_05_51,raw_road_curvature_onset,158.535,1759079310.425,158.535,175.46,curve_left_or_positive,extreme,candidate,curve,0.0109098127117895,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079309.425,1759079310.425,1759079310.425,1759079312.425,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,430ce79f07ec0f1089f5772dafeddf41b1e6d13a59e72a1107ce67a8a904b2ff,-2.064024281634649,2.064024281634649,1.8600000000000136,negative,-1.9277147430718904,3.0
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00002,byx,2025_09_28_17_05_51,raw_road_curvature_onset,298.52500000000003,1759079450.415,298.52500000000003,313.595,curve_right_or_negative,extreme,candidate,curve,-0.0080616299872013,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079449.415,1759079450.415,1759079450.415,1759079452.415,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,430ce79f07ec0f1089f5772dafeddf41b1e6d13a59e72a1107ce67a8a904b2ff,0.793426,0.793426,1.5499999999999543,positive,0.6775371797443569,3.0
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00003,byx,2025_09_28_17_05_51,raw_road_curvature_onset,317.53000000000003,1759079469.4199998,317.53000000000003,319.335,curve_left_or_positive,weak,candidate,curve,0.0010842599946592,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079468.4199998,1759079469.4199998,1759079469.4199998,1759079471.4199998,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,430ce79f07ec0f1089f5772dafeddf41b1e6d13a59e72a1107ce67a8a904b2ff,1.437279691729687,1.437279691729687,1.204999999999984,positive,0.2995004899901126,1.0
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00004,byx,2025_09_28_17_05_51,raw_road_curvature_onset,476.495,1759079628.3849998,476.495,504.965,curve_right_or_negative,extreme,candidate,curve,-0.006164559912798,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079627.3849998,1759079628.3849998,1759079628.3849998,1759079630.3849998,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,430ce79f07ec0f1089f5772dafeddf41b1e6d13a59e72a1107ce67a8a904b2ff,-0.06597349,0.06597349,1.840000000000032,negative,-0.06579889,0.0
raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_05_51__00005,byx,2025_09_28_17_05_51,raw_road_curvature_onset,546.3100000000001,1759079698.1999998,546.3100000000001,556.6850000000001,curve_right_or_negative,extreme,candidate,curve,-0.2524704389871727,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079697.1999998,1759079698.1999998,1759079698.1999998,1759079700.1999998,"vehicle,physio,eeg",True,True,eeg_low_valid;eeg_zero_dt;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_05_51_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,387087c03492fc291dc289ed99e0bb95b1385915add229d6621ddf57ad7b229f,430ce79f07ec0f1089f5772dafeddf41b1e6d13a59e72a1107ce67a8a904b2ff,0.159873,0.159873,1.9950000000000043,positive,0.159873,3.0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00001__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00001,byx,2025_09_28_17_15_52,raw_road_curvature_onset,131.39,1759079884.6060002,131.39,148.305,curve_left_or_positive,extreme,candidate,curve,0.0109051712111586,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759079883.6060002,1759079884.6060002,1759079884.6060002,1759079886.6060002,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,40d41b087fe9d61f1806e1234341f18a94bb8459bf8efeefe93998d75815ef49,-1.3196480000000002,1.3196480000000002,1.7549999999999957,negative,-1.0482479999999998,3.0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00002,byx,2025_09_28_17_15_52,raw_road_curvature_onset,262.89,1759080016.1060002,262.89,279.175,curve_right_or_negative,extreme,candidate,curve,-0.0081653127578238,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080015.1060002,1759080016.1060002,1759080016.1060002,1759080018.1060002,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,40d41b087fe9d61f1806e1234341f18a94bb8459bf8efeefe93998d75815ef49,0.6633998648331246,0.6633998648331246,1.4500000000000457,positive,0.2850108954874293,1.0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00003__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00003,byx,2025_09_28_17_15_52,raw_road_curvature_onset,283.04,1759080036.256,283.04,284.825,curve_left_or_positive,weak,candidate,curve,0.0010809687683705,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080035.256,1759080036.256,1759080036.256,1759080038.256,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,40d41b087fe9d61f1806e1234341f18a94bb8459bf8efeefe93998d75815ef49,0.5743880252997131,0.5743880252997131,1.8549999999999611,positive,0.5743880252997131,7.0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00004,byx,2025_09_28_17_15_52,raw_road_curvature_onset,445.785,1759080199.0010002,445.785,472.97,curve_right_or_negative,extreme,candidate,curve,-0.0061638814221719,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080198.0010002,1759080199.0010002,1759080199.0010002,1759080201.0010002,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,40d41b087fe9d61f1806e1234341f18a94bb8459bf8efeefe93998d75815ef49,0.1659811,0.1659811,1.9950000000000043,positive,0.1659811,0.0
raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005__pre1_label2_event_trigger,raw_road_curvature_onset__byx__2025_09_28_17_15_52__00005,byx,2025_09_28_17_15_52,raw_road_curvature_onset,517.355,1759080270.571,517.355,527.62,curve_left_or_positive,extreme,candidate,curve,0.0178519670661903,raw_curvature_threshold,pre1_label2_event_trigger,event_trigger_predict_full_future,-1.0,0.0,0.0,2.0,1759080269.571,1759080270.571,1759080270.571,1759080272.571,"vehicle,physio,eeg",True,True,eeg_large_gap;eeg_low_valid;physio_low_valid;physio_near_constant;physio_zero_dt;vehicle_low_valid;vehicle_zero_dt,low_if_road_context_available_before_response,"1s event-pre input, 2s future label",1.0,1.0,1.0,1.0,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,原始生理数据/byx/Entity_Recording_2025_09_28_17_15_52_physio.csv,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,e2052e8c32c61c378c2eb1a6a499674fc0af95237ef8dea6ba2a2ca5a4a69366,40d41b087fe9d61f1806e1234341f18a94bb8459bf8efeefe93998d75815ef49,0.160221,0.160221,1.9850000000000136,positive,0.160221,3.0
