subject,session_stamp,read_status,read_error,duration_s,grid_rows
byx,2025_09_28_17_05_51,ok,,565.4350000000001,113088
byx,2025_09_28_17_15_52,ok,,533.76,106753
byx,2025_09_28_17_25_18,ok,,585.39,117079
byx,2025_09_28_17_35_43,ok,,585.865,117174
byx,2025_09_28_17_46_00,ok,,547.415,109484
cwh,2025_09_26_19_23_28,ok,,164.04500000000002,32810
cwh,2025_09_26_19_27_21,ok,,433.93,86787
cwh,2025_09_26_19_35_47,ok,,549.41,109883
cwh,2025_09_26_19_45_40,ok,,538.98,107797
cwh,2025_09_26_19_56_16,ok,,525.975,105196
cwh,2025_09_26_20_06_19,ok,,504.48,100897
gf,2025_09_26_10_03_00,ok,,659.27,131855
gf,2025_09_26_10_18_49,ok,,583.83,116767
gf,2025_09_26_10_30_12,ok,,565.995,113200
gf,2025_09_26_10_40_59,ok,,591.325,118266
gf,2025_09_26_10_52_57,ok,,618.3100000000001,123663
gzj,2025_09_27_11_41_47,ok,,641.57,128315
gzj,2025_09_27_11_53_25,ok,,594.44,118889
gzj,2025_09_27_12_04_23,ok,,314.13,62827
gzj,2025_09_27_12_17_12,ok,,614.75,122951
gzj,2025_09_27_12_28_14,ok,,627.485,125498
hzh,2025_09_26_20_50_27,ok,,731.16,146233
hzh,2025_09_26_21_03_19,ok,,598.58,119717
hzh,2025_09_26_21_17_02,ok,,664.59,132919
hzh,2025_09_27_19_22_27,ok,,576.95,115391
hzh,2025_09_27_19_33_25,ok,,565.455,113092
hzh,2025_09_27_19_44_05,ok,,546.66,109333
jy,2025_09_26_17_17_11,ok,,676.225,135246
jy,2025_09_26_17_29_44,ok,,639.01,127803
jy,2025_09_26_17_40_51,ok,,549.58,109917
jy,2025_09_26_17_51_46,ok,,564.895,112980
jy,2025_09_26_18_01_40,ok,,522.6850000000001,104538
lx,2025_09_26_08_58_43,ok,,273.045,54610
lx,2025_09_26_09_06_38,ok,,383.045,76610
lx,2025_09_26_09_17_22,ok,,619.49,123899
lxy,2025_09_28_17_55_52,ok,,593.205,118642
lxy,2025_09_28_18_06_16,ok,,579.715,115944
lxy,2025_09_28_18_19_35,ok,,544.03,108807
rjy,2025_09_28_19_33_26,ok,,646.9,129381
rjy,2025_09_28_19_44_42,ok,,147.59,29519
rjy,2025_09_28_19_51_44,ok,,583.8050000000001,116762
rjy,2025_09_28_20_02_20,ok,,727.875,145576
rjy,2025_09_28_20_15_42,ok,,598.9350000000001,119788
txj,2025_09_27_08_40_46,ok,,736.73,147347
txj,2025_09_27_08_53_44,ok,,678.045,135610
txj,2025_09_27_09_06_19,ok,,629.865,125974
txj,2025_09_27_09_17_11,ok,,618.27,123655
tyy,2025_09_28_14_23_43,ok,,903.485,180698
tyy,2025_09_28_14_40_01,ok,,185.57500000000002,37116
tyy,2025_09_28_14_44_09,ok,,574.64,114929
tyy,2025_09_28_14_57_17,ok,,446.665,89334
xst,2025_09_26_11_34_18,ok,,742.87,148575
yyl,2025_09_28_09_14_23,ok,,778.965,155794
yyl,2025_09_28_09_29_01,ok,,571.79,114359
yyl,2025_09_28_09_39_01,ok,,571.5500000000001,114311
yyl,2025_09_28_09_49_11,ok,,542.83,108567
yzy,2025_09_27_14_13_03,ok,,694.98,138997
yzy,2025_09_27_14_26_04,ok,,615.27,123055
yzy,2025_09_27_14_37_08,ok,,594.9250000000001,118986
yzy,2025_09_27_15_07_57,ok,,585.545,117110
zdq,2025_09_26_15_14_51,ok,,355.46,71093
zdq,2025_09_26_15_21_51,ok,,261.855,52372
zdq,2025_09_26_15_27_09,ok,,541.36,108273
zdq,2025_09_26_15_37_30,ok,,523.675,104736
zdq,2025_09_26_15_52_46,ok,,601.365,120274
zdq,2025_09_26_16_03_48,ok,,557.87,111575
zt,2025_09_28_11_20_08,ok,,624.895,124980
zx,2025_09_27_16_32_00,ok,,700.245,140050
zx,2025_09_27_16_46_13,ok,,710.1,142021
zx,2025_09_27_17_14_07,ok,,561.605,112322
zx,2025_09_27_17_25_16,ok,,138.63,27727
zx,2025_09_27_17_29_08,ok,,426.53000000000003,85307
zx,2025_09_27_17_45_11,ok,,623.875,124776
zx,2025_09_27_17_56_42,ok,,169.59,33919
zx,2025_09_27_18_00_08,ok,,379.73,75947
zx,2025_09_27_18_07_01,ok,,601.765,120354
zx,2025_09_27_18_17_48,ok,,572.815,114564
zxy,2025_09_28_15_57_38,ok,,200.775,40156
zxy,2025_09_28_16_01_55,ok,,562.755,112552
zxy,2025_09_28_16_12_11,ok,,613.9250000000001,122786
zxy,2025_09_28_16_25_51,ok,,556.1750000000001,111236
zxy,2025_09_28_16_35_30,ok,,798.6850000000001,159738
