sample_id,event_uid,subject,session_stamp,session_level_split,subject_level_split,road_design_module_name,road_design_instance_name,anchor_time_rel_s,input_start_time_rel_s,input_end_time_rel_s,label_start_time_rel_s,label_end_time_rel_s,eval_label_peak_abs,eval_label_peak_signed,eval_label_peak_direction,eval_label_reversal_count,eval_label_morphology,eval_is_large_response_train_session_p75,eval_is_difficult_train_session_p80,vehicle_raw_absolute_path,window_id,window_description_cn,style_window_start_rel_s,style_window_end_rel_s,style_nominal_guard_end_rel_s,style_guard_s,style_requested_lookback_s,vehicle_time_min_s,vehicle_time_max_s,vehicle_load_status,vehicle_load_error,overlaps_direct_input_window,overlaps_label_window,uses_post_anchor_future,style_duration_s,style_row_count,style_sampling_rate_est_hz,style_window_status,speed_kmh_valid_ratio,speed_kmh_mean,speed_kmh_std,speed_kmh_p10,speed_kmh_p50,speed_kmh_p90,speed_kmh_abs_mean,speed_kmh_abs_p95,speed_kmh_rms,steering_valid_ratio,steering_mean,steering_std,steering_p10,steering_p50,steering_p90,steering_abs_mean,steering_abs_p95,steering_rms,longitudinal_accel_valid_ratio,longitudinal_accel_mean,longitudinal_accel_std,longitudinal_accel_p10,longitudinal_accel_p50,longitudinal_accel_p90,longitudinal_accel_abs_mean,longitudinal_accel_abs_p95,longitudinal_accel_rms,lateral_accel_valid_ratio,lateral_accel_mean,lateral_accel_std,lateral_accel_p10,lateral_accel_p50,lateral_accel_p90,lateral_accel_abs_mean,lateral_accel_abs_p95,lateral_accel_rms,yaw_rate_valid_ratio,yaw_rate_mean,yaw_rate_std,yaw_rate_p10,yaw_rate_p50,yaw_rate_p90,yaw_rate_abs_mean,yaw_rate_abs_p95,yaw_rate_rms,roll_rate_valid_ratio,roll_rate_mean,roll_rate_std,roll_rate_p10,roll_rate_p50,roll_rate_p90,roll_rate_abs_mean,roll_rate_abs_p95,roll_rate_rms,lane_offset_valid_ratio,lane_offset_mean,lane_offset_std,lane_offset_p10,lane_offset_p50,lane_offset_p90,lane_offset_abs_mean,lane_offset_abs_p95,lane_offset_rms,lane_curvature_valid_ratio,lane_curvature_mean,lane_curvature_std,lane_curvature_p10,lane_curvature_p50,lane_curvature_p90,lane_curvature_abs_mean,lane_curvature_abs_p95,lane_curvature_rms,brake_pedal_valid_ratio,brake_pedal_mean,brake_pedal_std,brake_pedal_p10,brake_pedal_p50,brake_pedal_p90,brake_pedal_abs_mean,brake_pedal_abs_p95,brake_pedal_rms,accelerator_pedal_valid_ratio,accelerator_pedal_mean,accelerator_pedal_std,accelerator_pedal_p10,accelerator_pedal_p50,accelerator_pedal_p90,accelerator_pedal_abs_mean,accelerator_pedal_abs_p95,accelerator_pedal_rms,friction_mu_valid_ratio,friction_mu_mean,friction_mu_std,friction_mu_p10,friction_mu_p50,friction_mu_p90,friction_mu_abs_mean,friction_mu_abs_p95,friction_mu_rms,steering_rate_valid_ratio,steering_rate_abs_mean,steering_rate_abs_p95,steering_rate_rms,speed_rate_valid_ratio,speed_rate_abs_mean,speed_rate_abs_p95,speed_rate_rms
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,test,middle_section,section2,60.84,57.84,60.84,60.84,63.84,1.944647192955017,1.944647192955017,positive,5,multi_correction,1,1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,prefix_until_guard3,从本条记录开始到事件前 3 秒，排除直接输入窗口。,0.0,57.839999000000006,57.84,3.0,,0.0,565.435,loaded,,False,False,False,57.839999000000006,11568,200.0000034578147,usable_no_future_leakage,0.4914419087136929,96.66768278452066,44.932085008501474,9.061814,120.082,136.5112,96.66768278452066,139.35340000000002,106.59987410001906,0.508558091286307,-0.12079066328267893,0.11921480855794157,-0.236492,-0.137357,0.00925025,0.14511550721128674,0.343306,0.16971315481062796,0.508558091286307,0.5355470681647119,0.9516324562357173,-0.48594339999999986,0.37548,1.485248,0.8175343478927418,2.3771359999999997,1.0919775611160896,0.508558091286307,0.01375398784480707,0.4130025966970544,-0.38689619999999997,-0.00270796,0.391844,0.25763953775029746,1.050116999999999,0.4132315538050609,0.508558091286307,0.00025648455482746947,0.015271337436388546,-0.01752726,-0.000530838,0.017170220000000007,0.010411552041262961,0.03733947999999999,0.015273491134082847,0.508558091286307,-0.00096033632554632,0.026365720693002206,-0.01152354,-1.09855e-05,0.010030520000000003,0.008576247573072753,0.027864919999999994,0.026383204383083732,0.4914419087136929,0.12278663929674583,0.5740990830357721,-0.6990376,0.0998938,0.7587392000000003,0.49850508371433594,1.09551,0.587082886764981,0.4914419087136929,-7.588456112576942e-13,1.0101058702052545e-09,-9.34794e-10,0.0,9.19255e-10,6.745578457167986e-10,1.83851e-09,1.0101061552479402e-09,0.508558091286307,-0.012876156552779204,0.05309396483091951,-0.03,-0.03,0.0114461,0.041065709841917396,0.138886,0.05463299835299721,0.508558091286307,0.4674485365289818,0.2585537084069744,0.0,0.574468,0.744681,0.4674485365289818,0.744681,0.5341892496429385,0.4914419087136929,0.7999999999999998,2.220446049250313e-16,0.8,0.8,0.8,0.7999999999999998,0.8,0.8000000000000002,0.3190109795106769,0.12844568590785838,0.8027999999997436,0.4108849378407524,0.3019797700354457,2.9909802462067154,8.536000000000778,4.032863507040459
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,test,middle_section,section2,60.84,57.84,60.84,60.84,63.84,1.944647192955017,1.944647192955017,positive,5,multi_correction,1,1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last120_guard3,事件前 3 秒之前的最近 120 秒历史。,0.0,57.839999000000006,57.84,3.0,120.0,0.0,565.435,loaded,,False,False,False,57.839999000000006,11568,200.0000034578147,usable_no_future_leakage,0.4914419087136929,96.66768278452066,44.932085008501474,9.061814,120.082,136.5112,96.66768278452066,139.35340000000002,106.59987410001906,0.508558091286307,-0.12079066328267893,0.11921480855794157,-0.236492,-0.137357,0.00925025,0.14511550721128674,0.343306,0.16971315481062796,0.508558091286307,0.5355470681647119,0.9516324562357173,-0.48594339999999986,0.37548,1.485248,0.8175343478927418,2.3771359999999997,1.0919775611160896,0.508558091286307,0.01375398784480707,0.4130025966970544,-0.38689619999999997,-0.00270796,0.391844,0.25763953775029746,1.050116999999999,0.4132315538050609,0.508558091286307,0.00025648455482746947,0.015271337436388546,-0.01752726,-0.000530838,0.017170220000000007,0.010411552041262961,0.03733947999999999,0.015273491134082847,0.508558091286307,-0.00096033632554632,0.026365720693002206,-0.01152354,-1.09855e-05,0.010030520000000003,0.008576247573072753,0.027864919999999994,0.026383204383083732,0.4914419087136929,0.12278663929674583,0.5740990830357721,-0.6990376,0.0998938,0.7587392000000003,0.49850508371433594,1.09551,0.587082886764981,0.4914419087136929,-7.588456112576942e-13,1.0101058702052545e-09,-9.34794e-10,0.0,9.19255e-10,6.745578457167986e-10,1.83851e-09,1.0101061552479402e-09,0.508558091286307,-0.012876156552779204,0.05309396483091951,-0.03,-0.03,0.0114461,0.041065709841917396,0.138886,0.05463299835299721,0.508558091286307,0.4674485365289818,0.2585537084069744,0.0,0.574468,0.744681,0.4674485365289818,0.744681,0.5341892496429385,0.4914419087136929,0.7999999999999998,2.220446049250313e-16,0.8,0.8,0.8,0.7999999999999998,0.8,0.8000000000000002,0.3190109795106769,0.12844568590785838,0.8027999999997436,0.4108849378407524,0.3019797700354457,2.9909802462067154,8.536000000000778,4.032863507040459
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,test,middle_section,section2,60.84,57.84,60.84,60.84,63.84,1.944647192955017,1.944647192955017,positive,5,multi_correction,1,1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last60_guard3,事件前 3 秒之前的最近 60 秒历史。,0.0,57.839999000000006,57.84,3.0,60.0,0.0,565.435,loaded,,False,False,False,57.839999000000006,11568,200.0000034578147,usable_no_future_leakage,0.4914419087136929,96.66768278452066,44.932085008501474,9.061814,120.082,136.5112,96.66768278452066,139.35340000000002,106.59987410001906,0.508558091286307,-0.12079066328267893,0.11921480855794157,-0.236492,-0.137357,0.00925025,0.14511550721128674,0.343306,0.16971315481062796,0.508558091286307,0.5355470681647119,0.9516324562357173,-0.48594339999999986,0.37548,1.485248,0.8175343478927418,2.3771359999999997,1.0919775611160896,0.508558091286307,0.01375398784480707,0.4130025966970544,-0.38689619999999997,-0.00270796,0.391844,0.25763953775029746,1.050116999999999,0.4132315538050609,0.508558091286307,0.00025648455482746947,0.015271337436388546,-0.01752726,-0.000530838,0.017170220000000007,0.010411552041262961,0.03733947999999999,0.015273491134082847,0.508558091286307,-0.00096033632554632,0.026365720693002206,-0.01152354,-1.09855e-05,0.010030520000000003,0.008576247573072753,0.027864919999999994,0.026383204383083732,0.4914419087136929,0.12278663929674583,0.5740990830357721,-0.6990376,0.0998938,0.7587392000000003,0.49850508371433594,1.09551,0.587082886764981,0.4914419087136929,-7.588456112576942e-13,1.0101058702052545e-09,-9.34794e-10,0.0,9.19255e-10,6.745578457167986e-10,1.83851e-09,1.0101061552479402e-09,0.508558091286307,-0.012876156552779204,0.05309396483091951,-0.03,-0.03,0.0114461,0.041065709841917396,0.138886,0.05463299835299721,0.508558091286307,0.4674485365289818,0.2585537084069744,0.0,0.574468,0.744681,0.4674485365289818,0.744681,0.5341892496429385,0.4914419087136929,0.7999999999999998,2.220446049250313e-16,0.8,0.8,0.8,0.7999999999999998,0.8,0.8000000000000002,0.3190109795106769,0.12844568590785838,0.8027999999997436,0.4108849378407524,0.3019797700354457,2.9909802462067154,8.536000000000778,4.032863507040459
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000060840,byx,2025_09_28_17_05_51,train,test,middle_section,section2,60.84,57.84,60.84,60.84,63.84,1.944647192955017,1.944647192955017,positive,5,multi_correction,1,1,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last30_guard3,事件前 3 秒之前的最近 30 秒历史，作为较短连续风格候选。,27.839999000000006,57.839999000000006,57.84,3.0,30.0,0.0,565.435,loaded,,False,False,False,30.0,6000,200.0,usable_no_future_leakage,0.4851666666666667,130.65056303675712,5.83874996757426,122.884,130.655,139.289,130.65056303675712,140.6505,130.7809642991116,0.5148333333333334,-0.14541264835998705,0.0890247044984064,-0.20909,-0.147829,-0.06098183999999962,0.15595649305794754,0.312239,0.17049995986537306,0.5148333333333334,0.041381271681126555,0.7522856167112755,-0.5632697999999999,0.294439,0.44381160000000597,0.4706682042806733,2.423508,0.7534228950308127,0.5148333333333334,0.011057189459695716,0.5015587716204066,-0.4649508,0.0197212,0.36941039999999997,0.3012785841071544,1.3765579999999997,0.5016806382830803,0.5148333333333334,0.00048020893416963464,0.015179383146639854,-0.013251139999999998,0.000863158,0.01242292,0.009197368636306248,0.0408448,0.015186977096609794,0.5148333333333334,0.00048691265471997446,0.013731416157949606,-0.01094962,0.000179553,0.010947520000000018,0.007763671672058918,0.037429859999999995,0.013740046347670228,0.4851666666666667,0.3112141115953281,0.6166895645962586,-0.702877,0.557467,0.876771,0.6349312275760907,1.20201,0.6907678642916101,0.4851666666666667,-9.072396702164205e-12,6.163856480922712e-10,-7.12462e-10,0.0,7.12462e-10,4.3624393582961184e-10,1.15655e-09,6.164524114285308e-10,0.5148333333333334,-0.017565136031078028,0.051362289260768135,-0.03,-0.03,-0.03,0.03889973933311752,0.165069,0.054282766711886504,0.5148333333333334,0.4107367377144707,0.21329230304598795,0.0,0.489362,0.638298,0.4107367377144707,0.638298,0.46281559421327567,0.4851666666666667,0.8,0.0,0.8,0.8,0.8,0.8,0.8,0.8000000000000003,0.32522087014502415,0.10888896155817619,0.628400000000348,0.36392481153469974,0.2955492582097016,1.6741116751269207,3.0799999999999446,2.6187789872562757
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,test,middle_section,section3,187.815,184.815,187.815,187.815,190.815,0.9477140307426452,-0.9477140307426452,negative,3,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,prefix_until_guard3,从本条记录开始到事件前 3 秒，排除直接输入窗口。,0.0,184.814999,184.815,3.0,,0.0,565.435,loaded,,False,False,False,184.814999,36963,200.00000108216324,usable_no_future_leakage,0.495197900603306,94.51645550642154,39.142472284484086,24.050500000000003,107.469,132.5007,94.51645550642154,137.505,102.30099460923617,0.504802099396694,-0.2390239611219251,0.9170222247144996,-0.9685183999999996,-0.150971,0.5213648000000001,0.5152167826422639,2.99149,0.9476614451431196,0.504802099396694,0.3707412336064633,1.2904833023538653,-0.6144335999999999,0.381032,1.7456940000000003,0.9572214827645104,2.6582919999999994,1.342682470262489,0.504802099396694,-0.024308395349751915,2.0015539189196767,-2.324906,0.0491537,1.4435520000000004,1.0719789605642756,5.001163999999995,2.001701523311404,0.504802099396694,0.024633581108313287,0.1761759711605752,-0.09405035999999999,0.00179694,0.13433360000000003,0.07042718119434277,0.28840669999999957,0.1778898145836115,0.504802099396694,0.00017816605056219506,0.18246610593102056,-0.022857679999999988,3.81063e-05,0.02781118000000001,0.04152349405350329,0.16561899999999996,0.18246619291466565,0.495197900603306,1.0537702574937715,3.959696043349646,-1.244816,0.2526005,1.667679,1.7202338373437502,8.549573499999997,4.097514430883353,0.495197900603306,-0.00034665266994216584,0.0021243280493407454,-2.232325999999992e-05,0.0,2.04473e-09,0.0006677887939715448,0.00699183,0.0021524260114563496,0.504802099396694,-0.0029328188782893052,0.07860326987520803,-0.03,-0.03,0.115475,0.04941082226003538,0.177685,0.07865796502356033,0.504802099396694,0.3956267665898494,0.2831008363503238,0.0,0.446809,0.723404,0.3956267665898494,0.744681,0.4864839380540657,0.495197900603306,0.806457604895105,0.03535279788135156,0.8,0.8,0.8,0.806457604895105,0.8,0.8072321158199723,0.3110221308370759,0.4060809521572664,2.0245850000000423,1.9906402407944188,0.3014447270169363,3.7370507614432262,12.07599999994594,6.321703082396925
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,test,middle_section,section3,187.815,184.815,187.815,187.815,190.815,0.9477140307426452,-0.9477140307426452,negative,3,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last120_guard3,事件前 3 秒之前的最近 120 秒历史。,64.814999,184.814999,184.815,3.0,120.0,0.0,565.435,loaded,,False,False,False,120.0,24000,200.0,usable_no_future_leakage,0.4972916666666667,92.81790009715458,37.02715138409831,29.873840000000037,102.684,129.4108,92.81790009715458,135.7642,99.93083867388636,0.5027083333333333,-0.3036540075326979,1.1218014562612073,-2.6062259999999986,-0.165632,0.918218,0.6967608869289682,3.025,1.1621722176856721,0.5027083333333333,0.355949325532532,1.3768656779445998,-0.6618373999999999,0.385421,1.8957380000000001,0.9988230843887277,3.195979999999999,1.4221318565621497,0.5027083333333333,-0.04397603756767684,2.40463014438031,-3.436156,0.0972135,2.221404,1.4342799008318128,5.896921999999996,2.4050322291276314,0.5027083333333333,0.03787640255332595,0.2163489248626573,-0.14675259999999998,0.00406765,0.22575060000000027,0.0999133990578037,0.3573008,0.21963942988363752,0.5027083333333333,0.00038432293399137934,0.22511230396028653,-0.03164852,9.25298e-05,0.04518146000000001,0.05726864242168056,0.2515517999999999,0.2251126320276719,0.4972916666666667,1.5211301740212817,4.8171036140355525,-1.455048,0.270071,5.814894000000002,2.3437508512663596,15.454909999999984,5.051566512941544,0.4972916666666667,-0.000531640594184486,0.0026120144463990212,-0.00699175,-1.55386e-11,2.92411e-08,0.0010241476348988325,0.00699188,0.002665569580705411,0.5027083333333333,-0.0015650230294239659,0.08458118157112604,-0.03,-0.03,0.102735,0.05087094878988812,0.17783439999999995,0.08459565930383438,0.5027083333333333,0.3702215902527974,0.28890736785028104,0.0,0.425532,0.723404,0.3702215902527974,0.744681,0.4696078077369325,0.4972916666666667,0.8099036447423547,0.04338947763327094,0.8,0.8,0.8,0.8099036447423547,0.8,0.811065077867515,0.307721155048127,0.5182061401489398,2.995184000002708,2.3615753291600194,0.30230426267761157,4.049255077050363,14.416200000013458,7.186048461345203
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,test,middle_section,section3,187.815,184.815,187.815,187.815,190.815,0.9477140307426452,-0.9477140307426452,negative,3,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last60_guard3,事件前 3 秒之前的最近 60 秒历史。,124.814999,184.814999,184.815,3.0,60.0,0.0,565.435,loaded,,False,False,False,60.0,12000,200.0,usable_no_future_leakage,0.50025,105.76197362985175,16.421354005119934,82.26218,109.359,126.18939999999999,105.76197362985175,128.20950000000002,107.02922934153514,0.49975,0.08590227269434716,0.7282819682156816,-0.40285679999999996,-0.139277,1.1275900000000003,0.4820133454640654,1.83225,0.7333306387177349,0.49975,0.03445341722194432,1.057348364563581,-0.5862028,0.316702,0.8192994,0.7199184969818243,2.3002019999999996,1.0579095433937389,0.49975,-0.6965066820033684,2.356495415987952,-4.27895,0.00677519,1.1840600000000017,1.5443364944741707,5.7385639999999976,2.4572733270126004,0.49975,-0.027252395160637374,0.10165538375266359,-0.1800322,0.000190397,0.0483180200000001,0.06416745768763076,0.24353699999999995,0.10524500029879248,0.49975,0.0014463516241407365,0.05789064736511236,-0.0261384,0.000173512,0.045551060000000046,0.025562453721175254,0.10102739999999999,0.05790871251696454,0.50025,-0.10520807234349491,1.0957071894894133,-1.557146,-0.183498,1.421154,0.9778406010064968,1.689732,1.1007465573805004,0.50025,-0.0010569932488924659,0.0036068338948910717,-0.00699186,-1.02522e-09,5.347502e-05,0.002036181649534304,0.007146895999999996,0.0037585217138576365,0.49975,-0.00892428494247124,0.08350734218471792,-0.03,-0.03,-0.03,0.04654344892446224,0.16267,0.08398284979976559,0.49975,0.30168279206269805,0.25050536547724084,0.0,0.361702,0.680851,0.30168279206269805,0.723404,0.39212937298757805,0.50025,0.8019656838247541,0.019729998784894974,0.8,0.8,0.8,0.8019656838247541,0.8,0.8022083463069666,0.31569297441453453,0.4884952341605223,3.0359999999967155,2.046385572836141,0.31627635636303025,2.6593306982872833,10.044000000009152,3.9603588024996528
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000187815,byx,2025_09_28_17_05_51,train,test,middle_section,section3,187.815,184.815,187.815,187.815,190.815,0.9477140307426452,-0.9477140307426452,negative,3,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last30_guard3,事件前 3 秒之前的最近 30 秒历史，作为较短连续风格候选。,154.814999,184.814999,184.815,3.0,30.0,0.0,565.435,loaded,,False,False,False,30.0,6000,200.0,usable_no_future_leakage,0.5096666666666667,92.15269251144538,10.69218937566306,76.59864,93.00829999999999,108.0575,92.15269251144538,109.53865,92.77090950698957,0.49033333333333334,0.3187117811515975,0.9839645085197865,-0.9939827999999998,0.361283,1.76976,0.827464507868117,1.9804034999999998,1.0342936495364403,0.49033333333333334,0.027482229133242716,1.3020350564642675,-0.5596375999999998,0.3706005,0.9162332000000002,0.8498863205880355,3.638420999999999,1.3023250597220495,0.49033333333333334,-1.4185335963120327,3.1830099866183303,-5.354313,-2.0147,3.268307,2.8821430381747115,6.3155589999999995,3.484794131477206,0.49033333333333334,-0.055631079461386804,0.13881888917141347,-0.2314886,-0.07394524999999999,0.13776510000000006,0.12187248752188985,0.2642050999999999,0.14955099796666121,0.49033333333333334,0.0026434085601264447,0.0810725810028644,-0.042205589999999994,0.000354164,0.07440287000000004,0.04515911644782732,0.14098104999999997,0.081115664327439,0.5096666666666667,-0.07239257559777636,1.1483700284519638,-1.541039,-0.217724,1.5064300000000002,1.0458478481824722,1.6999935,1.1506495588355492,0.5096666666666667,-0.0020749285251488165,0.004840003827369451,-0.00699192,-0.00011187649999999999,0.005312158000000001,0.003997102730513766,0.00716726,0.0052660198853999,0.49033333333333334,0.0012295927260367052,0.10938087663857812,-0.03,-0.03,-0.03,0.05609023174711082,0.332301,0.10938778758387871,0.49033333333333334,0.27586531713120327,0.2337430243591389,0.0,0.255319,0.574468,0.27586531713120327,0.638298,0.3615763745496328,0.5096666666666667,0.8038587311968607,0.02751102384358882,0.8,0.8,0.8,0.8038587311968607,0.8,0.8043293580084899,0.30871811968661445,0.9019856301296045,5.007299999976084,2.8921544070730842,0.32805467577929653,3.2185772357725777,12.726000000010545,4.892883956792986
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,test,curve2,curve2,349.3,346.3,349.3,349.3,352.3,1.3292438983917236,-1.3292438983917236,negative,2,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,prefix_until_guard3,从本条记录开始到事件前 3 秒，排除直接输入窗口。,0.0,346.299999,346.3,3.0,,0.0,565.435,loaded,,False,False,False,346.299999,69260,200.0000005775339,usable_no_future_leakage,0.5023390124169795,104.85736406040296,32.165997583035484,53.83176000000001,115.376,132.4685,104.85736406040296,136.26314999999997,109.68007201952291,0.4976609875830205,-0.20643488803031798,0.7765847071366466,-0.8599762,-0.152542,0.42748349999999985,0.4595594583102878,1.97833,0.8035540867636735,0.4976609875830205,0.24097550000081233,1.1779355862590244,-0.6111295,0.363428,1.4378819999999999,0.8254662994181269,2.5473344999999994,1.2023316667941641,0.4976609875830205,0.04176279030921373,2.1396992169309668,-2.4904479999999998,0.06106425,2.448187,1.2921082420610368,5.024389999999998,2.1401067425690252,0.4976609875830205,0.01594016614691226,0.1439587349601842,-0.0973032,0.002195975,0.12097379999999998,0.06463211844841694,0.24736745,0.14483855242347504,0.4976609875830205,-6.816985917262392e-05,0.14460463918000094,-0.04113739,2.313525e-05,0.04094886,0.040317613114809914,0.1613289499999999,0.14460465524839775,0.5023390124169795,0.6696738122846544,2.9612140543802923,-1.191034,0.340966,1.4975470000000004,1.2620074366718124,1.7392345,3.0359927026788505,0.5023390124169795,-8.61458949133966e-05,0.001988800072830907,-2.8421e-08,0.0,2.76008e-08,0.0006073350203898659,0.00675776,0.0019906649253208456,0.4976609875830205,-0.008349023134211452,0.07640727269040637,-0.03,-0.03,-0.03,0.04616414850324941,0.170364,0.07686206806534493,0.4976609875830205,0.3841379847510735,0.2770526516755483,0.0,0.446809,0.723404,0.3841379847510735,0.744681,0.47362449591323785,0.5023390124169795,0.8199183720395495,0.059891008199929006,0.8,0.8,0.8,0.8199183720395495,1.0,0.8221028340002176,0.30985142725133197,0.5136141152189563,2.862204999998737,2.1855294499993603,0.3145439581859397,3.0829873575396354,10.4000000000108,5.2097279344852065
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000349300,byx,2025_09_28_17_05_51,train,test,curve2,curve2,349.3,346.3,349.3,349.3,352.3,1.3292438983917236,-1.3292438983917236,negative,2,multi_correction,0,0,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,last120_guard3,事件前 3 秒之前的最近 120 秒历史。,226.299999,346.299999,346.3,3.0,120.0,0.0,565.435,loaded,,False,False,False,120.0,24000,200.0,usable_no_future_leakage,0.5157916666666666,114.67162176266257,16.69632954547358,90.91974,117.372,132.935,114.67162176266257,136.0777,115.88075016140601,0.48420833333333335,-0.18458718654694087,0.5767702866539687,-0.908967,-0.153938,0.384496,0.40494435550589447,1.39103,0.6055876427109592,0.48420833333333335,0.08266935114112384,1.131543896056228,-0.610281,0.308225,0.938423,0.7310879042532484,2.61541,1.1345597429488683,0.48420833333333335,0.1464503625666466,2.268502271827197,-2.76454,0.0851494,3.21649,1.554191732941141,4.87448,2.2732246404570438,0.48420833333333335,0.007171967497860253,0.08793411706440983,-0.0940348,0.00311689,0.11841,0.05726101490328836,0.191842,0.08822610759683154,0.48420833333333335,-0.00019741395855907417,0.07620229667515309,-0.0551638,-0.000367426,0.0469088,0.03679436026283134,0.150623,0.07620255239057994,0.5157916666666666,0.2678585309239761,0.7788781664120867,-0.793764,0.389531,1.1522060000000003,0.6875599214867032,1.621362999999999,0.823650041402418,0.5157916666666666,0.00026846519769254334,0.0020530013963075285,-1.29803e-08,0.0,0.000539377400000001,0.0007175522533419672,0.00664553,0.0020704802089401286,0.48420833333333335,-0.009593849238447649,0.0846608850810799,-0.03,-0.03,-0.03,0.04674037328973411,0.221075,0.08520274294834575,0.48420833333333335,0.3776948509766801,0.26747450081370816,0.0,0.425532,0.723404,0.3776948509766801,0.744681,0.4628131470041003,0.5157916666666666,0.8464334760481462,0.0844430430036451,0.8,0.8,1.0,0.8464334760481462,1.0,0.8506352078809477,0.30934622275928164,0.5999683612067472,3.281200000002984,2.185421188346763,0.34093087211967166,2.552659496455709,9.600000000009095,4.052386648116791
