session_level_split,road_design_module_name,sample_count,split_share
test,curve1,7,0.175
test,curve2,2,0.05
test,differentmu_road,5,0.125
test,fix_road,6,0.15
test,longstraight,1,0.025
test,middle_section,19,0.475
train,curve1,16,0.0851063829787234
train,curve2,11,0.05851063829787234
train,differentmu_road,30,0.1595744680851064
train,fix_road,24,0.1276595744680851
train,longstraight,6,0.031914893617021274
train,middle_section,98,0.5212765957446809
train,stop,3,0.015957446808510637
val,curve1,5,0.11904761904761904
val,curve2,4,0.09523809523809523
val,differentmu_road,7,0.16666666666666666
val,fix_road,8,0.19047619047619047
val,middle_section,17,0.40476190476190477
val,stop,1,0.023809523809523808
