subject,session_level_split,sample_count,session_count,road_module_count,any_style_usable,any_style_usable_rate
byx,test,2,1,2,2,1.0
byx,train,14,4,5,14,1.0
cwh,train,11,4,3,11,1.0
cwh,val,4,1,3,4,1.0
gf,test,4,2,2,4,1.0
gf,train,4,2,2,4,1.0
gzj,test,9,1,4,9,1.0
gzj,train,20,4,5,20,1.0
hzh,test,14,3,5,14,1.0
hzh,train,9,3,4,9,1.0
jy,train,12,4,3,12,1.0
jy,val,3,1,2,3,1.0
lx,train,4,1,2,4,1.0
lxy,train,16,3,5,16,1.0
rjy,train,12,3,5,12,1.0
rjy,val,5,1,4,5,1.0
txj,train,7,2,4,7,1.0
txj,val,9,2,5,9,1.0
tyy,test,2,1,2,2,1.0
tyy,train,10,2,6,10,1.0
xst,train,1,1,1,1,1.0
yyl,test,3,1,2,3,1.0
yyl,train,12,3,3,12,1.0
yzy,train,15,3,5,15,1.0
yzy,val,7,2,4,7,1.0
zdq,train,11,6,4,11,1.0
zt,train,4,1,4,4,1.0
zx,test,4,1,2,4,1.0
zx,train,23,7,7,23,1.0
zx,val,12,2,4,12,1.0
zxy,test,2,2,2,2,1.0
zxy,train,3,1,1,3,1.0
zxy,val,2,1,1,2,1.0
