window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40.0,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_driver_id_residual_ridge,40.0,0.5336609088405843,0.775,0.225,0.75,0.4080209847539663,1.1088878330224454,0.125,0.4356249883770943,0.2618749991059303,0.18143545184429968,0.05,0.075,0.0,0.95,1.0,0.6798587119048095,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_road_module_residual_ridge,40.0,0.5337498184950784,0.775,0.225,0.75,0.40946040768176317,1.1097547063751343,0.125,0.4347499951720238,0.257749998010695,0.18175067895208485,0.05,0.075,0.0,0.95,0.975,0.6790234237265595,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_all_windows_residual_ridge,40.0,0.5641526094900917,0.825,0.175,0.75,0.4336926966905594,1.4869331600714506,0.125,0.4598749905824661,0.2681249966379255,0.1853998074599076,0.05,0.1,0.0,0.95,1.0,0.702177548621931,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_global_shuffle_seed20260513,40.0,0.5348169882792531,0.775,0.225,0.75,0.40706104654818775,1.1123120455130007,0.125,0.4368749961256981,0.25799999907612803,0.18277798271155915,0.05,0.05,0.0,0.95,0.975,0.6794134959574063,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_global_shuffle_seed20260514,40.0,0.5327068585140878,0.775,0.225,0.75,0.40662408620119095,1.1157298150670858,0.1,0.43099998980760573,0.2601249972358346,0.17952328647952526,0.05,0.1,0.0,0.95,1.0,0.6811538204959688,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_global_shuffle_seed20260515,40.0,0.5375904775678052,0.8,0.2,0.75,0.4021213766187429,1.1170437021214525,0.125,0.4562499955296516,0.2433749958872795,0.18309407680062578,0.05,0.125,0.0,0.95,1.0,0.6884248692161032,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_global_shuffle_seed20260516,40.0,0.533027713192674,0.775,0.225,0.75,0.40894743949174883,1.1085356776396469,0.125,0.4331249907612801,0.2572499977424741,0.180034664622508,0.05,0.075,0.0,0.95,1.0,0.6775056687839587,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_global_shuffle_seed20260517,40.0,0.5333155693200364,0.775,0.225,0.75,0.4092065129429102,1.1140217182555634,0.125,0.43849999755620955,0.2572499971836805,0.18205775437527336,0.05,0.05,0.0,0.95,1.0,0.6802965667810478,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_plus_style_last60_guard3_residual_ridge,40.0,0.5345585342066356,0.775,0.225,0.75,0.4104060849174857,1.1359363587166562,0.125,0.4429999902844429,0.27199999857693913,0.18190361273591407,0.05,0.075,0.0,0.95,1.0,0.6808909185319401,B_response3s_strict_core
