sample_id,event_uid,subject,session_stamp,window_config_id,split,split_strategy,track_id,gt_peak_abs,is_large_response,is_difficult_peak_top20,sample_rmse__keypoint_residual_vehicle_transformer_no_subject,sample_rmse__rbf_kernel_ridge_context_no_subject,wrong_side__keypoint_residual_vehicle_transformer_no_subject,wrong_side__rbf_kernel_ridge_context_no_subject,large_response_recalled__keypoint_residual_vehicle_transformer_no_subject,large_response_recalled__rbf_kernel_ridge_context_no_subject,severe_amp_under__keypoint_residual_vehicle_transformer_no_subject,severe_amp_under__rbf_kernel_ridge_context_no_subject,peak_amp_abs_error__keypoint_residual_vehicle_transformer_no_subject,peak_amp_abs_error__rbf_kernel_ridge_context_no_subject,peak_time_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,peak_time_abs_error_s__rbf_kernel_ridge_context_no_subject,onset_delay_abs_error_s__keypoint_residual_vehicle_transformer_no_subject,onset_delay_abs_error_s__rbf_kernel_ridge_context_no_subject,tail_abs_error__keypoint_residual_vehicle_transformer_no_subject,tail_abs_error__rbf_kernel_ridge_context_no_subject,tail_drift_risk__keypoint_residual_vehicle_transformer_no_subject,tail_drift_risk__rbf_kernel_ridge_context_no_subject,zero_crossing_mismatch__keypoint_residual_vehicle_transformer_no_subject,zero_crossing_mismatch__rbf_kernel_ridge_context_no_subject,reversal_count_exact__keypoint_residual_vehicle_transformer_no_subject,reversal_count_exact__rbf_kernel_ridge_context_no_subject,pred_peak_abs__keypoint_residual_vehicle_transformer_no_subject,pred_peak_abs__rbf_kernel_ridge_context_no_subject,pred_reversal_count__keypoint_residual_vehicle_transformer_no_subject,pred_reversal_count__rbf_kernel_ridge_context_no_subject,pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,pred_multi_segment__rbf_kernel_ridge_context_no_subject,anchor_time_rel_s,curvature_anchor,input_valid_ratio,event_type,event_level,road_type_anchor,old_v400_road_type_mode,old_v400_phase_mode,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,pred_peak_abs__delta_keypoint_minus_rbf,pred_reversal_count__delta_keypoint_minus_rbf,pred_multi_segment__delta_keypoint_minus_rbf,selector_prob_keypoint,selector_threshold,selected_model,selected_keypoint,oracle_keypoint,selection_outcome,sample_rmse_rbf,sample_rmse_keypoint,sample_rmse_selected,sample_rmse_oracle,selector_regret_vs_oracle,selector_delta_vs_rbf,keypoint_delta_vs_rbf,selector_helped_rbf,selector_hurt_rbf,wrong_side__selected,wrong_side__delta_selected_minus_rbf,large_response_recalled__selected,large_response_recalled__delta_selected_minus_rbf,severe_amp_under__selected,severe_amp_under__delta_selected_minus_rbf,tail_drift_risk__selected,tail_drift_risk__delta_selected_minus_rbf,zero_crossing_mismatch__selected,zero_crossing_mismatch__delta_selected_minus_rbf,reversal_count_exact__selected,reversal_count_exact__delta_selected_minus_rbf
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,1.1810654401779177,0,0,0.775661826133728,1.1559497117996216,1.0,1.0,0.0,0.0,1.0,0.0,0.91946080327034,0.1438592672348022,1.7899999618530271,0.7599999904632568,2.749999985098839,0.1050000041723251,0.574717104434967,0.3677842132747173,0.0,0.0,0.0,1.0,0.0,0.0,0.2616046369075775,1.0372061729431152,0.0,97.0,0.0,1.0,173.505,-0.00729802,1.0,instability_ay_roll,strong_active,curve,curve,primary,curve1,curve1,design_curve_context,very_low,1,-0.3802878856658935,-0.7756015360355377,-97.0,-1.0,0.0174835045997161,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,1.1559497117996216,0.775661826133728,1.1559497117996216,0.775661826133728,0.38028788566589355,0.0,-0.38028788566589355,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905__pre3_label3_response_coverage,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000353905,zx,2025_09_27_18_00_08,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,0.7283228635787964,0,0,0.379641979932785,0.7573572397232056,1.0,0.0,0.0,0.0,1.0,0.0,0.5095443874597549,0.2785311937332153,1.0,0.9649999141693116,1.409999996423721,0.0850000083446502,0.1008229553699493,0.1042630970478057,0.0,0.0,0.0,0.0,0.0,0.0,0.2187784761190414,1.0068540573120115,0.0,145.0,0.0,1.0,353.905,-0.00729802,1.0,instability_ay_roll,strong_active,curve,curve,primary,curve1,curve1,design_curve_context,very_low,1,-0.3777152597904206,-0.78807558119297,-145.0,-1.0,0.0487933775713786,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.7573572397232056,0.379641979932785,0.7573572397232056,0.379641979932785,0.3777152597904206,0.0,-0.3777152597904206,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,0.5717697739601135,0,0,0.1759395897388458,0.3666880428791046,0.0,0.0,0.0,0.0,0.0,0.0,0.2736713290214538,0.2459719181060791,0.0950000286102294,0.2699999809265136,0.8199999928474426,0.0200000032782554,0.14433722384274,0.2100591324269771,0.0,0.0,1.0,0.0,0.0,0.0,0.8454411029815674,0.8177416920661926,1.0,164.0,0.0,1.0,34.605,-0.0,1.0,instability_ay_roll,weak,straight,straight,primary,middle_section,section1,design_regular_road,high,1,-0.1907484531402588,0.0276994109153747,-163.0,-1.0,0.0554016465780407,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.3666880428791046,0.1759395897388458,0.3666880428791046,0.1759395897388458,0.19074845314025882,0.0,-0.19074845314025882,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,0.518537700176239,0,0,0.3630664050579071,0.5139289498329163,1.0,1.0,0.0,0.0,0.0,0.0,0.1718957424163818,0.0769501328468322,0.5800000429153442,0.3350000381469726,0.9700000137090684,0.0549999922513961,0.033184140920639,0.0501066334545612,0.0,0.0,1.0,0.0,0.0,0.0,0.3466419577598572,0.5954878330230713,0.0,116.0,0.0,1.0,518.18,-0.0,1.0,instability_ay_roll,medium_active,curve,curve,secondary,differentmu_road,mu1,design_high_risk_surface,very_low,1,-0.1508625447750091,-0.2488458752632141,-116.0,-1.0,0.2329240906926852,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.5139289498329163,0.3630664050579071,0.5139289498329163,0.3630664050579071,0.15086254477500916,0.0,-0.15086254477500916,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,1.0026919841766355,0,0,0.3724461495876312,0.510627806186676,0.0,0.0,0.0,0.0,0.0,0.0,0.1360280513763427,0.2490013837814331,0.4499999284744262,0.2299998998641967,0.4649999737739563,0.5049999952316284,0.018130037933588,0.005322940647602,0.0,0.0,1.0,0.0,0.0,0.0,1.1387200355529783,1.2516933679580688,1.0,68.0,0.0,1.0,362.46,-0.00018372,1.0,instability_ay_roll,strong_active,straight,straight,secondary,curve2,curve2,design_curve_context,very_low,1,-0.1381816565990448,-0.1129733324050905,-67.0,-1.0,0.218115932436025,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.510627806186676,0.3724461495876312,0.510627806186676,0.3724461495876312,0.1381816565990448,0.0,-0.1381816565990448,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,1.254542589187622,0,0,0.2548958957195282,0.3514051735401153,0.0,0.0,0.0,0.0,0.0,0.0,0.1001574993133544,0.0129021406173706,0.2799999713897705,0.5249999761581421,0.1600000262260437,0.1349999904632568,0.1371708465740084,0.1648589223623275,0.0,0.0,0.0,0.0,0.0,0.0,1.3547000885009766,1.2416404485702517,1.0,167.0,0.0,1.0,471.505,0.0,1.0,instability_ay_roll,medium_active,straight,straight,primary,middle_section,section6,design_regular_road,very_low,1,-0.0965092778205871,0.1130596399307248,-166.0,-1.0,0.4360765627070384,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.3514051735401153,0.2548958957195282,0.3514051735401153,0.2548958957195282,0.0965092778205871,0.0,-0.0965092778205871,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,1.3070790767669678,0,0,0.5853204131126404,0.6575250029563904,0.0,1.0,0.0,0.0,1.0,1.0,0.8358929753303528,0.7389094233512878,0.0099999904632568,1.0,1.0849999710917473,0.0850000008940696,0.2196016423404216,0.1508363336324691,0.0,0.0,0.0,0.0,0.0,0.0,0.471186101436615,0.5681696534156799,0.0,183.0,0.0,1.0,326.2,0.0,1.0,instability_ay_roll,strong_active,straight,straight,primary,curve2,curve2,design_curve_context,very_low,1,-0.07220458984375,-0.0969835519790649,-183.0,-1.0,0.2325605270918812,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.6575250029563904,0.5853204131126404,0.6575250029563904,0.5853204131126404,0.07220458984375,0.0,-0.07220458984375,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,0.1583000421524047,0,0,0.108291283249855,0.1723215728998184,0.0,1.0,0.0,0.0,0.0,0.0,0.1209073662757873,0.0637898296117782,0.7849999666213989,0.2250000238418579,1.1349999606609344,0.4000000059604645,0.2982686460018158,0.144241920672357,1.0,1.0,1.0,1.0,0.0,0.0,0.2792074084281921,0.0945102125406265,1.0,1.0,0.0,0.0,245.88,-0.0,1.0,instability_roll_only,instability_medium,design_special_event_segment,none,none,fix_road,fix_road,design_special_event_segment,low,1,-0.0640302896499633,0.1846971958875655,0.0,0.0,0.0065554732514796,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.1723215728998184,0.108291283249855,0.1723215728998184,0.108291283249855,0.06403028964996339,0.0,-0.06403028964996339,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350__pre3_label3_response_coverage,vehicle_instability_allraw__zxy__2025_09_28_15_57_38__000182350,zxy,2025_09_28_15_57_38,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,0.5749120116233826,0,0,0.2720176875591278,0.3201940357685089,0.0,0.0,0.0,0.0,1.0,0.0,0.2936972379684448,0.4217650890350342,1.4299999475479126,0.3549998998641968,1.0799999758601189,0.005000002682209,0.0920194387435913,0.1964994645677507,0.0,0.0,1.0,0.0,0.0,0.0,0.2812147736549377,0.9966771006584167,0.0,138.0,0.0,1.0,182.35,-0.00729802,1.0,instability_ay_roll,strong_active,curve,curve,secondary,curve1,curve1,design_curve_context,high,1,-0.0481763482093811,-0.715462327003479,-138.0,-1.0,0.0547133864542916,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.3201940357685089,0.2720176875591278,0.3201940357685089,0.2720176875591278,0.048176348209381104,0.0,-0.048176348209381104,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,pre3_label3_response_coverage,test,session_level_split,B_response3s_strict_core,1.4929579496383667,0,0,0.401835024356842,0.4272091090679168,0.0,0.0,0.0,0.0,0.0,1.0,0.4413157701492309,0.8355430364608765,0.1000000238418579,0.2799999713897705,0.8750000074505806,0.0700000002980232,0.296778991818428,0.2808642499148845,0.0,0.0,0.0,0.0,0.0,0.0,1.0516421794891355,0.6574149131774902,1.0,183.0,0.0,1.0,95.58,0.0,1.0,instability_ay_roll,extreme_active,straight,straight,secondary,middle_section,section2,design_regular_road,high,1,-0.0253740847110748,0.3942272663116453,-182.0,-1.0,0.2243215686064555,0.55,rbf_kernel_ridge_context_no_subject,0,1,FN_missed_keypoint_gain,0.4272091090679168,0.401835024356842,0.4272091090679168,0.401835024356842,0.02537408471107483,0.0,-0.02537408471107483,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
