feature,type,causal_status
anchor_time_rel_s,numeric_original,allowed_candidate_prediction_or_context
curvature_anchor,numeric_original,allowed_candidate_prediction_or_context
input_valid_ratio,numeric_original,allowed_candidate_prediction_or_context
pred_peak_abs__rbf_kernel_ridge_context_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_reversal_count__rbf_kernel_ridge_context_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_multi_segment__rbf_kernel_ridge_context_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_peak_abs__keypoint_residual_vehicle_transformer_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_reversal_count__keypoint_residual_vehicle_transformer_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_multi_segment__keypoint_residual_vehicle_transformer_no_subject,numeric_original,allowed_candidate_prediction_or_context
pred_peak_abs__delta_keypoint_minus_rbf,numeric_original,allowed_candidate_prediction_or_context
pred_reversal_count__delta_keypoint_minus_rbf,numeric_original,allowed_candidate_prediction_or_context
pred_multi_segment__delta_keypoint_minus_rbf,numeric_original,allowed_candidate_prediction_or_context
event_type,categorical_context,allowed_context
event_level,categorical_context,allowed_context
road_type_anchor,categorical_context,allowed_context
old_v400_road_type_mode,categorical_context,allowed_context
old_v400_phase_mode,categorical_context,allowed_context
road_design_module_name,categorical_context,allowed_context
road_design_instance_name,categorical_context,allowed_context
road_design_risk_class,categorical_context,allowed_context
road_design_mapping_reliability,categorical_context,allowed_context
pred_peak_abs__max_candidate,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_peak_abs__min_candidate,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_peak_abs__abs_delta,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_peak_abs__ratio_keypoint_over_rbf,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_reversal_count__abs_delta,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_reversal_count__keypoint_lower_than_rbf,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_reversal_count__keypoint_much_lower,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_multi_segment__disagree,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
pred_multi_segment__keypoint_less_complex,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
candidate_disagreement_score,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
context_curve_or_surface,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
context_middle_section,numeric_engineered,allowed_derived_from_context_or_candidate_predictions
gt_peak_abs,excluded,future_label_or_training_target_not_used_as_input
is_large_response,excluded,future_label_or_training_target_not_used_as_input
is_difficult_peak_top20,excluded,future_label_or_training_target_not_used_as_input
sample_rmse__rbf,excluded,future_label_or_training_target_not_used_as_input
sample_rmse__keypoint,excluded,future_label_or_training_target_not_used_as_input
wrong_side__*,excluded,future_label_or_training_target_not_used_as_input
large_response_recalled__*,excluded,future_label_or_training_target_not_used_as_input
tail_drift_risk__*,excluded,future_label_or_training_target_not_used_as_input
keypoint_better_rmse,excluded,future_label_or_training_target_not_used_as_input
rmse_delta_keypoint_minus_rbf,excluded,future_label_or_training_target_not_used_as_input
