window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,test,direction_gated_knn_template_no_subject,40,0.6934965829193556,0.8,0.2,0.875,0.41851563160307703,1.1821959602005336,0.1,0.46487498879432676,0.48899999959394336,0.1869178419176023,0.05,0.075,0.0,0.95,0.975,0.7303580269705259,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,keypoint_residual_vehicle_transformer_no_subject,40,0.5489935187678284,0.875,0.125,0.875,0.44583359025418756,1.2282829793985695,0.2,0.4764999940991402,0.8447499964386225,0.19533116957172753,0.075,0.6,0.025,0.95,0.0,0.7288664061847274,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,knn_template_context_no_subject,40,0.6258290902785323,0.825,0.175,0.75,0.4456664647907019,0.8862115362530432,0.175,0.4134999968111515,0.436000001989305,0.17103834235458631,0.05,0.1,0.0,0.95,1.0,0.7100143976557005,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_broad_vehicle_pool,40,0.3751822675351606,0.95,0.05,1.0,0.3014818154275417,0.8898731234892571,0.1,0.28912499994039537,0.3897499984130263,0.21663554380647837,0.075,0.1,0.1,0.95,0.85,0.5819302035458729,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_rbf_plus_keypoint,40,0.47509534002944326,0.8,0.2,0.875,0.4188615206629038,1.0461099659993864,0.175,0.44024999588727953,0.5214999942108989,0.19144727320526725,0.05,0.25,0.0,0.95,0.575,0.648367710695391,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_rbf_plus_topk3,40,0.4156559544709741,0.925,0.075,0.875,0.33291155435144903,1.0818654176225635,0.1,0.3461250051856041,0.4001249972730875,0.24683201932348312,0.075,0.075,0.2,0.95,0.75,0.6043781912148043,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,oracle_topk3_only,40,0.47753436926992054,0.975,0.025,0.875,0.40797814466059207,1.2413368358840775,0.175,0.3131250038743019,0.548374999454245,0.30961064852308484,0.2,0.1,0.25,0.95,0.6,0.6341906019412851,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,peak_scaled_template_context_no_subject,40,0.6885973667109297,0.8,0.2,0.875,0.40501671098172665,1.1445583775417607,0.05,0.45812499672174456,0.3442500000819564,0.18846833972202143,0.075,0.075,0.0,0.95,1.0,0.7395625117726926,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.5336666894389569,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,ridge_rich_context_no_subject,40,0.536450450516907,0.825,0.175,0.5,0.5529706440865993,1.1007266648812437,0.35,0.4195000097155571,0.38612499879673123,0.1883128815432428,0.075,0.025,0.025,0.95,1.0,0.7571023760780592,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,ridge_rich_history_no_subject,40,0.538776040937721,0.825,0.175,0.5,0.5651419721543789,0.9545783741751027,0.35,0.4292500227689743,0.4378750019706786,0.1892954831324459,0.075,0.025,0.0,0.95,1.0,0.7702127368939254,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,selector_logreg_rbf_keypoint_no_subject,40,0.5339117968688195,0.8,0.2,0.875,0.38664667271077635,1.2348881203958673,0.1,0.4158750012516975,0.33937499672174454,0.1897894999419804,0.075,0.275,0.025,0.95,0.7,0.6483647590994606,B_response3s_strict_core
