model_name,split,n_samples,mean_sample_rmse
oracle_best_of_rbf_plus_topk_upper_bound,test,40,0.374065225943923
oracle_best_of_rbf_keypoint_upper_bound,test,40,0.42388390004634857
topk_vehicle_transformer_best_of_3_oracle,test,40,0.4340433023869991
rbf_kernel_ridge_context_no_subject,test,40,0.4760610479861498
selector_logreg_rbf_keypoint_no_subject,test,40,0.4830064229667187
topk_top1_rbf_fallback_logreg_no_subject,test,40,0.4862270724028349
ridge_rich_context_no_subject,test,40,0.4943972181528807
ridge_rich_history_no_subject,test,40,0.49451903961598875
keypoint_residual_vehicle_transformer_no_subject,test,40,0.5013860937207937
topk_vehicle_transformer_branch0_no_subject,test,40,0.5125907734036446
ridge_vehicle_history_no_subject,test,40,0.520700228586793
topk_rbf_branch_logreg_selector_no_subject,test,40,0.5214650474488736
vehicle_transformer_context_no_subject,test,40,0.5242232695221901
knn_template_context_no_subject,test,40,0.5364091228693724
topk_vehicle_transformer_top1_no_subject,test,40,0.544574611261487
topk_vehicle_transformer_branch1_no_subject,test,40,0.5490027781575918
structured_vehicle_transformer_aux_no_subject,test,40,0.5536682736128569
topk_branch_logreg_selector_no_subject,test,40,0.5605451531708241
peak_scaled_template_context_no_subject,test,40,0.5670504646375776
direction_gated_knn_template_no_subject,test,40,0.5700806399807334
formal_ridge_vehicle_context_no_subject,test,40,0.5905414881184697
topk_vehicle_transformer_branch2_no_subject,test,40,0.6280685171484948
train_mean_by_event_type,test,40,0.6942559934221209
train_mean_all,test,40,0.6973196103237569
zero_response_hold_current,test,40,0.6983819235116243
history_trend_500ms,test,40,1.280992670217529
direction_gated_knn_template_no_subject,train,188,2.1977237364010692e-07
knn_template_context_no_subject,train,188,4.205168657119627e-07
peak_scaled_template_context_no_subject,train,188,0.0034752929011081938
oracle_best_of_rbf_plus_topk_upper_bound,train,188,0.23793167458411224
oracle_best_of_rbf_keypoint_upper_bound,train,188,0.27318424545228476
topk_top1_rbf_fallback_logreg_no_subject,train,188,0.2764898994739385
rbf_kernel_ridge_context_no_subject,train,188,0.2767007056465174
topk_vehicle_transformer_best_of_3_oracle,train,188,0.29748589416688426
topk_rbf_branch_logreg_selector_no_subject,train,188,0.31434121498085077
selector_logreg_rbf_keypoint_no_subject,train,188,0.3203495765857874
structured_vehicle_transformer_aux_no_subject,train,188,0.36947717760352694
vehicle_transformer_context_no_subject,train,188,0.3717775185136719
topk_vehicle_transformer_branch0_no_subject,train,188,0.3777400892267519
topk_branch_logreg_selector_no_subject,train,188,0.38041384496349606
topk_vehicle_transformer_top1_no_subject,train,188,0.3875480716295065
topk_vehicle_transformer_branch2_no_subject,train,188,0.42920350858030165
ridge_rich_context_no_subject,train,188,0.45116788368830657
topk_vehicle_transformer_branch1_no_subject,train,188,0.47419259958761806
ridge_rich_history_no_subject,train,188,0.47496482295955117
keypoint_residual_vehicle_transformer_no_subject,train,188,0.48147417880356946
ridge_vehicle_history_no_subject,train,188,0.5093529093614284
formal_ridge_vehicle_context_no_subject,train,188,0.5600238459462181
train_mean_by_event_type,train,188,0.6657724077317942
zero_response_hold_current,train,188,0.671688247308571
train_mean_all,train,188,0.673666814064726
history_trend_500ms,train,188,1.244881414330287
oracle_best_of_rbf_plus_topk_upper_bound,val,42,0.389841670081729
oracle_best_of_rbf_keypoint_upper_bound,val,42,0.43874447810507955
topk_vehicle_transformer_best_of_3_oracle,val,42,0.4391342107029188
rbf_kernel_ridge_context_no_subject,val,42,0.4935314759966873
topk_top1_rbf_fallback_logreg_no_subject,val,42,0.4935314759966873
selector_logreg_rbf_keypoint_no_subject,val,42,0.4939009478049619
keypoint_residual_vehicle_transformer_no_subject,val,42,0.5252442299610093
topk_rbf_branch_logreg_selector_no_subject,val,42,0.525503400181021
peak_scaled_template_context_no_subject,val,42,0.5262927301228046
vehicle_transformer_context_no_subject,val,42,0.5263288099141348
ridge_rich_context_no_subject,val,42,0.5317883040933382
ridge_rich_history_no_subject,val,42,0.5337419431833994
topk_vehicle_transformer_top1_no_subject,val,42,0.5354809055016154
topk_vehicle_transformer_branch0_no_subject,val,42,0.5373574729476657
structured_vehicle_transformer_aux_no_subject,val,42,0.5389830617322808
knn_template_context_no_subject,val,42,0.5436761925617853
ridge_vehicle_history_no_subject,val,42,0.5455622300505638
direction_gated_knn_template_no_subject,val,42,0.5665839814714023
topk_vehicle_transformer_branch1_no_subject,val,42,0.5881492772272655
topk_branch_logreg_selector_no_subject,val,42,0.5882227074887071
formal_ridge_vehicle_context_no_subject,val,42,0.6074655730099905
topk_vehicle_transformer_branch2_no_subject,val,42,0.6084099014600118
train_mean_by_event_type,val,42,0.6577331280069691
zero_response_hold_current,val,42,0.6580299540156764
train_mean_all,val,42,0.6695309401977629
history_trend_500ms,val,42,1.2638138253241777
